科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"715,582,952.64","933,555,352.76","213,402,102.26","1,093,871,507.78","302,042,552.69","651,868,323.82","1,051,473,677.23","1,434,204,960.56","462,890,059.69","1,000,417,547.67","1,590,406,811.42","2,236,346,635.21","494,151,208.84","1,111,297,982.91","1,618,459,867.61","2,198,315,662.92","437,336,213.72","1,300,504,279.41","1,907,709,139.83","2,450,270,860.08","550,389,953.73","1,350,368,834.60","2,028,104,084.14","2,500,309,252.02","488,076,132.06","930,219,529.58","1,311,631,640.47","2,063,608,400.96","432,783,869.18","984,294,937.68","1,508,496,647.27","2,187,781,665.65","584,784,552.82","1,245,184,766.91","2,151,138,443.79","2,849,217,713.25","839,518,406.47","1,775,126,430.14"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"21,244,247.99",,,,,,,,,,,,,,"9,668,740.00","16,468,740.00","18,258,708.67",,,,,,,,"3,000,000.00",,,,,,
收到的税费返还,"35,130,317.29",,,,,,,,,,,,,,,"4,573,235.32","1,002,288.99","2,366,684.38","3,779,232.14","5,948,212.11",,"1,398,875.85","1,740,677.20","2,342,290.03",,,"2,147,417.37","2,927,328.76","985,768.97","985,768.97","1,881,510.98","8,596,756.47","1,013,279.84","1,170,059.39","1,668,880.99","3,908,252.79",,"855,380.23"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,246,488.89",,,,,"25,500,000.00",,
收到其他与经营活动有关的现金,"21,915,216.51","4,745,948.68","488,535.27","4,415,194.73","5,340,205.66","6,956,121.77","1,281,328.44","31,905,739.78","3,543,915.49","5,500,175.53","29,434,453.42","38,852,929.28","3,824,911.23","4,485,899.87","10,798,150.72","40,348,167.55","3,919,476.03","6,810,416.47","9,744,364.98","18,120,700.67","11,878,992.74","8,170,896.94","12,447,611.46","26,504,378.81","3,038,620.11","5,010,758.96","8,395,436.15","18,631,902.32","16,914,685.62","6,035,132.28","6,394,460.20","14,429,153.83","6,370,221.01","2,535,652.84","3,791,940.22","13,625,604.53","1,186,349.83","10,255,384.14"
投资活动现金流出小计,"168,233,702.60","84,898,231.86","1,949,179.15","64,573,589.55","6,084,410.67","43,588,128.55","112,817,610.65","204,330,107.43","56,667,450.08","134,145,517.32","229,656,588.09","320,563,122.96","158,472,620.00","282,210,458.33","338,151,412.96","449,204,723.86","88,576,523.97","87,687,707.53","147,326,275.90","300,394,375.85","91,833,630.51","146,479,185.66","202,009,846.91","213,086,294.23","49,986,220.80","77,760,594.26","90,479,417.19","96,772,874.49","47,134,428.97","103,260,827.15","130,143,996.96","118,338,664.93","17,666,562.37","34,149,491.87","44,420,313.80","116,081,886.10","17,935,785.38","30,030,018.84"
经营活动现金流入小计,"772,628,486.44","938,301,301.44","213,890,637.53","1,098,286,702.51","307,382,758.35","658,824,445.59","1,052,755,005.67","1,466,110,700.34","466,433,975.18","1,005,917,723.20","1,619,841,264.84","2,275,199,564.49","497,976,120.07","1,115,783,882.78","1,629,258,018.33","2,243,237,065.79","442,257,978.74","1,309,681,380.26","1,921,232,736.95","2,474,339,772.86","562,268,946.47","1,359,938,607.39","2,042,292,372.80","2,529,155,920.86","491,114,752.17","935,230,288.54","1,322,174,493.99","2,085,167,632.04","450,684,323.77","991,315,838.93","1,516,772,618.45","2,210,807,575.95","592,168,053.67","1,248,890,479.14","2,156,599,265.00","2,866,751,570.57","840,704,756.30","1,786,237,194.51"
投资活动产生的现金流量净额,"-144,947,519.92","-57,311,370.30","-1,949,179.15","-64,474,089.55","-6,084,410.67","-42,961,531.43","-112,161,013.53","-203,372,418.03","-56,667,450.08","-134,099,132.71","-224,510,115.10","-314,284,588.18","-158,108,556.90","-281,797,335.49","-337,738,290.12","-441,265,745.87","-88,308,864.22","-86,578,532.18","-146,069,932.79","-294,971,269.35","-91,814,015.13","-146,445,920.28","-201,320,509.67","-212,599,437.83","-49,963,121.69","-77,675,029.95","-90,393,852.88","-96,281,293.49","-47,134,428.97","-422,111.16","20,796,669.03","15,130,835.07","14,233,437.63","-4,415,685.07","-14,447,779.20","-86,328,079.30","-17,935,785.38","-30,006,075.95"
购买商品、接受劳务支付的现金,"639,182,570.21","931,553,006.08","100,505,664.35","832,384,537.21","288,029,136.00","618,427,802.98","982,284,805.32","1,367,619,712.56","462,406,373.26","1,042,674,554.13","1,526,443,078.31","2,065,111,744.27","444,831,333.37","1,007,384,834.27","1,555,444,254.06","2,028,285,537.61","516,295,239.98","1,292,697,166.24","1,749,427,393.93","1,925,591,913.47","390,324,628.69","1,209,201,377.91","1,793,602,798.88","2,021,182,865.50","358,730,000.46","755,081,096.79","1,050,500,808.79","1,751,761,915.83","246,294,372.16","589,636,776.49","1,018,627,841.40","1,686,513,938.70","453,496,254.41","953,957,553.29","1,716,541,350.18","2,245,003,383.66","582,842,208.92","1,444,377,404.68"
吸收投资收到的现金,,,,,,"625,000,000.00","625,000,000.00","588,708,700.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
