科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
取得借款收到的现金,"2,105,000,000.00","1,300,000,000.00","1,350,000,000.00","1,896,345,346.43","1,781,345,346.43","385,000,000.00","464,500,000.00","647,674,104.12","1,035,225,676.21","129,260,900.00","536,316,129.13","1,104,554,114.57","2,038,544,658.31","515,589,797.11","1,267,352,859.66","1,540,065,292.58","2,415,901,408.53","861,814,947.63","1,424,676,002.58","1,920,423,714.75","3,062,883,148.21","671,289,111.67","2,236,239,892.18","2,896,777,051.01","3,040,568,702.74","877,083,482.41","1,604,031,747.74","2,393,332,560.61","2,363,435,469.04","575,929,444.42","1,108,517,684.86","1,880,409,312.87"
支付的各项税费,"4,507,024.83","9,063,252.25","22,273,082.50","26,995,978.27","46,753,363.88","16,516,101.07","33,917,846.23","59,630,211.00","69,723,799.56","10,324,417.54","25,982,882.85","36,732,133.76","79,752,010.11","10,762,042.38","24,684,394.37","39,643,392.62","54,306,234.05","14,229,138.05","41,415,480.70","57,842,816.27","76,092,460.30","16,619,104.69","49,274,429.58","57,960,216.73","78,818,024.92","11,235,240.62","20,918,910.61","26,476,312.95","34,049,254.61","12,863,586.37","54,313,990.46","73,960,039.74"
收到其他与筹资活动有关的现金,,,"154,074,820.55","50,295,501.48","130,295,501.48","700,000,000.00",,"700,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"321,766,435.24","556,475,421.42","674,276,270.58","763,888,898.27","988,907,647.72","404,634,998.42","412,385,784.22","485,291,255.50","423,982,779.01","326,266,996.51","415,442,965.86","454,266,201.63","1,440,841,160.59","260,424,154.82","381,631,243.78","577,499,891.05","623,902,824.46","311,038,713.73","385,758,437.46","684,847,561.79","740,628,458.04","169,434,986.69","273,061,148.70","399,460,034.73","838,090,033.26","126,087,584.44","240,081,073.27","597,232,339.14","513,744,780.84","245,769,344.56","260,291,894.85","478,577,046.07"
筹资活动现金流入小计,"2,117,000,000.00","1,308,000,000.00","1,504,074,820.55","1,957,420,847.91","7,139,694,547.91","1,132,986,868.52","1,212,520,000.00","1,395,694,104.12","1,783,245,676.21","129,260,900.00","541,216,129.13","1,109,454,114.57","2,043,444,658.31","515,589,797.11","1,267,352,859.66","1,544,965,292.58","2,420,801,408.53","861,814,947.63","1,424,676,002.58","1,920,423,714.75","3,063,083,148.21","671,289,111.67","2,236,239,892.18","2,896,777,051.01","3,041,618,702.74","877,083,482.41","1,604,031,747.74","2,393,332,560.61","2,381,895,469.04","575,929,444.42","1,129,917,684.86","1,901,809,312.87"
经营活动现金流出小计,"3,048,733,925.05","3,642,177,653.56","3,642,708,448.33","4,353,974,641.75","6,980,274,230.01","1,398,713,925.78","4,238,462,472.34","7,928,022,942.21","11,989,017,660.29","1,529,999,910.30","4,215,162,105.03","7,619,610,679.09","12,545,382,629.41","2,503,657,946.59","5,475,186,618.85","9,028,746,371.79","13,293,409,630.33","2,645,640,388.03","5,101,581,065.25","8,197,960,660.52","11,929,199,063.51","1,944,536,502.61","4,418,001,876.12","7,370,803,653.41","10,646,015,905.00","1,333,952,071.97","3,526,556,212.33","6,834,057,249.63","9,703,393,042.59","2,185,988,369.68","6,131,882,904.90","9,743,752,660.24"
偿还债务支付的现金,"2,605,000,000.00","1,401,600,000.00","1,642,000,000.00","970,000,000.00","1,170,000,000.00","1,750,000,000.00","2,372,000,000.00","2,350,000,000.00","3,420,887,158.84","389,624,800.00","812,654,633.63","1,497,417,706.35","2,163,678,121.82","511,000,619.93","1,133,137,741.06","1,422,886,655.91","1,707,547,044.36","219,789,391.71","896,057,784.31","1,359,494,416.66","2,875,861,053.90","471,498,705.97","767,876,772.51","1,219,486,577.13","1,873,570,825.78","584,731,875.14","1,011,265,468.69","1,348,606,843.78","1,339,618,001.62","246,672,043.97","834,646,613.87","1,747,333,749.21"
经营活动产生的现金流量净额,"1,100,503,567.43","451,307,724.30","414,188,658.15","54,845,912.36","-151,369,283.99","829,496,206.24","993,065,953.74","859,929,685.99","882,252,587.37","423,214,392.80","144,419,749.13","112,619,650.66","-463,220,720.77","345,393,113.36","751,315,751.83","458,440,934.55","350,092,249.97","-547,409,021.09","-529,907,884.17","-66,937,333.77","-17,045,431.40","125,366,538.92","-514,815,052.55","-16,907,376.38","-237,929,664.51","227,019,368.05","831,892,119.57","24,096,339.39","536,395,255.44","-519,695,008.66","-369,077,234.66","-282,836,466.32"
分配股利、利润或偿还利息支付的现金,"489,596,345.50","118,076,916.39","87,129,928.04","214,110,541.16","235,890,360.21","39,961,039.28","53,958,671.46","366,599,454.47","405,246,020.61","11,619,085.71","22,262,560.91","346,590,704.69","347,565,609.28","7,675,725.23","210,761,838.73","219,372,689.28","239,304,178.97","20,804,062.82","47,643,933.44","151,702,046.99","172,153,780.80","22,786,318.37","56,015,026.95","103,894,462.84","139,900,272.76","8,995,310.95","71,641,159.04","102,348,053.36","159,134,049.05","32,449,753.73","78,142,309.16","119,104,794.24"
收回投资收到的现金,,"82,000,000.00",,"40,580,000.00","50,000,000.00",,"1,250,000,000.00","1,250,000,000.00","2,263,000,000.00","1,000,000.00","700,000,000.00","700,000,000.00","700,000,000.00",,"10,000,000.00","20,000,000.00",,,,,"450,000,000.00","50,000,000.00","455,000,000.00","1,072,000,000.00",,,,"1,474,400,000.00","201,523,854.15","5,000,000.00","47,450,000.00","66,450,000.00"
支付其他与筹资活动有关的现金,"4,056,999.00","4,860,000.00","8,445,000.00","6,429,000.00","15,259,802.73","2,800,000.00","4,001,158.50","7,631,535.17","7,716,648.46",,"1,066,817.25","1,066,817.25",,,,,,,,,,,,,,,"27,415,983.02",,,,,
取得投资收益收到的现金,,"15,735,810.96",,"215,662.28","224,381.79",,"5,226,027.39","5,226,027.39","6,858,376.34",,"3,621,082.19","3,621,082.19","3,122,465.75",,"97,731.51","6,579,560.26","6,369,801.35",,,"11,910,604.49","15,010,179.89","40,684.93","5,385,212.35","13,976,578.57","29,507,926.53","412,215.70",,"16,026,472.93","23,151,652.41","317,274.44","13,329,609.80","18,654,824.57"
筹资活动现金流出小计,"3,098,653,344.50","1,524,536,916.39","1,737,574,928.04","1,190,539,541.16","1,421,150,162.94","1,792,761,039.28","2,429,959,829.96","2,724,230,989.64","3,833,849,827.91","401,243,885.71","835,984,011.79","1,845,075,228.29","2,511,243,731.10","518,676,345.16","1,343,899,579.79","1,642,259,345.19","1,946,851,223.33","240,593,454.53","943,701,717.75","1,511,196,463.65","3,048,014,834.70","494,285,024.34","823,891,799.46","1,323,381,039.97","2,013,471,098.54","593,727,186.09","1,110,322,610.75","1,450,954,897.14","1,498,752,050.67","279,121,797.70","912,788,923.03","1,866,438,543.45"
处置固定资产、无形资产和其他长期资产收回的现金净额,"3,116,984.98","1,678,775.58","3,362,377.60","22,711,008.47","38,777,235.43",,"8,398,204.61","9,166,824.65","40,290,009.86","32,000.00","671,876.00","671,876.00","2,445,804.30","45,768.00","422,959.88","1,194,841.48","16,572,276.94","298,035.59","479,695.59","860,671.09","59,959,475.83","28,000.00","179,600.00","467,338.40","29,995,225.39","374,593.00","28,603,917.02","3,488,144.50","5,322,229.22","215,300.00","391,883.00","424,683.00"
