科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30
货币资金,"804,318,867.64","953,637,932.74","803,506,835.07","956,793,873.00","880,113,552.18","790,301,526.72","644,788,574.73","796,473,028.73","913,928,954.24","856,394,827.96","734,114,197.75","616,240,906.04","580,084,870.09","418,261,451.56","523,580,782.96","499,448,350.04","512,461,874.14","486,824,196.57","574,976,912.43"
短期借款,"1,190,864,223.50","1,390,917,802.48","1,341,422,057.49","1,505,087,795.39","1,732,092,704.16","1,494,703,411.02","1,501,640,849.56","1,512,274,945.18","1,370,569,121.60","1,591,436,310.20","1,494,110,519.14","1,173,299,172.80","1,079,557,496.27","1,180,159,999.54","615,388,831.12","823,831,124.97","796,092,063.28","777,342,808.30","880,039,539.13"
交易性金融资产,,,"3,000,000.00",,,,,,,,,,,"13,000,000.00",,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"336,565,412.00","361,342,500.00","350,960,817.33","372,131,652.07","399,291,204.00","372,259,083.00","299,064,160.00","417,167,385.36","337,960,077.52","424,892,089.01","528,049,183.68","442,983,238.89","513,723,521.01","556,580,289.00","605,111,700.00","811,912,960.00","842,625,588.22","641,490,700.50","419,292,316.69"
应付票据,"459,371,000.00","564,132,090.67","632,295,871.80","417,040,043.00","531,916,322.14","532,279,716.07","493,506,133.71","730,576,883.20","791,117,745.71","670,415,925.75","690,331,491.54","499,232,604.90","363,225,910.01","311,087,151.76","296,927,167.75","332,874,504.28","369,244,057.13","313,159,238.50","293,006,272.21"
应收账款,"112,032,156.42","107,686,264.67","194,922,729.48","172,693,839.32","176,261,118.47","196,148,032.23","262,766,482.98","114,901,911.57","112,307,780.60","174,118,376.10","194,227,517.06","202,677,156.80","258,146,941.78","457,840,567.50","385,166,499.33","253,048,117.82","153,040,336.31","294,150,561.61","343,222,463.62"
应付账款,"750,509,517.29","616,809,884.19","677,142,068.42","768,920,112.12","732,516,278.82","931,860,335.98","780,881,629.00","649,021,004.31","683,194,850.53","858,715,150.79","899,813,272.51","905,674,247.93","1,003,054,126.71","1,069,266,203.43","1,123,181,566.41","994,978,964.56","1,065,083,332.31","1,208,403,271.05","1,082,084,161.88"
预付款项,"110,870,495.17","57,138,598.12","24,274,640.31","29,643,641.89","35,730,994.00","96,554,164.91","35,331,535.19","38,793,023.15","55,353,077.76","68,091,181.97","88,262,312.69","72,204,323.41","109,679,167.74","87,867,887.46","28,588,533.32","34,335,381.77","51,397,744.23","91,229,333.81","120,930,181.30"
预收款项,"106,576,076.16","56,145,188.21","57,041,900.98","68,899,707.64","121,190,432.68","110,005,693.60","94,620,152.94","49,060,764.39","113,591,978.01","107,747,372.59","89,096,252.32","75,554,698.38","50,135,332.72","31,224,294.16","43,213,123.86","55,263,072.98","65,121,238.85","46,869,231.92","71,925,578.04"
其他应收款,"61,537,746.10","60,299,534.21","45,352,401.41","58,823,880.49","63,052,605.74","66,525,425.54","61,973,718.25","57,039,890.60","71,791,328.96","32,937,783.44","99,512,239.44","31,258,304.17","43,254,089.55","48,314,158.48","24,753,336.46","31,199,599.96","37,111,437.11","39,526,325.47","29,376,101.77"
应付职工薪酬,"26,668,755.95","20,607,703.50","35,495,367.80","31,962,304.78","17,553,558.61","15,605,061.74","15,613,680.32","18,923,443.52","9,078,035.62","9,851,245.96","7,775,101.17","19,675,265.72","12,153,123.16","15,025,429.22","15,514,264.04","37,088,086.59","27,174,512.09","24,940,331.49","23,040,312.01"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"87,633,688.51","60,630,396.22","77,899,656.94","129,803,312.04","66,679,743.67","37,329,408.46","59,495,957.08","74,771,956.60","62,420,935.06","52,812,959.79","58,710,032.30","64,639,500.61","124,233,951.65","109,957,385.50","107,112,911.49","210,206,030.24","116,580,614.00","50,831,943.73","33,153,747.26"
应收利息,,,,,,,,,,,,,,,,,,,
应付利息,"28,138.14","28,138.14","28,138.14",,,,,,,,,"93,750.00","687,937.50","603,750.00","1,773,375.00",,,,"78,870.00"
应收股利,,,,,,,,,,,,,,,,,,,
应付股利,"60,409.99","60,409.99","60,409.99","60,409.99","60,409.99","60,409.99","60,409.99",,"40,067,030.00",,,,,,,"2,648,960.00","2,648,960.00","2,648,960.00","2,648,960.00"
存货,"654,315,266.75","480,906,395.14","644,200,660.16","574,642,989.88","785,750,380.77","727,399,952.27","703,580,514.91","651,831,543.60","639,110,983.79","720,954,767.76","880,105,546.80","763,017,687.16","625,462,035.43","717,210,670.15","710,231,609.17","640,612,775.89","682,485,749.26","716,333,877.11","763,666,995.26"
其他应付款,"233,980,446.80","269,759,232.22","147,993,993.23","304,980,715.26","283,835,721.01","239,828,755.08","228,142,697.51","251,985,136.55","288,383,452.36","347,485,113.27","195,976,672.85","224,251,071.43","233,279,472.83","211,183,142.27","262,484,612.68","249,393,347.75","231,057,718.63","240,935,720.24","263,725,763.98"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,"8,858,755.32","199,515.99",,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"100,000,000.00","65,000,000.00","65,000,000.00","65,000,000.00",,"144,855,954.32","116,343,594.32","144,703,284.53","27,328,836.57","24,257,030.21","56,066,132.92","84,416,497.50","60,915,736.60","60,000,000.00","80,000,000.00","20,000,000.00","50,000,000.00","110,000,000.00","1,039,400,000.00"
其他流动资产,"2,648,317.58",,"1,399,784.48","993,433.32","920,589.97","792,451.98","1,695,235.51","2,209,673.57",,,,"39,242.30","39,242.30","39,242.30","39,242.30","994,888.26","848,291.53","18,162,420.75","1,402,014.35"
其他流动负债,"2,906,143.81","2,399,101.05","4,228,794.26","9,662,154.48","9,922,277.88","16,485,336.28","15,045,637.71","16,767,104.84",,,,"25,000,000.00","25,000,000.00","25,000,000.00","26,300,000.00",,,,
流动资产合计,"2,091,147,016.98","2,021,210,740.87","2,067,617,868.24","2,165,723,309.97","2,341,120,445.13","2,249,980,636.65","2,009,200,221.57","2,078,416,456.58","2,130,452,202.87","2,277,389,026.24","2,524,270,997.42","2,128,420,858.77","2,130,389,867.90","2,299,114,266.45","2,277,471,703.54","2,271,552,073.74","2,279,971,020.80","2,287,717,415.82","2,252,866,985.42"
流动负债合计,"2,958,598,400.15","3,046,489,946.67","3,038,608,259.05","3,301,416,554.70","3,495,767,448.96","3,523,014,082.54","3,305,350,742.14","3,448,084,523.12","3,385,751,985.46","3,662,721,108.56","3,491,879,474.75","3,071,836,809.27","2,952,243,087.45","3,013,507,355.88","2,571,895,852.35","2,726,284,091.37","2,723,002,496.29","2,775,131,505.23","3,689,103,204.51"
可供出售金融资产,,,,,,,,,,,,,,,,,,,
长期借款,"126,100,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","60,000,000.00","60,000,000.00","160,000,000.00","330,000,000.00","380,000,000.00","820,000,000.00","830,000,000.00","860,000,000.00","860,000,000.00","1,220,000,000.00","1,090,000,000.00","1,060,000,000.00","980,000,000.00","50,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,
长期应付款,,"90,000,000.00","79,205,118.58","72,012,496.15","64,685,082.28","22,364,396.62","49,631,465.39","5,486,285.04","4,968,415.27",,,,,,,,,,
