科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"5,966,722,063.15","5,818,643,170.01","2,599,188,198.07","4,278,504,852.59","6,064,505,605.62","1,718,846,311.14","3,962,286,240.05","7,012,022,756.86","9,607,624,823.72","2,230,265,961.12","5,051,791,969.34","9,024,918,199.77","12,694,694,402.37","3,322,266,802.89","6,907,235,849.32","11,481,702,943.50","16,133,919,927.84","3,938,233,767.04","7,845,518,098.68","12,648,752,878.20","17,448,188,232.06","4,403,318,734.92","8,949,421,210.70","14,536,205,599.55","19,935,938,240.51","4,995,321,008.47","10,015,880,823.94","15,794,749,154.05","21,291,878,165.47","5,229,923,106.64","10,262,582,718.06","16,445,311,685.60","22,389,793,667.35","5,780,953,000.58","12,567,616,296.32","20,744,652,707.61"
二、营业利润,"376,641,259.53","416,178,425.91","286,562,564.12","435,838,705.20","548,091,004.38","187,029,667.99","371,506,367.23","607,279,041.24","709,776,027.68","202,019,752.95","503,473,547.11","859,368,699.74","1,081,323,235.45","493,437,434.12","823,360,264.36","1,151,450,769.81","1,447,571,064.26","684,331,632.00","1,135,764,499.55","1,613,670,540.71","1,893,599,005.89","757,660,962.64","1,262,493,860.33","1,771,966,943.39","2,202,038,841.81","914,616,926.60","1,475,673,661.08","1,949,830,867.02","2,295,747,235.30","995,211,911.58","1,598,756,740.47","2,152,043,006.12","2,649,160,284.03","1,050,450,637.45","1,909,151,907.45","2,872,764,128.91"
减:营业成本,"4,848,264,813.78","4,566,759,599.94","1,950,270,261.03","3,265,155,462.50","4,693,631,667.92","1,340,629,317.54","3,152,616,199.70","5,671,383,601.72","7,796,294,802.92","1,746,608,791.23","3,943,801,251.40","7,187,110,597.98","10,062,122,430.32","2,456,890,164.82","5,251,024,037.17","8,954,845,565.99","12,639,009,810.00","2,799,228,096.20","5,785,873,077.99","9,571,354,159.97","13,289,958,170.40","3,056,189,633.12","6,590,423,125.23","11,029,698,895.75","15,179,884,514.65","3,417,786,466.94","7,231,545,612.97","11,796,257,930.29","16,089,511,872.50","3,597,479,430.04","7,405,072,453.81","12,336,773,203.74","16,776,147,563.14","4,038,601,129.03","8,856,637,364.70","14,851,196,360.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"45,767,144.01","48,272,381.82","23,831,734.82","37,922,866.33","49,559,007.15","13,710,619.35","29,756,531.03","50,889,029.64","70,107,971.64","17,494,367.73","41,257,189.37","69,075,983.54","105,677,885.83","48,013,037.33","103,561,829.93","141,231,969.83","189,889,186.07","56,339,602.03","98,327,920.59","143,935,021.58","198,830,107.66","63,455,923.42","108,070,917.49","158,547,388.51","218,001,687.54","76,522,407.81","131,147,680.83","186,040,836.76","257,738,107.21","82,951,712.07","130,634,137.91","171,902,739.27","250,438,015.39","90,518,739.78","163,941,532.42","238,569,474.97"
营业外收入,"28,482,830.14","17,717,051.40","3,749,038.77","4,376,645.46","2,899,395.45","727,958.36","1,573,662.11","2,014,435.41","7,293,344.48","777,267.63","2,419,797.69","3,563,390.08","7,595,065.36","1,532,618.94","19,685,503.99","25,584,641.05","121,115,340.05","25,104,019.90","42,769,889.63","51,109,673.25","68,772,900.26","1,951,126.17","5,829,154.85","18,859,788.98","29,752,810.63","822,994.29","2,946,021.35","12,959,260.94","27,091,944.03","4,835,915.86","10,236,330.37","16,608,454.28","26,528,178.22","2,178,932.19","22,632,563.70","35,962,060.76"
销售费用,"385,118,440.12","470,544,504.52","217,780,182.67","345,863,875.50","474,822,086.98","114,775,742.12","262,741,776.60","443,045,802.50","685,282,958.51","172,834,032.91","371,138,390.90","608,298,052.96","908,935,550.64","234,503,131.70","499,947,144.58","811,218,676.77","1,169,357,576.81","342,449,269.65","633,152,958.79","997,208,083.07","1,427,260,041.14","405,439,517.97","729,681,685.37","1,148,485,175.06","1,581,495,511.13","453,544,287.00","874,322,509.21","1,356,047,626.26","1,826,338,741.46","419,812,183.49","830,182,761.75","1,304,059,943.01","1,807,465,382.09","481,230,884.29","1,367,204,554.01","2,360,371,008.39"
减:营业外支出,"3,039,028.46","4,460,133.45","397,665.64","924,459.57","1,211,102.59","233,741.25","849,378.56","1,221,810.03","2,092,298.15","510,674.01","804,565.15","1,091,736.05","2,417,404.70","409,767.09","695,385.91","1,150,646.75","6,174,208.87","303,387.25","611,325.35","3,354,401.97","5,441,091.65","270,784.73","1,663,239.27","2,625,937.22","4,636,012.16","173,683.02","459,410.00","1,272,722.86","10,318,965.22","398,712.36","649,925.96","1,385,827.26","4,261,265.09","655,355.54","2,141,137.51","2,886,851.74"
管理费用,"317,788,924.92","358,468,550.63","147,151,413.24","235,948,213.54","354,780,457.89","88,314,341.51","193,008,471.68","308,591,132.83","467,480,727.35","124,730,566.38","254,095,078.03","402,900,801.19","663,102,017.25","132,550,579.17","294,876,797.82","498,125,012.15","790,168,469.70","134,120,304.43","301,523,884.46","491,026,656.80","826,825,915.50","162,641,929.10","327,133,876.75","526,150,285.22","906,573,841.97","175,118,129.60","369,735,163.00","623,963,119.57","968,410,066.11","186,587,741.21","385,418,434.80","648,761,263.19","1,062,004,731.63","159,985,126.46","395,069,049.52","691,763,065.78"
其中:非流动资产处置净损失,"795,495.96","1,332,752.41","82,757.28","388,462.49","274,261.13","193,443.22","223,392.43","261,408.30","551,727.26","107,285.31","155,658.65","247,520.30","1,023,290.45","111,487.64","182,082.08","269,048.78","3,495,979.75","17,151.95","69,599.96","98,974.28","310,691.03","204,851.65","418,825.87","644,141.19","1,171,686.20","54,552.42","144,256.24","159,804.60","441,741.81","91,009.04","131,873.85","217,702.18","525,425.47","30,029.76","174,738.46","188,899.73"
