科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
货币资金,"127,072,410.14","198,287,270.76","202,445,347.77","174,918,447.13","200,126,387.81","224,403,637.03","340,388,876.62","299,937,915.96","281,051,053.68","277,183,669.38","296,131,535.15","259,844,972.40","119,834,455.45","177,786,424.57","220,024,235.38","127,368,271.63","132,632,326.78","45,226,509.02","48,161,198.38","30,561,697.19"
短期借款,"83,900,000.00","110,000,000.00","60,000,000.00","106,000,000.00","130,000,000.00","80,000,000.00","180,000,000.00","192,900,000.00","212,900,000.00","186,900,000.00","216,900,000.00","285,000,000.00","230,000,000.00","230,000,000.00","254,160,000.00","205,081,547.95","199,082,759.55","251,790,591.86","251,547,584.15","229,163,504.60"
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,,,"8,442,705.00","2,181,650.00","4,206,800.00","10,480,000.00","22,317,500.00","3,365,217.76","900,000.00","9,446,380.00","835,500.00","2,995,277.00","510,000.00","40,642,911.04","32,315,496.00","6,843,438.41","477,500.00","2,923,680.00","7,852,402.64","12,749,546.59"
应付票据,"27,486,199.98","55,489,502.38","52,000,000.00","15,092,719.33","32,069,619.33","43,471,459.96","39,009,611.96","24,652,006.25","41,881,106.64","93,462,317.49","127,342,917.76","91,380,508.27","125,675,907.47","185,433,514.46","215,016,975.15","158,964,168.65","158,294,894.48",,,
应收账款,"103,648,665.68","135,310,619.98","168,834,097.40","233,927,325.57","232,428,424.99","207,819,469.93","286,524,170.55","363,247,029.97","391,165,480.77","439,068,259.35","419,795,209.50","557,341,647.35","550,603,459.78","494,457,668.21","523,483,494.86","491,740,646.08","477,449,628.99","399,484,050.77","384,177,837.65","355,617,857.41"
应付账款,"53,011,759.87","93,277,101.06","74,497,991.52","57,773,548.31","57,240,064.20","62,148,862.38","41,186,538.39","59,015,721.91","60,333,100.64","73,017,898.00","72,567,979.73","123,762,611.38","99,834,974.68","89,962,919.44","83,124,268.31","80,898,125.03","81,818,269.29","80,503,071.99","66,432,046.53","66,942,323.72"
预付款项,"23,569,604.89","16,130,110.83","54,887,257.02","41,981,090.27","46,473,257.85","51,819,695.91","63,173,782.45","61,053,750.02","54,092,876.76","54,569,450.36","105,106,097.10","49,357,505.17","81,834,180.72","61,001,429.89","91,550,416.47","127,646,530.13","136,450,938.47","116,421,114.97","123,643,955.87","123,543,252.06"
预收款项,"7,794,602.63","9,968,369.67","28,279,462.77","22,128,641.99","30,383,497.36","31,018,077.88","31,033,282.63","9,952,750.40","15,955,223.33","5,998,477.97","21,021,578.23","45,084,176.53","24,597,569.98","22,736,003.91","35,436,637.09","22,526,182.85","27,995,672.83","17,243,679.40","17,416,764.06","18,046,588.38"
其他应收款,"4,533,775.45","15,173,096.47","6,346,265.46","5,133,488.69","8,870,765.49","6,915,821.62","22,508,950.42","14,943,091.58","15,579,950.35","7,600,622.31","26,673,177.88","44,896,507.79","49,144,274.26","62,078,632.25","70,336,491.35","54,799,225.02","50,726,196.68","66,720,842.09","74,080,256.74","71,938,782.34"
应付职工薪酬,"1,380,186.37","651,000.09","497,452.21","422,200.16","170,687.69","728,364.85","844,596.15","668,342.62","876,744.54","1,188,681.08","452,186.63","722,970.59","991,666.53","1,249,434.32","372,652.38","528,200.82","867,269.12","1,716,947.38","1,406,263.11","1,012,042.03"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"2,310,566.84","783,456.61","9,333,827.58","7,750,097.21","4,417,859.38","12,798,809.33","9,060,497.42","9,511,179.90","6,328,872.08","7,084,897.12","6,123,767.02","7,204,473.36","-5,397,941.79","2,877,968.74","6,274,554.36","-1,013,520.86","-1,734,618.15","1,440,127.10","507,684.64","-112,385.15"
应收利息,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,
存货,"64,861,943.38","107,474,124.91","75,259,095.37","65,578,108.82","80,408,588.16","72,643,741.21","72,122,616.92","58,327,979.68","77,721,702.55","79,571,312.80","85,984,617.85","94,590,152.71","132,444,050.26","118,713,159.75","81,492,297.83","79,146,771.09","85,785,852.82","67,575,864.26","64,555,674.34","58,852,131.59"
其他应付款,"3,599,682.70","7,633,730.99","4,661,997.52","6,829,427.88","3,549,698.52","3,112,878.55","3,987,869.85","5,457,669.70","3,204,997.98","38,827,698.87","2,337,191.76","3,058,925.71","2,706,500.45","3,785,362.20","3,530,809.49","2,263,887.22","2,260,278.23","12,104,332.09","36,760,929.93","35,886,514.13"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,"20,000,000.00","44,000,000.00","44,000,000.00",,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,"626,142.13",,,,"1,411,147.48","1,411,064.45","666,501.08"
其他流动负债,,,,,,,,,,,,,,,,,,,,
流动资产合计,"323,686,399.54","472,375,222.95","516,214,768.02","523,720,110.48","572,514,224.30","574,082,365.70","807,035,896.96","800,874,984.97","820,511,064.11","867,439,694.20","934,526,137.48","1,009,026,062.42","934,370,420.47","955,306,367.84","1,019,202,431.89","887,544,882.36","883,522,443.74","699,763,208.59","703,882,390.07","653,929,768.26"
流动负债合计,"179,482,998.39","277,803,160.80","229,270,731.60","235,996,634.88","301,831,426.48","277,278,452.95","305,122,396.40","302,157,670.78","341,480,045.21","406,479,970.53","446,745,621.13","556,213,665.84","478,408,677.32","536,045,203.07","597,915,896.78","469,248,591.66","468,584,525.35","364,798,749.82","374,071,272.42","350,938,587.71"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,
长期借款,"75,000,000.00","80,000,000.00","109,000,000.00","79,000,000.00","50,000,000.00","50,000,000.00","29,000,000.00","29,000,000.00",,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,"26,212,682.65","26,212,682.65","27,059,904.68","27,250,065.07","28,618,606.47","28,618,606.47","28,245,873.47"
应付债券,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,"49,775,480.00","25,520,912.85","25,505,532.85","26,108,304.08","26,291,777.20","25,326,095.39","25,326,095.39","24,592,145.20"
专项应付款,,,,,,,"3,604,423.00",,,,,,,,,,,,,
