科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"60,346,536.84","77,807,002.47","110,320,659.58","67,049,351.24","110,620,645.68","155,695,254.51","38,171,465.68","86,584,847.06","129,364,418.59","181,499,886.65","29,510,457.70","84,667,921.03","123,156,677.47","163,135,295.55","33,371,168.26","67,363,248.04","107,500,042.16","139,877,109.14","40,577,050.06","65,456,987.10","107,441,864.46","150,065,276.22","28,928,747.48","65,438,368.06","117,233,446.57","203,642,183.09","44,657,810.40","86,698,558.47","160,353,095.55","330,839,886.05","48,782,796.43","92,223,615.22","143,658,407.91","205,677,001.62","74,437,043.57"
取得子公司及其他营业单位支付的现金净额,"820,000.00","1,200,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"5,155,498.40","1,497,034.85","1,980,638.07","10,493,680.72","2,132,959.07","6,043,516.73","9,680,283.37","15,057,227.83",,"4,728,083.38","5,990,850.47","13,987,699.53","1,123,162.56","3,862,195.35","6,329,079.99","9,985,187.15",,"861,807.09","1,980,724.19","4,287,241.61","130,757.31","211,837.66","211,507.66","1,868,907.49",,,"799,567.37","7,435,712.69","1,770,289.56","4,225,390.31","6,232,323.13","8,635,626.77",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"53,639.57","1,687,013.77","5,095,984.98","8,323,859.89","8,626,131.95","12,718,650.80","1,177,321.52","6,948,956.51","10,780,169.33","26,616,258.67","2,077,556.69","7,564,525.33","12,734,771.90","23,670,411.66","2,447,844.58","6,180,275.76","11,792,875.29","23,271,503.80","803,706.82","4,122,180.97","5,551,844.20","12,978,178.78","4,603,166.57","3,155,901.30","11,921,802.10","7,160,900.67","179,630.48","1,322,801.80","4,847,517.58","7,300,156.84","226,117.52","2,852,374.97","3,235,671.21","7,765,908.48","951,852.40"
投资活动现金流出小计,"1,660,031.00","2,443,610.12","3,743,072.77","3,017,718.37","5,532,522.73","18,616,389.08","19,504,894.94","36,545,952.73","39,891,685.10","49,480,563.77","14,409,679.42","26,938,800.76","47,129,490.72","62,375,791.72","22,393,851.26","52,192,851.98","64,473,209.49","71,721,176.38","46,372,601.74","55,016,258.00","169,955,731.15","156,381,012.79","252,776.28","20,733,759.82","20,832,361.16","25,977,831.61","103,741.44","1,569,818.46","7,377,868.73","159,618,550.61","91,842,955.57","94,711,474.59","96,411,451.52","127,867,395.01","8,143,087.22"
经营活动现金流入小计,"60,400,176.41","79,494,016.24","120,572,142.96","76,870,245.98","121,227,415.70","178,907,586.03","41,481,746.27","99,577,320.30","149,824,871.29","223,173,373.15","31,588,014.39","96,960,529.74","141,882,299.84","200,793,406.74","36,942,175.40","77,405,719.15","125,621,997.44","173,133,800.09","41,380,756.88","70,440,975.16","114,974,432.85","167,330,696.61","33,662,671.36","68,806,107.02","129,366,756.33","212,671,991.25","44,837,440.88","88,021,360.27","166,000,180.50","345,575,755.58","50,779,203.51","99,301,380.50","153,126,402.25","222,078,536.87","75,388,895.97"
投资活动产生的现金流量净额,"-1,660,031.00","-2,443,610.12","-3,739,872.77","-3,017,718.37","-5,532,522.73","-18,616,389.08","-19,504,894.94","-36,492,355.85","-39,838,088.22","-49,426,966.89","-14,409,679.42","-26,938,800.76","-47,024,674.05","-62,268,675.05","-22,393,851.26","-51,979,734.33","-56,135,434.31","-71,464,802.96","-46,370,464.24","-54,883,970.50","-169,821,914.71","-156,228,715.79","-252,776.28","-20,609,386.03","-20,692,581.39","-25,406,092.29","-45,054.52","-1,505,904.77","127,866,498.96","-24,305,590.43","-91,820,040.57","-94,491,559.59","-96,191,536.52","-127,647,480.01","-7,914,322.26"
购买商品、接受劳务支付的现金,"41,446,864.11","30,652,949.27","44,720,919.79","31,150,542.68","57,479,442.78","79,227,573.54","16,190,936.72","38,718,982.67","57,775,042.75","68,098,055.23","11,815,760.12","29,950,951.88","44,663,628.16","51,528,122.40","10,134,121.96","26,774,038.09","52,831,646.22","72,124,205.39","14,169,877.14","21,678,179.34","50,817,936.12","78,802,403.71","13,731,872.44","31,577,722.78","82,243,049.32","154,356,638.60","5,393,912.99","32,525,626.46","45,418,795.40","168,545,378.05","24,972,008.07","34,677,474.68","63,892,298.95","80,747,912.87","23,806,882.90"
吸收投资收到的现金,"4,500,000.00",,,,,"348,549,000.00",,,,,,,"30,060,000.00","35,060,000.00",,"4,900,000.00","4,900,000.00","4,900,000.00","4,495,000.00","4,495,000.00","4,495,000.00","4,495,000.00",,,,"1,330,000.00",,,,"162,000,000.00",,,,,"300,000.00"
