科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"282,106,288.23","357,610,829.24","465,425,419.80","258,581,900.29","359,678,924.25","502,605,353.41","122,610,122.73","271,086,798.89","391,755,170.72","547,644,657.36","145,941,839.59","316,294,094.11","451,463,310.61","603,497,589.90","156,507,662.27","331,559,215.84","456,133,854.59","638,830,164.38","157,729,283.82","307,519,901.95","412,061,129.25","648,938,569.15","224,286,628.51","442,801,471.06","627,592,175.77","878,396,524.01","239,373,534.97","417,223,255.94","559,496,528.72","774,613,674.00","176,861,933.74","373,014,120.73","522,878,800.32","710,083,532.51","201,859,236.50"
二、营业利润,"42,008,853.02","53,124,644.78","73,244,897.26","42,133,102.29","60,600,343.96","78,943,090.45","21,182,824.93","42,443,918.83","61,413,900.21","85,434,181.36","25,041,298.55","51,750,187.31","67,437,176.68","90,535,767.66","24,812,067.97","54,921,373.61","73,649,632.42","100,263,014.28","36,625,473.57","81,670,205.15","100,775,182.54","128,510,475.28","31,586,208.60","66,108,070.32","95,289,055.19","137,841,028.06","41,199,936.35","87,583,066.33","113,818,353.08","149,409,703.78","8,528,429.11","14,982,413.85","18,481,980.27","14,496,998.70","-6,428,040.72"
减:营业成本,"209,289,326.91","261,617,878.99","347,327,809.23","192,572,468.69","264,977,169.81","376,645,628.08","92,785,505.76","209,783,097.00","301,541,407.26","411,644,570.11","110,176,813.12","240,463,840.56","342,650,143.82","458,058,053.46","121,683,530.69","252,565,599.97","346,032,081.24","475,958,244.24","118,788,891.01","232,950,515.38","313,466,659.19","506,893,742.57","188,315,125.65","371,919,602.44","519,750,411.71","720,309,057.37","199,063,605.05","341,178,492.29","452,339,181.00","624,272,155.51","157,368,238.77","328,474,845.65","463,816,549.27","625,758,064.08","183,121,519.49"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,137,292.69","2,014,181.33","2,203,583.86","1,298,959.56","1,876,648.25","2,746,880.98","406,274.77","1,237,804.85","1,683,736.00","2,523,525.09","628,754.32","1,664,318.78","2,302,093.14","2,890,362.04","395,041.85","1,730,119.72","2,155,130.90","3,067,624.35","865,290.72","1,752,342.40","2,000,436.18","3,539,335.29","838,609.89","1,456,012.86","1,934,355.33","6,390,804.85","2,421,831.32","4,285,614.89","5,852,973.42","8,030,204.61","2,154,852.49","4,469,579.05","5,772,723.78","7,723,882.93","2,590,316.85"
营业外收入,"926,070.30","2,940,331.01","2,740,854.78","1,943,481.77","2,874,679.75","7,177,135.69","1,855,972.36","4,137,851.91","5,058,930.16","6,100,123.99","770,077.34","1,550,776.57","2,821,645.02","7,295,225.07","768,646.31","3,031,951.55","3,949,268.55","5,667,746.03","1,034,853.34","2,858,573.27","4,861,569.87","6,868,943.56","1,208,126.15","2,718,200.82","4,417,253.74","7,691,896.21","1,416,087.78","70,644.50","532,679.50","1,229,232.66","130,065.19","249,928.45","262,540.82","915,629.08","512,751.05"
销售费用,"8,396,168.35","11,082,846.46","15,491,843.98","8,510,180.35","10,173,638.92","13,852,841.55","3,294,950.75","7,587,491.51","10,902,507.41","15,993,654.41","4,361,618.60","10,067,175.24","14,764,054.11","22,304,016.51","8,181,089.32","14,324,083.71","18,482,820.93","28,379,960.18","6,195,876.60","12,190,222.96","16,627,766.87","23,797,061.15","3,955,320.21","9,021,757.52","15,188,618.54","23,324,847.83","5,111,448.74","10,870,899.96","16,137,116.87","25,213,145.10","5,319,394.44","11,823,702.58","19,595,960.64","26,108,441.31","4,488,310.57"
减:营业外支出,"53,701.00","10,538.58","21,899.59",,"20,000.00","21,000.00","3,408.14","4,408.14","28,724.59","1,416,824.45","1,871.00","48,124.70","48,324.70","305,497.90",5.91,"800,005.91","827,005.91","833,965.12",,"150,000.00","154,000.00","155,000.80",400.00,"29,097.10","33,601.37","1,312,243.81",63.98,66.85,"21,093.73","102,416.74","3,247.95","21,262.21","24,262.21","30,581.11",13.66
管理费用,"18,310,303.33","26,360,952.30","27,174,819.95","13,669,712.14","20,864,684.73","29,040,960.33","7,172,867.43","16,324,949.72","25,494,184.92","42,985,014.16","11,019,963.26","20,950,291.92","33,557,980.51","44,210,372.82","13,101,683.44","25,107,956.48","36,712,000.42","54,378,734.34","11,618,987.19","23,439,934.78","36,101,879.74","52,252,837.32","14,174,466.46","29,343,648.26","46,466,270.71","57,553,065.38","13,301,344.13","26,361,980.81","42,624,665.91","63,919,199.58","15,020,536.28","34,880,567.45","36,499,995.26","51,560,400.30","13,207,862.74"
其中:非流动资产处置净损失,,,,,,,,,,"170,939.97",,,,,,,,"6,959.21",,,,,,,,379.62,,,,,,,,,
