科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"97,822,843.58","127,342,011.95","106,606,003.27","144,914,188.34","118,944,229.16","324,404,022.16","253,079,769.27","205,341,220.14","240,932,287.78","240,133,095.01","247,646,407.40","217,582,170.53","252,930,277.91","181,184,642.13","180,989,888.63","171,603,931.44","185,742,024.45","169,934,791.57","185,884,613.42"
短期借款,"340,000,000.00","340,000,000.00","490,000,000.00","513,041,787.35","521,186,482.79","518,515,652.54","587,644,780.12","605,051,409.99","632,824,679.66","567,114,579.93","607,918,443.78","603,519,910.50","555,101,814.02","527,524,871.45","610,680,474.32","620,000,000.00","615,000,000.00","615,000,000.00","625,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,"5,034,856.17","5,034,856.17"
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,"118,944,267.21","129,505,795.85","169,041,456.81","166,284,214.48","151,178,213.93","219,143,862.89","265,232,206.61","161,210,042.10","180,334,203.93","157,964,927.02","173,160,648.11","185,795,341.02","153,751,578.39","134,831,968.14","149,779,850.34","140,390,113.65","178,019,600.60","226,349,187.73","188,279,246.49"
应付票据,"25,000,000.00","15,900,000.00",,,"60,000,000.00","70,000,000.00","10,000,000.00",,,,"10,000,000.00","10,000,000.00",,,,,,,
应收账款,"132,069,016.35","142,227,353.00","241,533,797.53","296,669,028.33","310,495,599.92","333,462,431.47","317,050,613.44","351,084,529.32","364,740,754.98","346,880,615.58","287,219,872.94","290,220,006.43","426,707,016.91","474,958,826.20","427,164,270.79","489,924,089.62","505,179,946.30","544,261,174.67","464,997,118.87"
应付账款,"27,421,057.89","24,626,654.19","35,903,971.88","32,846,390.62","23,817,342.02","26,312,791.13","19,540,868.95","16,385,989.80","15,062,436.77","17,900,143.04","14,322,093.51","18,437,336.61","109,746,099.23","69,906,752.08","60,983,616.50","95,389,409.99","90,158,246.63","99,487,759.51","72,150,907.81"
预付款项,"41,842,350.40","13,064,093.14","43,191,216.40","14,898,631.52","52,086,834.93","16,851,123.19","24,835,589.53","52,172,526.86","31,416,692.28","19,775,006.45","27,720,682.93","18,546,019.27","54,000,744.71","28,251,076.65","25,190,276.90","55,482,971.87","42,557,274.36","37,479,307.74","33,541,414.40"
预收款项,"27,435,209.75","18,456,611.92","16,499,111.73","9,676,066.33","17,800,488.85","8,210,023.62","20,902,853.77","10,145,539.44","15,040,124.09","9,017,261.89","15,364,656.77","22,630,451.75","22,952,288.85","12,319,958.61","16,444,593.17","23,467,825.22","26,453,322.87","20,816,075.05","28,089,231.25"
其他应收款,"1,350,280.13","2,100,002.46","5,635,056.12","5,400,167.84","7,211,754.81","10,880,686.88","14,812,564.62","6,637,464.90","10,050,869.34","11,546,344.45","12,481,846.72","18,825,039.57","45,291,588.56","42,452,154.46","47,420,084.30","43,264,288.88","57,527,510.04","47,660,944.55","57,195,266.59"
应付职工薪酬,"1,825.98","36,610.51","1,549,099.42","727,828.38","82,227.17","2,382,438.29","2,359,629.24","809,314.89","135,225.62","2,290,826.61","1,468,186.27","159,447.66","1,120,505.36","3,619,759.16","1,682,482.76","1,203,608.41","2,438,623.70","3,358,236.44","2,852,056.37"
应收关联公司款,,,,,,,,,,,,,,,,,,,
应交税费,"-1,106,579.49","-134,839.47","-5,608,149.26","5,046,376.77","1,392,770.64","2,592,378.76","1,610,582.81","6,337,687.56","3,738,286.83","4,167,329.60","2,827,261.24","3,680,042.03","7,100,755.54","14,364,965.25","8,139,920.61","5,920,790.37","9,279,141.58","17,694,054.22","15,666,432.30"
应收利息,,,,,,,,"537,534.25","426,833.33",,"199,500.00","147,250.00","256,500.00","119,250.00","321,625.00","169,222.22","159,173.52",,
应付利息,,,,,,"2,376,805.55","3,114,277.77",,,"1,080,000.00","797,500.00",,"2,439,769.86","2,890,224.08","1,049,820.19","1,253,407.28","2,311,532.28","2,609,565.91","1,589,102.34"
应收股利,,,,,,,,,,,,,,,,,,,"56,748.85"
应付股利,,,,,,,,,,,,,,,,,,,
存货,"103,666,505.58","92,505,954.52","115,433,566.41","113,693,238.37","151,188,772.95","144,004,352.42","178,322,575.52","182,798,440.11","124,127,284.56","128,181,204.03","136,083,752.90","166,773,241.74","170,740,379.66","172,266,298.73","255,212,985.13","244,335,838.36","185,429,738.70","183,325,405.12","244,145,519.68"
其他应付款,"17,252,050.15","13,723,380.18","12,938,209.34","12,429,389.35","10,046,753.90","15,728,554.70","14,932,380.32","9,609,845.78","12,570,511.78","15,289,201.63","8,969,728.77","17,810,781.41","85,649,105.40","81,733,980.28","76,965,732.44","73,058,069.76","76,508,672.37","83,324,508.99","67,754,710.84"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,"50,000,000.00",,,,,,,,,
