科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"329,344,312.26","539,258,058.26","782,952,620.04","221,537,215.61","433,333,254.56","706,766,459.54","985,320,007.79","267,249,315.15","604,854,780.22","959,422,210.91","1,325,337,634.18","304,170,751.77","734,322,001.14","1,161,624,919.49","1,553,625,144.65","328,872,823.51","766,387,950.19","1,135,373,920.53","1,508,324,941.41","373,355,994.72","817,294,319.61","1,272,855,968.14","1,779,571,807.74","506,861,929.10","1,101,695,615.00","1,718,236,050.39"
二、营业利润,"15,841,091.89","48,778,983.04","83,214,387.91","27,691,915.85","53,696,254.56","82,939,419.88","118,179,453.16","29,469,472.36","67,027,452.67","113,021,474.94","157,212,755.12","36,631,971.88","93,693,790.35","157,103,140.30","212,220,503.45","37,692,762.94","100,565,505.45","175,304,316.81","235,452,484.46","53,837,372.44","130,292,732.51","200,401,485.21","264,576,423.68","66,546,449.59","152,023,304.47","224,430,407.86"
减:营业成本,"267,826,265.03","427,859,187.44","608,554,821.00","169,650,278.95","329,789,796.14","547,493,044.82","763,460,899.35","210,794,540.05","476,747,324.08","753,694,131.06","1,034,048,918.86","234,653,289.79","567,936,442.90","889,822,764.09","1,183,748,667.30","249,525,828.41","585,988,875.78","849,241,881.24","1,114,175,742.82","271,319,779.89","590,918,031.39","913,393,413.11","1,288,045,780.36","387,857,971.67","846,510,755.98","1,333,236,291.66"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,289,954.46","2,996,186.39","2,641,552.32","1,229,313.38","2,917,181.00","4,338,981.25","5,442,469.78","591,710.58","2,852,392.19","5,366,881.06","7,305,504.76","1,924,399.38","4,818,059.40","7,656,472.53","10,349,393.05","1,896,627.29","6,054,062.15","9,407,416.43","12,915,668.65","2,931,145.39","5,661,484.22","9,930,355.88","16,438,531.73","2,475,181.13","7,992,180.36","11,513,496.37"
营业外收入,"2,598,181.26","1,748,494.19","3,750,917.38","733,769.23","935,600.46","1,094,983.06","2,823,445.78","1,539,835.40","1,754,288.94","2,545,215.85","3,631,670.02","1,879,916.50","1,991,801.35","2,761,479.03","3,254,063.84","2,285,848.17","3,217,808.96","3,355,178.55","6,281,130.29","2,523,577.25","3,940,007.12","5,730,467.47","3,931,719.44","2,288,274.85","1,819,167.95","2,178,887.35"
销售费用,"5,526,678.95","9,862,734.15","12,872,135.76","3,663,739.69","8,590,580.76","15,082,425.67","19,458,286.59","6,010,481.52","12,860,456.31","20,834,502.46","29,751,493.27","6,362,894.26","15,778,316.89","23,608,874.75","33,012,192.45","9,374,814.43","17,529,528.96","25,009,329.20","38,519,040.72","9,530,172.38","19,085,473.21","30,328,089.49","46,677,484.26","14,145,305.78","25,393,655.21","37,028,420.99"
减:营业外支出,"176,836.49","152,203.94","222,997.45","160,657.06","187,043.67","471,376.65","567,088.35","101,615.24","113,706.67","282,318.64","912,530.22","782,883.54","819,245.02","939,390.62","993,267.56","143,012.64","175,073.18","1,018,129.36","4,421,532.61","63,623.22","75,795.89","531,230.20","3,176,819.18","1,070,180.33","1,880,137.69","2,954,904.84"
管理费用,"27,493,404.13","35,853,793.69","56,007,205.24","15,759,789.88","32,325,005.53","52,422,783.72","74,242,725.93","18,405,398.15","42,922,239.34","63,227,448.82","91,018,446.07","22,177,787.77","48,493,410.79","75,325,648.36","105,645,416.60","23,324,074.43","49,907,146.46","74,284,063.88","102,017,072.30","31,681,481.87","63,001,019.60","93,946,672.45","127,971,859.56","33,779,327.86","74,776,593.29","111,380,296.98"
其中:非流动资产处置净损失,,"6,111.70",,,,,"144,305.96",,,,"777,352.36","782,151.54","815,870.21","859,675.51","879,865.30","123,109.64","145,513.37","898,698.38","4,049,958.84","55,588.22","55,588.22","432,869.73","3,074,313.55","1,069,663.05","1,642,627.52","2,386,142.46"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,777,719.62","14,221,783.35","19,553,300.48","2,712,621.89","4,619,118.08","2,598,253.75","2,721,585.62","1,422,220.42","3,007,645.00","4,310,105.48","6,530,942.47","727,102.79","1,598,632.71","8,582,418.60","12,490,370.69","7,598,375.91","6,046,904.99","-858,550.70","-1,647,599.18","2,937,617.47","-105,764.82","-832,820.58","371,119.70","1,572,074.03","-5,852,004.97","-2,236,421.12"
三、利润总额,"18,262,436.66","50,375,273.29","86,742,307.84","28,265,028.02","54,444,811.35","83,563,026.29","120,435,810.59","30,907,692.52","68,668,034.94","115,284,372.15","159,931,894.92","37,729,004.84","94,866,346.68","158,925,228.71","214,481,299.73","39,835,598.47","103,608,241.23","177,641,366.00","237,312,082.14","56,297,326.47","134,156,943.74","205,600,722.48","265,331,323.94","67,764,544.11","151,962,334.73","223,654,390.37"
