科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"133,164,197.64","173,902,321.88","310,735,115.23","270,945,452.81","1,045,885,530.13","838,291,800.09","673,378,250.20","596,320,653.48","531,015,777.23","386,189,537.55","475,999,123.31","588,184,847.25","444,482,584.48","396,118,292.34","443,099,077.43","321,693,832.83","320,276,721.48","315,682,496.18","281,213,605.00","273,306,160.52","196,205,989.65","227,266,341.32","245,386,484.22","348,402,334.12","529,111,427.57","369,252,479.17","309,250,772.83","240,963,337.66","145,236,585.86","330,896,909.33","317,122,973.64","533,668,063.55","265,799,872.18","258,558,578.02","262,559,021.92","209,521,623.56","185,934,696.61"
短期借款,"105,000,000.00","193,330,000.00","261,140,000.00","320,570,000.00","280,000,000.00","260,000,000.00","200,000,000.00","294,000,000.00","410,188,984.30","406,077,140.23","480,000,000.00","566,000,000.00","480,000,000.00","425,000,000.00","477,000,000.00","120,000,000.00","40,000,000.00","140,000,000.00","140,000,000.00","100,000,000.00","60,000,000.00","100,000,000.00","140,000,000.00","200,000,000.00","280,000,000.00","306,917,535.00","320,741,350.40","403,518,520.00","396,977,053.78","505,451,938.92","497,691,904.70","530,660,800.62","825,488,648.10","825,001,338.24","724,533,813.52","557,934,257.70","420,407,960.82"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"128,064,539.22","218,751,093.57","114,876,282.02","276,887,332.48","372,197,163.11","294,400,088.90","272,402,425.66","308,445,509.99","345,162,623.38","388,035,654.53","415,043,407.36","520,332,943.92","492,037,549.22","496,729,539.08","454,050,752.46","458,965,865.28","339,858,180.44","350,834,166.87","300,372,456.82","303,317,725.15","381,111,514.97","348,220,940.82","428,742,672.23","417,301,053.07","334,002,489.29","315,234,700.30","416,744,012.09","433,254,356.19","218,286,993.20","197,519,297.37","287,881,045.11","243,279,426.01","132,538,873.64","93,422,372.66","154,319,473.96","302,107,106.35","116,750,155.72"
应付票据,"132,028,124.60","302,879,979.02","187,552,845.98","279,379,364.39","303,040,392.42","226,973,465.38","311,776,035.76","367,565,044.76","385,890,099.93","326,145,297.58","396,851,691.10","527,597,937.23","429,295,108.17","460,680,261.73","429,368,394.94","420,828,885.95","417,210,981.60","401,828,702.36","438,916,433.57","500,211,710.82","480,277,658.43","502,308,853.96","562,030,958.52","520,467,405.87","655,432,526.10","723,057,961.45","586,113,040.14","588,907,798.84","641,798,320.07","530,160,527.01","668,531,992.39","825,532,398.16","530,461,648.40","528,156,607.92","531,577,743.33","589,641,062.00","454,829,387.39"
应收账款,"338,088,067.19","318,468,910.87","459,298,356.96","341,823,047.23","321,025,029.53","449,779,456.59","457,533,694.50","500,364,065.98","514,455,887.91","599,796,815.60","627,168,477.82","576,925,483.31","564,071,104.70","615,767,722.37","641,865,130.71","637,359,519.83","631,414,179.85","862,417,747.49","995,357,739.05","925,093,982.16","916,572,501.78","1,089,605,716.36","1,180,915,743.41","933,045,234.85","1,014,275,473.25","1,143,655,324.72","967,520,626.13","963,608,716.03","966,321,566.31","1,159,240,246.92","1,266,623,548.67","896,299,989.09","1,314,270,327.48","1,365,965,066.95","1,219,997,035.58","923,692,674.41","825,965,851.35"
应付账款,"220,271,721.98","169,003,551.18","298,611,905.91","253,285,753.98","292,570,932.39","335,513,929.83","297,113,924.79","306,146,380.00","253,192,500.69","323,661,285.16","353,274,713.45","377,247,521.59","431,776,098.18","461,236,331.62","431,453,268.29","421,937,223.69","396,412,891.37","549,494,683.92","655,927,408.65","573,875,669.36","601,665,140.45","727,399,525.95","808,313,155.77","672,407,901.35","696,886,922.26","839,453,154.45","892,296,377.57","1,128,246,968.34","843,132,643.23","1,161,108,449.25","1,005,787,551.77","905,252,850.46","878,164,461.39","1,137,898,301.20","1,335,115,640.77","1,130,671,077.40","1,053,523,229.89"
预付款项,"25,351,795.88","24,291,850.97","12,888,818.47","72,854,990.06","53,964,366.16","75,835,128.79","110,238,779.95","110,260,844.04","93,074,540.64","110,459,947.39","83,312,791.73","71,573,533.21","80,121,667.63","67,003,992.81","23,053,516.74","36,639,888.55","38,161,903.14","54,685,387.29","66,020,230.57","77,004,106.61","85,546,543.82","92,944,600.32","71,481,178.42","122,910,507.25","187,305,347.10","205,289,308.16","90,307,108.04","145,547,290.98","106,699,209.67","159,421,027.07","126,033,465.19","132,262,251.35","113,431,366.20","116,590,314.50","108,466,226.87","158,088,386.20","108,474,525.79"
预收款项,"18,129,222.94","14,104,247.24","24,092,565.87","19,934,019.75","13,415,525.13","18,213,736.02","24,988,887.58","19,512,756.78","27,405,764.95","25,377,159.36","31,781,958.11","41,664,827.09","24,463,262.07","25,600,437.12","21,532,421.05","34,939,102.77","31,439,066.51","33,722,131.04","35,133,755.50","60,547,133.45","47,957,323.58","33,702,344.54","26,854,038.36","28,860,551.67","27,882,818.94","31,968,350.17","46,306,832.05","58,984,197.63","64,336,468.27","73,546,316.70","53,399,294.95","67,789,170.18","74,778,167.49","115,417,349.14","59,342,142.55","63,612,541.29","99,640,155.05"
