科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"3,833,940,574.67","4,266,557,439.65","4,941,488,886.57",,"2,541,292,878.47","4,203,379,321.23","6,328,151,888.57","1,337,502,318.66","3,398,135,328.83","5,466,403,186.98"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,"165,503.91","5,922,717.41","1,284,090.04",,"415,012.71","432,366.60","448,442.82","42,608.92","273,335.85","466,210.11"
支付其他与投资活动有关的现金,,"1,786,748.00",,,,,,,,
收到其他与经营活动有关的现金,"215,985,655.34","64,889,984.46","109,217,295.32",,"20,119,951.92","29,080,529.54","56,259,019.39","3,224,602.27","22,642,697.84","39,122,700.68"
投资活动现金流出小计,"7,441,814,859.59","6,844,919,551.08","10,066,475,872.49",,"3,847,781,740.98","7,306,688,490.34","12,775,772,400.29","4,265,978,515.82","10,581,524,129.42","19,810,965,316.72"
经营活动现金流入小计,"4,050,091,733.92","4,337,370,141.52","5,051,990,271.93",,"2,561,827,843.10","4,232,892,217.37","6,384,859,350.78","1,340,769,529.85","3,421,051,362.52","5,505,992,097.77"
投资活动产生的现金流量净额,"-355,931,507.00","37,694,454.23","-467,940,284.53","-58,769,000.00","-141,207,456.31","-1,065,280,637.93","-1,534,132,439.83","84,411,823.08","-205,684,291.57","-385,262,489.54"
购买商品、接受劳务支付的现金,"2,276,329,814.37","2,670,566,800.33","2,917,744,936.56",,"1,258,685,467.56","2,116,740,354.45","3,232,982,902.98","829,254,532.70","1,830,332,445.45","3,034,295,474.20"
吸收投资收到的现金,"2,400,000.00",,,,,"868,519,000.00","868,519,000.00",,"150,000.00","200,000.00"
支付给职工以及为职工支付的现金,"536,495,854.64","675,892,312.24","748,022,923.87",,"421,861,708.09","585,686,221.04","793,156,496.95","318,206,373.47","536,981,593.69","743,426,772.43"
取得借款收到的现金,"8,596,904.82","19,756,021.00","426,210,001.07",,"152,186,640.00","272,713,254.95","395,602,783.86",,,"100,000,000.00"
支付的各项税费,"262,963,910.43","291,874,589.71","344,347,032.92",,"210,138,294.69","328,801,914.59","429,244,869.00","131,434,431.92","297,032,951.86","440,657,484.86"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"461,857,346.68","556,678,809.57","627,551,051.96",,"329,261,758.98","538,027,688.48","769,428,915.99","242,987,955.20","499,447,695.11","798,147,422.36"
筹资活动现金流入小计,"10,996,904.82","19,756,021.00","426,210,001.07",,"152,186,640.00","1,141,232,254.95","1,264,121,783.86",,"150,000.00","100,200,000.00"
经营活动现金流出小计,"3,537,646,926.12","4,195,012,511.85","4,637,665,945.31",,"2,219,947,229.32","3,569,256,178.56","5,224,813,184.92","1,521,883,293.29","3,163,794,686.11","5,016,527,153.85"
偿还债务支付的现金,,"8,076,024.00","116,880,690.44",,"291,500,000.00","471,427,236.76","571,378,835.47","50,000,000.00","50,000,000.00","150,000,000.00"
经营活动产生的现金流量净额,"512,444,807.80","142,357,629.67","414,324,326.62","12,605,600.00","341,880,613.78","663,636,038.81","1,160,046,165.86","-181,113,763.44","257,256,676.41","489,464,943.92"
分配股利、利润或偿还利息支付的现金,"208,591,641.60","208,836,909.02","217,996,476.21",,"5,958,951.55","17,462,164.22","21,782,204.14","6,508,834.47","174,497,256.81","181,730,806.25"
收回投资收到的现金,"7,046,808,000.00","6,818,556,769.00","9,550,515,238.82",,"3,688,098,970.00","6,193,167,988.00","11,167,337,408.00","4,328,978,000.00","10,326,316,600.00","19,343,445,708.67"
支付其他与筹资活动有关的现金,,,"1,625,424.45",,"2,082,873.88","50,454,688.51","55,924,556.51",,,
取得投资收益收到的现金,"39,056,672.59","63,214,650.93","46,101,349.94",,"18,391,565.91","48,101,789.56","73,841,935.28","21,289,059.22","48,576,731.46","81,258,548.41"
筹资活动现金流出小计,"208,591,641.60","216,912,933.02","336,502,591.10",,"299,541,825.43","539,344,089.49","649,085,596.12","56,508,834.47","224,497,256.81","331,730,806.25"
处置固定资产、无形资产和其他长期资产收回的现金净额,"18,680.00","842,585.38","132,251.20",,"83,748.76","138,074.85","460,617.18","123,279.68","147,674.68","199,738.39"
筹资活动产生的现金流量净额,"-197,594,736.78","-197,156,912.02","89,707,409.97","48,549,900.00","-147,355,185.43","601,888,165.46","615,036,187.74","-56,508,834.47","-224,347,256.81","-231,530,806.25"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
