科目,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"39,784,492.37","31,472,019.46","61,498,543.60","41,305,685.13","46,950,848.35","494,847,937.43","376,818,141.57","423,686,842.52","313,739,888.40","217,096,708.60","200,642,340.70","202,204,783.42","201,454,064.61","170,097,857.97","197,284,918.19","212,099,744.24","223,689,088.40","241,965,312.53","274,871,345.06","128,477,934.74","182,799,696.15","144,809,220.40","181,860,730.39","96,232,715.04","172,699,922.29","225,904,663.18","92,135,952.86","86,165,565.40","105,959,643.86","62,931,919.43","144,930,125.60","131,645,219.03","212,119,870.25","165,847,341.96","161,578,087.84","207,950,170.52","194,819,755.81","185,062,695.56"
短期借款,"15,000,000.00","45,000,000.00","74,000,000.00","90,000,000.00","75,000,000.00","70,000,000.00","20,000,000.00","30,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","40,000,000.00","50,000,000.00","50,000,000.00","90,000,000.00","50,000,000.00","100,200,000.00","100,200,000.00","150,200,000.00","150,200,000.00","100,000,000.00","100,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,"30,000,000.00","130,000,000.00","130,000,000.00","130,000,000.00","140,000,000.00","220,000,000.00","220,000,000.00","270,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,000,000.00","4,012,427.40","8,003,641.58"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104,114.72","393,549.54"
应收票据,"2,033,874.50","3,505,107.20","2,199,467.00","2,205,000.00","3,999,562.73","2,897,625.00","2,561,210.30","2,841,998.29","1,537,994.00","3,022,349.34","3,112,301.96","3,240,073.96","2,892,930.95","2,419,516.12","3,649,065.79","2,878,624.04","3,696,783.90","4,053,733.61","4,183,767.20","4,840,396.94","3,002,218.00","4,699,321.42","5,108,588.50","4,161,961.10","4,794,397.57","3,760,999.04","4,499,615.23","3,445,718.00","5,871,594.89","3,369,044.05","8,341,231.35","11,216,940.59","6,746,663.19","5,452,098.75","10,333,407.00","12,402,302.82","6,216,643.33","3,735,702.71"
应付票据,,,"5,376,000.00",,"3,000,000.00","3,000,000.00",,"1,000,000.00","2,000,000.00","15,730,411.95","30,000,411.95","35,846,900.00","30,076,900.00","19,243,872.52","39,116,436.37","59,120,374.06","46,242,949.18","29,890,992.97","19,762,544.97","45,294,090.10","58,165,768.58","62,919,563.71","50,446,139.46","14,428,566.24","4,798,548.87","14,172,078.92","25,761,629.93","15,975,785.88","8,448,785.00","8,141,435.80","5,819,527.30","6,649,365.30","4,189,896.90","9,070,768.85","7,323,670.75",,"8,571,520.00",
应收账款,"7,694,464.24","16,255,512.84","14,243,635.23","22,518,865.78","21,321,785.48","20,312,790.87","25,509,256.36","26,605,784.37","19,531,079.35","20,129,012.10","23,724,564.44","24,708,228.94","24,429,799.89","37,570,068.97","56,819,181.05","84,804,814.34","100,978,793.92","108,466,787.74","105,585,104.01","109,633,805.00","92,202,945.24","88,859,193.95","46,197,515.41","32,774,860.10","24,055,430.20","32,831,536.99","33,108,258.16","42,118,530.99","41,132,934.67","36,136,885.40","42,694,736.57","52,003,025.58","45,261,006.76","46,777,573.64","64,477,390.33","86,115,928.62","53,449,855.40","64,463,593.10"
应付账款,"6,918,922.96","11,476,898.71","13,490,236.06","17,345,968.52","17,613,048.12","17,864,582.83","19,995,850.39","5,902,482.51","10,109,911.14","9,229,925.08","15,119,246.14","14,901,675.78","30,161,383.71","28,598,022.73","33,343,567.42","35,067,032.33","37,039,670.11","39,183,290.30","36,266,844.29","32,818,890.11","54,628,108.67","40,947,175.37","44,364,083.33","42,757,246.22","49,392,284.05","48,910,229.36","49,334,695.09","60,553,542.92","71,540,839.94","57,248,945.39","56,104,832.67","55,875,642.72","49,791,888.31","41,079,019.63","44,667,273.44",,"34,129,127.00",
预付款项,"3,738,843.54","4,930,430.98","3,695,289.77","4,988,846.20","1,794,832.75","3,449,572.76","4,647,682.48","2,738,430.51","2,179,255.47","3,365,815.36","2,299,400.52","2,335,724.49","1,463,214.19","1,804,927.25","2,083,246.70","3,467,339.93","2,020,939.26","9,397,511.89","3,074,191.54","5,961,313.27","3,370,069.13","3,267,025.87","5,933,472.70","5,318,694.80","10,543,766.18","5,256,108.83","9,131,205.82","7,628,634.89","10,054,343.53","9,269,912.42","7,798,167.06","5,046,863.00","4,059,184.52","6,435,953.13","7,116,362.74","6,926,827.20","5,005,830.05","8,451,243.94"
预收款项,"2,965,779.48","1,290,545.56","150,595.50","942,918.23","134,750.26","656,450.56","766,268.46","1,736,591.90","723,789.84","817,010.65","476,446.49","380,902.52","391,794.07","900,920.22","308,575.78","994,372.54","1,009,568.05","995,671.28","4,388,759.67","2,994,921.15","1,267,137.36","2,546,659.97","1,784,000.96","3,107,987.07","3,278,371.96","6,829,859.56","3,215,167.39","3,709,035.38","2,214,928.98","5,549,165.12","2,524,538.84","3,803,607.39","3,452,976.64","5,030,809.93","6,179,404.50","3,174,338.04","3,314,521.20","4,923,344.81"
其他应收款,"1,043,691.19","3,514,494.35","5,571,755.02","6,363,090.88","4,028,098.03","5,264,068.21","4,837,009.05","38,534,668.04","5,463,348.34","6,808,150.16","3,000,082.28","6,293,112.80","5,131,682.57","4,327,569.85","3,428,827.18","3,070,739.18","7,979,419.33","2,357,833.69","3,095,328.17","5,817,372.42","6,024,115.64","6,556,327.71","6,385,174.86","6,222,168.55","6,025,520.19","6,443,554.01","5,741,287.65","4,765,193.09","3,268,266.08","4,140,883.19","4,242,810.63","3,584,328.23","4,609,600.61","4,761,187.59","5,894,265.73","6,047,115.17","9,540,466.83","6,281,041.27"
应付职工薪酬,"1,245,508.17","892,066.09","409,748.14","503,323.83","520,673.18","480,415.71","536,331.37","546,492.61","320,928.97","387,026.31","391,722.37","564,821.99","525,090.69","606,843.53","951,750.06","724,950.58","1,214,778.67","571,947.89","890,586.30","885,452.15","720,321.14","740,573.69","1,080,304.78","1,366,285.27","586,051.09","672,819.88","1,055,319.33","381,464.33","2,882,524.45","629,462.18","2,130,067.91","1,427,544.47","3,384,767.88","598,762.18","416,738.43","424,865.37","4,192,974.07","501,515.73"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,708,502.57","3,221,500.52","-2,404,389.26","-9,736,617.69","-8,412,007.82","-10,072,615.78","-11,840,800.60","5,581,731.83","-3,090,069.58","-12,057,804.47","-14,133,095.62","-13,056,208.99","3,260,179.01","3,958,382.01","5,591,083.66","9,374,811.74","16,622,879.92","16,149,044.94","10,917,272.62","10,403,949.55","11,611,944.27","12,682,562.80","12,453,520.35","12,177,404.61","2,375,950.22","3,037,499.95","3,774,460.82","3,805,906.23","3,912,248.85","4,397,555.32","5,874,712.43","7,952,534.73","11,013,967.14","7,902,141.27","7,700,732.18","9,418,723.58","10,182,799.60","7,135,420.16"
应收利息,,,,,,,"903,152.78","1,380,972.22","695,916.67","1,700,838.87","1,508,566.87","1,693,899.97","1,228,165.33","1,363,774.73","1,795,902.95","711,887.15","1,029,245.64","503,515.19","754,773.28","955,780.19","1,084,912.44","738,868.70","918,169.03","837,715.88","464,074.77","146,978.68","252,940.11","362,617.89","391,297.35","350,323.80","69,896.61","4,958.33","625,781.63","441,427.74","479,986.12",,"2,680,161.10","1,349,700.00"
应付利息,,,,,,,,,"20,044.44","20,044.44","16,400.00","13,333.33","85,777.79","139,111.14","144,888.93","288,055.54","302,794.42","570,744.41","428,855.48","270,270.08","358,901.34","304,289.68","384,863.56","395,598.99","526,733.87","396,050.93","479,099.27","468,584.82","160,798.61",,"29,870.00","159,379.17","247,886.53","175,317.08","238,763.89",,"468,231.11","550,410.27"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,"10,800,000.00",,,,"14,094,000.00",,,,,,,,,,,,,,,,,,,,,,,,
