科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"19,730,819.18","84,352,495.32","205,810,208.08","36,391,917.90","88,984,504.95","156,902,921.31","257,552,140.84","45,570,124.11","110,158,028.64","189,942,299.07","307,125,152.90","56,149,818.96","157,107,290.06","248,763,524.18","436,057,338.42","85,700,989.82","221,306,134.15","342,597,396.99","557,013,530.69","130,067,692.66","303,669,725.63","526,942,436.77","783,940,683.71","173,045,759.12","419,100,684.31","757,452,072.39","1,253,707,750.78","261,938,936.64","647,691,846.95","1,105,348,845.72","1,775,210,612.95","406,106,413.44","1,039,152,002.82","1,674,165,081.87","2,500,799,130.07","632,890,752.02","1,462,110,305.43","2,141,283,150.88","3,320,476,689.57","856,220,354.62","2,102,362,655.68","3,386,718,900.02"
二、营业利润,"-1,295,017.78","15,924,403.64","39,218,614.66","277,138.67","17,114,403.67","31,133,222.89","59,603,130.34","1,098,947.56","18,306,694.88","38,006,258.06","53,346,165.15","1,918,930.45","22,593,968.60","42,540,314.82","84,725,350.08","12,746,528.85","35,216,229.92","54,687,585.75","96,423,858.37","19,339,464.14","38,968,749.67","64,610,039.37","119,010,198.38","23,276,042.06","47,791,460.17","89,619,790.84","215,736,285.60","26,227,311.62","76,084,959.71","131,019,650.51","288,063,944.24","36,660,703.65","74,687,266.07","133,138,904.99","297,748,299.88","49,356,567.51","206,607,966.98","204,780,265.16","383,746,414.14","45,667,304.39","133,831,071.86","224,693,384.97"
减:营业成本,"11,874,639.44","45,309,774.57","118,437,211.21","21,812,629.09","43,413,745.01","80,938,978.13","132,512,999.26","20,898,863.21","47,494,410.17","77,839,700.55","136,154,125.76","19,886,910.18","61,001,361.94","93,558,741.36","188,037,841.72","30,354,053.50","83,773,416.79","129,592,898.57","238,181,904.33","49,759,641.84","129,517,812.19","255,330,664.99","362,680,159.57","65,357,210.15","186,129,107.95","372,927,753.99","589,171,465.78","104,558,017.66","294,132,869.55","531,375,975.46","787,583,728.98","176,058,201.49","526,151,381.79","862,571,972.35","1,278,030,596.39","331,670,110.38","763,493,113.02","1,116,519,398.00","1,642,984,251.84","439,414,391.03","1,075,484,924.21","1,705,028,714.83"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"146,697.04","788,835.56","2,030,147.32","542,571.85","1,325,863.63","2,221,067.70","3,386,052.25","701,172.04","1,584,833.03","2,780,549.61","4,602,748.68","1,158,110.72","3,468,668.35","4,868,130.52","8,364,661.63","1,928,626.99","4,491,370.34","7,156,008.24","11,927,361.83","2,882,878.57","6,835,207.85","10,812,664.65","14,848,184.93","2,691,425.21","7,618,140.42","12,494,133.82","18,756,366.52","4,358,243.80","10,559,423.83","16,992,859.88","25,186,096.23","3,680,714.01","11,103,118.65","16,427,427.13","22,721,766.58","10,775,878.06","14,446,761.17","16,645,475.56","30,230,470.64","3,877,723.87","10,758,407.38","19,556,274.00"
营业外收入,"1,401,767.94","5,897,897.62","16,384,688.93","3,516,022.78","7,828,520.08","13,200,235.65","19,258,414.92","6,698,097.54","12,009,445.04","21,381,618.88","34,878,851.97","8,567,034.06","11,384,749.09","19,935,823.89","28,790,376.96","4,546,986.57","13,664,531.68","23,987,628.01","50,318,309.73","3,958,850.79","23,801,585.98","46,333,946.58","84,605,605.39","20,531,272.26","59,341,751.04","86,263,562.62","112,211,381.00","38,431,572.25","61,233,710.33","108,130,996.87","149,647,816.94","40,985,430.61","89,819,120.37","135,987,941.86","168,694,336.68","29,389,717.44","80,121,972.10","113,446,363.35","190,746,329.37","37,520,852.31","979,546.10","2,989,849.24"
销售费用,"2,972,613.86","8,481,212.06","17,754,769.73","4,756,623.43","10,753,343.66","17,807,977.71","25,239,101.13","9,476,535.96","19,533,362.86","31,759,769.76","52,596,386.29","14,151,467.55","26,436,933.22","42,797,931.40","61,752,693.25","16,644,552.45","39,125,345.60","57,843,226.43","85,435,017.14","27,532,231.13","56,873,212.75","86,489,758.33","130,787,653.27","32,176,574.02","64,407,765.64","98,961,725.93","158,294,777.71","37,354,578.10","88,986,215.15","150,250,416.21","240,084,092.69","61,494,584.13","150,900,289.73","249,207,963.91","375,465,846.86","110,880,757.52","249,470,635.16","415,921,212.86","648,741,756.43","167,305,272.14","414,117,036.09","698,425,806.19"
减:营业外支出,"14,160.92","100,133.19","246,457.06","4,525.62","817,368.54","909,588.14","1,372,178.80","2,031.37","507,282.97","4,536,968.83","829,938.59","123,772.83","1,141,931.38","1,495,622.18","1,532,795.47","50,414.07","957,802.38","967,682.84","3,003,582.84","20,723.48","161,403.35","406,054.67","925,059.98","155,454.87","5,210,869.34","5,274,422.08","7,363,674.35","2,940,358.00","3,028,203.32","3,327,551.54","3,962,531.15","318,325.54","1,039,846.51","3,733,603.16","1,900,968.37","355,416.01","1,731,519.77","5,528,502.16","13,633,055.96","241,860.57","3,773,258.10","9,009,135.23"
管理费用,"5,682,564.33","12,460,204.46","27,016,260.87","8,468,635.27","16,583,005.30","26,148,867.34","36,413,617.89","13,683,515.93","27,163,047.01","44,269,270.13","64,004,327.53","18,761,765.99","43,131,001.00","66,151,892.50","93,735,009.15","24,125,710.97","54,314,392.23","88,751,289.94","116,978,385.48","31,943,699.28","68,399,168.78","106,117,377.87","161,374,380.45","50,732,620.14","109,327,556.84","183,929,109.37","280,310,649.12","91,121,621.69","196,130,934.07","302,747,192.24","455,472,625.26","136,229,078.44","270,899,308.26","416,315,961.96","565,330,115.61","149,263,263.06","316,512,744.37","507,824,945.47","729,454,216.96","208,769,840.21","497,004,258.10","815,426,185.61"
其中:非流动资产处置净损失,,,"109,059.55",,,,"52,499.53",,,,,,,,"35,767.48",,,,"20,924.33",,,,"140,679.07",,"70,004.34",,"903,505.84","429,601.04","462,330.19","529,414.11","929,038.76","30,464.27","70,339.92","127,697.56","153,461.75","260,437.18","299,960.58","715,074.05","7,791,606.64","78,148.00","388,303.77","487,000.96"
