科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"122,662,691.18","294,034,739.26","441,179,147.28","641,776,112.14","145,687,735.60","315,164,454.40","503,779,635.05","777,357,087.12","79,924,604.08","173,099,387.62","282,143,600.00","452,370,328.36","175,081,220.86","369,225,148.99","624,021,997.38","914,312,391.66","215,381,525.68","573,273,401.18","827,258,919.98","1,084,490,100.74","217,087,383.50","514,652,343.05","703,051,027.38","949,491,433.61","199,147,052.42","458,333,341.02","710,728,301.00","950,017,798.80","211,114,466.17","464,354,949.55","749,928,019.15","1,004,443,619.68","200,919,515.20","400,214,683.40","610,901,666.92","809,947,968.33","178,822,198.25","385,602,952.40","584,766,113.22","698,229,983.78","227,187,224.69","486,239,356.05","719,533,499.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,393,269.39","3,393,269.39","3,393,269.39",,"2,480,000.00","2,480,000.00"
收到的税费返还,"164,353.55","174,353.55","251,237.21","258,648.97",,,,,,,,"1,300,000.00",,,,,,"163,193.73","1,825,195.51","3,592,673.39","148,304.60","719,298.51","1,344,241.78","1,818,374.10","382,469.29","385,164.52","2,970,454.06","12,161,343.85","5,409,419.00","9,390,174.49","19,924,998.04","30,245,502.16","3,706,184.19","7,473,663.17","16,382,983.59","20,036,603.29","4,362,667.53","9,734,919.30","12,949,862.47","17,081,437.08","4,476,865.23","11,440,458.61","20,720,428.43"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"1,500,000.00",,"8,910,689.58","9,507,990.82","9,507,990.82",,,,,,,,,,,,,"372,464.55",,,,,"3,180,000.00","1,340,000,100.00","1,425,000,100.00","1,874,000,100.00","220,000,000.00","789,000,000.00","1,303,000,000.00"
收到其他与经营活动有关的现金,"3,473,521.56","8,623,214.13","6,705,911.81","6,816,791.76","286,315.53","3,895,089.80","4,995,656.75","42,368,624.74","7,814,034.14","7,299,097.85","9,961,546.64","7,169,852.99","7,351,069.14","6,854,135.65","18,712,447.78","25,610,819.11","5,252,417.22","15,527,960.59","27,837,884.66","30,112,083.06","7,504,557.60","3,900,960.28","3,274,606.82","11,985,786.12","6,896,656.48","1,412,380.35","8,145,483.98","13,680,112.59","1,151,127.62","4,200,406.13","2,450,358.94","6,044,518.76","2,060,559.66","3,497,132.62","4,724,344.38","9,740,065.64","1,396,428.98","9,177,904.97","13,830,882.26","24,657,507.30","8,590,326.81","13,679,974.84","89,641,109.76"
投资活动现金流出小计,"23,800,389.84","32,195,042.63","41,791,947.83","61,371,906.99","25,893,809.26","40,016,665.33","52,703,719.57","77,204,803.18","9,768,085.85","18,635,526.48","27,720,634.19","37,268,507.42","5,967,238.94","20,808,173.57","57,027,470.18","63,778,441.41","25,536,252.93","32,231,003.51","41,474,980.73","28,613,619.86","6,314,588.04","10,648,063.61","11,941,961.19","16,061,161.82","2,874,987.26","1,896,368.79","2,620,760.48","4,788,027.68","816,713.08","882,058.34","3,913,960.55","11,343,700.21","566,650.41","2,243,397.25","2,304,229.61","7,448,728.05","5,028,155.00","1,350,990,838.84","1,442,053,640.41","1,897,762,300.48","236,127,597.71","1,113,068,567.77","1,655,122,538.81"
经营活动现金流入小计,"126,300,566.29","302,832,306.94","448,136,296.30","648,851,552.87","145,974,051.13","319,059,544.20","508,775,291.80","819,725,711.86","87,738,638.22","180,398,485.47","292,105,146.64","460,840,181.35","182,432,290.00","376,079,284.64","642,734,445.16","939,923,210.77","220,633,942.90","588,964,555.50","856,922,000.15","1,118,194,857.19","224,740,245.70","519,272,601.84","707,669,875.98","963,295,593.83","206,426,178.19","460,130,885.89","721,844,239.04","975,859,255.24","217,675,012.79","477,945,530.17","772,303,376.13","1,040,733,640.60","206,686,259.05","411,185,479.19","632,008,994.89","839,724,637.26","184,581,294.76","404,515,776.67","611,546,857.95","739,968,928.16","240,254,416.73","511,359,789.50","829,895,038.14"
投资活动产生的现金流量净额,"-23,800,389.84","-32,194,442.63","-41,791,347.83","-61,361,206.99","-25,893,809.26","-40,016,665.33","-52,703,499.57","-76,988,583.18","-9,767,905.85","-18,634,826.48","-27,719,934.19","-37,267,607.42","-5,960,118.94","-20,801,053.57","-57,020,260.18","-62,604,241.73","-16,388,427.39","-23,083,177.97","-32,326,005.19","-28,443,719.86","-5,629,335.44","34,627,336.39","33,334,211.41","48,312,070.78","-2,848,887.26","3,356,482.68","2,658,692.99","565,949.56","-824,553.08","-959,198.34","-3,839,798.55","-10,806,990.61","-467,659.50","-2,144,296.34","-2,173,128.70","1,477,392.91","-5,028,155.00","-839,664,767.60","-688,707,457.58","-705,772,284.30","201,551,820.42","54,580,616.42","58,902,450.71"
购买商品、接受劳务支付的现金,"106,412,302.66","259,746,409.94","436,336,155.54","570,114,802.52","185,633,452.13","361,134,139.81","520,198,304.89","701,604,643.25","70,887,704.59","169,574,245.73","272,237,443.06","421,042,561.13","193,454,731.09","366,908,665.54","604,277,797.30","840,763,012.86","211,903,987.29","567,625,826.56","789,615,005.07","1,014,199,371.20","197,317,939.77","462,266,535.57","632,411,360.43","812,715,372.89","216,185,761.43","438,615,371.79","637,790,564.90","859,729,019.86","206,107,104.25","406,346,069.90","627,701,053.97","832,422,932.86","141,155,094.84","329,017,217.38","489,930,746.73","658,770,493.40","126,850,299.17","337,531,465.67","524,904,233.55","595,825,200.63","215,275,535.32","492,122,804.25","719,411,644.39"
吸收投资收到的现金,,,"162,670,127.00","162,670,127.00",,"1,958,365.59","1,958,365.59","1,166,600.00",,,,"393,052,872.00",,"300,000.00",,"500,000.00",,"400,000.00",,"700,000.00",,,,,,,,,,,,,,,,,,"990,044,367.60","990,044,367.60","992,544,367.60","9,800,000.00","9,800,000.00","9,800,000.00"
