科目,2010年度,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"133,645,663.91","172,193,328.51","100,251,452.33","242,229,505.09","140,983,352.06","308,149,551.59","102,301,581.44","200,560,531.59","315,800,903.07","434,543,129.87","120,033,034.33","262,186,398.51","413,988,974.63","591,530,413.09","308,161,949.27","837,796,548.87","1,467,958,431.93","2,317,626,641.04","866,239,591.42","1,803,980,637.35","2,895,731,900.79"
二、营业利润,"36,554,629.23","48,428,419.99","26,614,993.91","65,411,713.42","37,445,504.52","78,706,045.92","21,992,630.53","46,114,748.89","80,987,637.25","112,430,954.71","26,185,710.92","54,213,040.81","86,704,845.76","109,962,357.83","75,853,147.78","166,834,620.56","266,525,885.63","342,380,534.72","98,999,892.72","231,378,827.98","368,942,128.20"
减:营业成本,"60,310,173.46","83,310,518.80","50,510,543.16","123,144,598.66","73,233,569.01","163,589,335.22","60,283,938.10","116,060,914.11","181,144,980.42","247,699,370.31","76,418,405.95","172,307,802.54","271,830,015.72","396,217,599.80","187,584,632.81","567,871,569.75","1,033,785,204.30","1,677,492,211.96","680,703,005.09","1,438,219,324.39","2,327,676,499.81"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,276,752.71","5,909,851.92","3,374,533.23","8,187,025.21","5,073,845.74","10,913,951.23","2,919,682.37","5,635,154.76","5,989,696.62","6,323,674.12","75,231.73","467,308.90","578,853.33","628,110.63","353,370.38","1,385,167.26","2,427,385.18","12,080,404.54","372,098.93","13,009,690.28","15,032,738.48"
营业外收入,"1,700,000.00","1,101,758.56","96,000.00","207,800.21","152,635.00","264,185.00","48,000.00","96,000.00","144,000.00","198,480.00","48,000.00","96,000.00","204,000.00","21,959,000.00","48,000.05","126,685.99","269,584.22","50,124,082.16","48,000.61","5,846,300.61","6,066,647.18"
销售费用,"13,484,395.71","12,918,403.84","6,618,403.75","14,592,491.32","7,841,288.21","17,908,878.70","4,210,187.61","8,571,099.94","12,691,039.59","17,821,544.04","3,784,230.01","7,299,229.77","11,029,591.79","15,562,104.51","5,429,943.10","10,204,373.27","16,013,927.21","22,421,060.99","6,006,372.04","12,865,441.79","20,599,779.37"
减:营业外支出,"68,336.82","2,545.04","28,247.07","138,792.89",257.69,"1,716.11",,,"36,989.88","140,687.00",94.53,"297,918.93","297,927.09","298,011.09","957,081.50","1,268,859.40","1,268,859.40","1,292,149.03","814,203.10","976,253.10","1,042,936.71"
管理费用,"19,241,668.72","22,802,438.12","13,583,969.63","31,195,936.33","16,397,592.71","35,224,584.36","12,103,490.14","23,225,176.46","34,436,897.23","50,505,213.80","12,115,887.40","25,658,988.94","40,337,144.83","63,099,216.20","23,894,401.00","54,986,859.92","105,068,289.76","218,258,330.10","70,354,900.82","90,702,925.49","141,006,531.14"
其中:非流动资产处置净损失,"67,894.28","2,545.04","28,247.07","38,692.89",257.69,"1,716.11",,,,"138,941.29",94.53,94.53,102.69,186.69,"957,081.50","957,081.50","957,081.50","957,081.50","814,203.10","814,203.10","868,425.31"
