科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"12,711,615.74","53,473,348.35","83,415,718.99","57,418,987.35","94,745,353.50","568,903,397.95","446,551,933.92","423,614,150.18","514,163,565.11","504,457,304.25","413,265,700.84","373,150,334.24","389,394,157.67","377,260,444.99","259,320,236.41","230,410,093.24","344,895,278.21","227,388,779.26","197,002,185.07","154,153,497.86","415,034,765.06","316,522,417.64","447,649,924.71","2,301,584,309.60","1,254,426,371.42","1,296,953,198.17","657,475,720.73","959,151,373.04","762,975,928.51","725,769,805.14"
短期借款,"40,000,000.00","40,000,000.00","40,000,000.00","24,500,000.00","69,500,000.00",,,,,,,,,,,,"184,351,030.11","168,473,894.61","325,597,065.97","413,000,000.00","498,000,000.00","616,000,000.00","609,000,000.00","592,140,000.00","163,300,000.00","155,300,000.00","147,300,000.00","73,000,000.00","163,000,000.00","153,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,"5,165,859.00","4,682,039.00",,"1,185,000.00","435,000.00","435,000.00","14,505,000.00","8,472,137.71","12,136,570.87","17,380,075.42","65,377,712.75","61,555,145.86","51,639,135.98","30,468,955.79","60,886,886.80","44,820,092.43","15,467,660.00","3,000,000.00","56,552,680.00","29,032,680.00","81,595,389.67","8,850,000.00","115,125,241.00","79,400,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00",,,,,,
应收账款,"55,078,894.53","79,397,223.37","84,599,921.89","107,540,870.56","124,931,857.80","159,119,628.47","172,033,338.06","225,126,292.64","229,762,469.60","205,779,170.60","248,941,609.60","269,700,839.60","297,252,190.60","253,922,531.37","355,281,881.77","332,343,944.02","722,728,246.25","904,791,035.77","1,089,266,152.76","1,408,378,250.76","1,135,506,546.00","1,374,118,025.34","1,410,444,216.85","1,888,190,285.46","2,240,511,259.86","2,262,213,036.19","2,594,274,195.19","2,736,134,345.33","2,541,167,177.42","2,340,245,059.82"
应付账款,,,,,,,,,,,,,,,,,"15,904,830.64","59,506,818.34","15,088,992.65","19,818,513.89","26,751,538.40","48,889,525.62","118,505,605.83","233,308,312.45","157,000,957.20","98,984,417.45","144,092,084.44","194,024,594.19","238,358,887.46","234,710,980.01"
预付款项,"22,817,881.06","24,784,764.00","32,467,800.00","30,063,837.27","49,641,082.48","94,902,877.02","84,650,891.93","183,163,077.43","112,072,014.23","175,364,961.43","116,219,636.12","180,189,888.45","113,293,506.54","184,726,799.54","124,789,994.63","203,580,772.99","392,693,672.78","459,652,056.26","543,543,415.82","508,214,993.13","435,823,877.37","582,152,734.61","381,175,227.59","427,480,587.10","368,445,175.37","421,222,458.23","428,067,655.78","472,194,814.99","377,925,348.21","427,849,758.47"
预收款项,"24,543,350.00","27,167,750.00","8,213,000.03","19,111,750.00","36,745,000.00","40,345,000.00","10,037,000.00","6,331,683.28","19,541,800.00","68,064,000.00","65,414,000.00","29,778,957.26","11,465,526.88","8,593,424.50","4,843,495.02","5,471,443.77","17,679,143.08","16,977,008.24","22,839,180.65","23,028,037.10","25,751,818.47","25,338,882.30","46,784,947.36","64,830,592.18","67,138,156.29","79,064,902.89","28,816,693.45","62,547,822.96","39,748,711.86","45,091,258.19"
