科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"43,064,885.93","108,495,204.33","165,713,515.49","102,553,542.95","1,384,293,729.06","1,352,717,280.70","1,303,171,938.66","1,310,207,537.52","1,326,251,447.80","1,357,576,939.11","1,318,119,961.62","1,285,861,871.67","1,355,741,966.93","1,362,089,010.91","1,286,938,058.92","1,165,972,252.77","1,166,856,876.52","923,197,578.08","904,467,901.66","836,430,369.73","657,031,583.94","552,413,045.83","499,791,556.98","509,644,748.69","523,546,999.14","513,145,857.54","539,154,949.10","584,906,529.23","616,410,774.45","674,188,477.77","728,913,110.95","773,098,391.15","836,416,856.32","1,082,356,069.71","1,166,743,467.71","1,229,153,432.50","1,299,128,632.97","1,342,892,995.53"
短期借款,"11,000,000.00","45,000,000.00","45,000,000.00",,,,,,,,,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,000,000.00","1,400,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00","1,000,000.00",
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"23,927,124.21","22,616,790.21","28,768,279.95","23,779,989.15","16,973,593.69","43,694,955.88","30,999,131.21","45,457,428.50","25,411,398.14","43,608,446.89","39,657,340.09","30,872,816.66","30,960,027.57","42,317,705.98","40,858,963.53","43,808,178.86","47,924,503.03","49,053,570.91","33,095,898.59","32,038,774.10","46,551,214.72","40,582,996.68","56,466,063.70","48,391,344.50","34,176,434.21","69,943,495.19","51,517,611.46","27,395,663.03","38,232,906.40","63,013,958.52","49,338,470.20","29,329,134.91","39,686,864.91","44,687,807.21","34,911,618.35","26,074,003.39","41,413,394.93","81,710,302.39"
应付账款,"9,719,562.71","7,977,321.62","11,959,665.86","8,375,265.87","8,124,673.77","14,396,884.95","11,854,633.32","17,368,087.74","15,312,384.02","7,389,141.64","15,998,841.32","15,833,659.83","11,421,142.98","46,020,982.35","40,043,357.38","60,109,424.88","46,493,648.98","36,051,288.50","16,670,038.46","16,178,864.57","7,074,328.28","69,191,082.46","50,049,079.51","52,954,917.39","48,680,473.96","80,403,998.88","52,007,676.81","28,545,319.18","25,686,333.09","23,628,161.28","21,932,936.92","31,346,747.21","22,743,252.39","92,221,450.95","80,041,930.59","81,048,459.14","115,602,855.53","169,308,162.43"
预付款项,"3,060,431.25","1,627,883.85","4,513,830.65","3,477,804.32","2,001,452.33","3,750,771.76","2,785,152.18","8,542,145.67","6,206,679.71","6,151,281.11","6,251,353.30","8,083,136.86","3,625,308.36","5,460,065.61","8,191,106.70","8,046,217.70","2,856,156.24","5,642,295.15","8,209,749.66","6,853,846.59","5,062,443.53","8,904,885.35","7,516,872.69","5,374,602.71","2,671,411.08","4,305,447.13","5,191,493.92","3,575,293.90","3,611,372.33","4,644,438.30","5,273,043.27","3,158,484.14","3,911,967.01","3,401,662.06","7,293,959.99","2,021,915.84","2,103,132.19","8,750,298.58"
预收款项,,,"1,909,046.00","1,545,243.00","3,587,835.00","6,051,968.00","2,483,846.00","3,331,491.00","4,675,893.50","2,596,281.58","2,996,393.00","1,660,739.50","4,907,106.50","7,065,019.00","2,593,519.00","2,584,957.00","6,467,551.00","6,993,011.25","3,887,740.96","3,438,956.50","5,321,665.00","12,690,169.06","4,295,640.41","5,503,598.95","9,566,708.68","15,859,771.99","6,126,322.83","5,878,252.70","11,370,855.80","10,481,773.07","4,982,351.42","5,294,703.46","11,409,889.39","25,977,444.26","14,207,541.22","16,417,027.76","24,875,971.73","35,564,408.17"
