科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"806,109,251.57","1,077,242,268.86","1,954,080,118.72","1,219,986,928.13","1,721,046,793.78","2,204,571,809.51","450,648,297.55","999,469,610.53","1,418,898,435.50","1,896,633,843.75","387,552,243.89","1,026,756,062.13","1,664,010,972.83","2,198,509,122.11","502,576,493.89","1,124,744,323.17","1,583,367,133.71","1,906,656,297.78","366,285,923.90","850,980,168.39","1,265,974,083.57","1,760,389,169.02","367,916,333.37","758,124,434.14","1,222,913,189.60","1,876,150,814.02","445,724,298.02","1,035,653,965.14","1,581,427,538.73","2,435,245,454.29"
取得子公司及其他营业单位支付的现金净额,"1,549,165.38",,"18,423,939.22",,,,,"23,360,226.81",,"23,360,226.81","18,100,981.29","18,100,981.29","33,316,494.62","33,316,494.62",,,,,,,,,,,"351,258,652.96","371,505,240.85",,,,"13,904,214.12"
收到的税费返还,,,,"3,049,877.42","3,981,989.74","3,729,360.88","134,912.12","1,881,167.19","1,984,277.96","2,141,403.16","775,715.54","635,021.45","1,692,711.92","2,601,625.88","829,401.94","1,091,515.73","1,423,464.29","1,539,937.36","561,560.16","638,092.34","993,003.00","1,010,534.49","603,713.84","717,114.24","779,963.80","2,343,747.58","13,140.74","13,140.74","5,956,907.61","12,089,553.74"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"170,000,000.00",,,,,,,,
收到其他与经营活动有关的现金,"6,699,376.81","9,735,645.32","10,161,671.44","603,051.58","6,312,303.53","4,292,077.95","2,126,301.16","4,375,825.04","7,360,385.84","51,210,462.42","7,770,307.33","8,842,215.28","9,918,008.18","78,728,259.64","13,928,695.83","11,700,160.41","62,220,264.43","85,684,421.83","26,387,734.17","17,475,105.67","33,580,582.20","103,885,231.08","21,663,211.40","52,043,302.34","53,257,900.94","127,738,462.45","89,202,816.06","46,975,651.86","40,303,093.38","53,299,133.86"
投资活动现金流出小计,"96,892,166.13","99,114,411.32","274,695,377.76","167,232,770.76","189,526,902.06","263,607,703.43","75,186,530.62","129,313,500.70","167,746,901.36","229,401,280.86","34,091,094.51","104,487,168.56","245,195,472.78","297,320,612.16","28,958,930.23","69,208,273.79","53,169,152.34","181,378,021.53","14,624,901.31","51,700,687.63","84,984,990.59","313,605,411.29","15,060,103.06","217,589,049.74","411,737,642.43","554,720,722.50","158,763,925.09","396,300,172.48","517,104,830.04","973,094,442.56"
经营活动现金流入小计,"812,808,628.38","1,086,977,914.18","1,964,241,790.16","1,223,639,857.13","1,731,341,087.05","2,212,593,248.34","452,909,510.83","1,005,726,602.76","1,428,243,099.30","1,949,985,709.33","396,098,266.76","1,036,233,298.86","1,675,621,692.93","2,279,839,007.63","517,334,591.66","1,137,535,999.31","1,647,010,862.43","1,993,880,656.97","393,235,218.23","869,093,366.40","1,300,547,668.77","1,865,284,934.59","390,183,258.61","810,884,850.72","1,276,951,054.34","2,006,233,024.05","534,940,254.82","1,082,642,757.74","1,627,687,539.72","2,500,634,141.89"
投资活动产生的现金流量净额,"-95,677,016.01","-98,316,455.34","-234,503,367.27","-164,102,166.66","-186,756,182.32","-232,893,152.32","-73,492,780.28","-122,459,324.05","-128,063,873.45","-228,793,088.88","-32,138,339.90","-96,883,263.68","-199,338,905.22","-290,762,629.24","-23,926,169.40","-57,668,527.31","6,602,867.13","-165,833,572.37","-9,995,191.07","-36,315,137.25","-36,429,495.95","-172,496,910.52","39,526,165.00","-150,894,402.42","-361,995,774.81","-424,839,327.22","-158,673,019.21","-387,707,389.33","-507,054,158.79","-962,474,722.14"
购买商品、接受劳务支付的现金,"681,152,283.29","738,969,099.35","1,467,042,335.17","851,668,464.30","1,308,451,598.31","1,729,083,685.79","300,875,227.40","729,006,060.50","1,042,670,684.55","1,386,160,105.06","306,790,123.74","688,123,066.03","1,033,108,478.68","1,469,567,349.34","294,454,661.48","711,504,255.69","986,345,866.97","1,161,065,921.44","281,513,743.00","623,958,974.45","834,699,565.54","1,279,282,794.05","273,841,508.32","547,864,351.01","938,747,436.80","1,200,864,624.07","335,662,380.51","648,064,507.19","1,027,183,680.93","1,533,458,122.56"
吸收投资收到的现金,,"48,000,000.00",,"2,000,000.00","2,144,758,500.00","2,146,758,500.00",,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"33,151,726.46","47,576,368.37","90,656,860.36","55,411,070.38","83,229,055.98","123,375,636.13","30,276,454.80","61,465,203.30","89,118,808.59","116,405,845.36","30,207,933.47","74,461,092.45","111,001,925.95","148,704,116.76","45,008,261.51","83,978,583.96","134,775,123.00","180,619,557.40","47,141,995.92","93,802,339.64","140,525,054.07","188,608,684.45","47,765,310.18","100,246,036.62","186,848,077.16","291,103,010.15","78,523,553.09","191,195,480.80","288,455,415.31","397,935,324.49"
取得借款收到的现金,"83,500,000.00","100,000,000.00","180,000,000.00","150,000,000.00","240,000,000.00","240,000,000.00",,,,,"12,913,934.00","44,857,362.00","44,634,480.30","44,263,494.00",,,,,"26,165,772.00","31,992,867.85","32,737,312.51","33,351,533.87",,"202,781,041.64","787,460,752.22","384,306,000.00",,"312,270,441.36","739,832,964.22","1,110,553,095.44"
支付的各项税费,"29,093,287.38","66,908,878.70","94,037,395.38","77,976,782.69","104,906,896.94","133,688,862.93","22,347,538.27","72,934,925.71","111,947,896.89","149,790,343.27","32,132,714.80","81,912,819.28","130,581,543.74","165,326,415.49","55,196,977.54","116,134,338.56","163,191,152.38","202,480,641.24","49,340,720.38","112,490,971.99","175,317,828.93","190,497,824.03","36,150,805.78","52,797,064.78","82,978,996.36","127,549,503.44","40,486,804.56","66,859,489.29","106,926,801.65","128,552,697.97"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,"50,000,000.00",,,,,,,"353,920,000.00",,,"28,100,000.00","28,100,000.00","28,100,000.00"
支付其他与经营活动有关的现金,"22,564,308.53","33,462,562.93","71,165,698.92","43,453,315.50","62,226,761.16","116,224,529.87","17,371,313.70","40,600,779.32","65,912,444.73","79,017,669.40","27,945,568.33","96,418,350.33","126,147,702.45","86,088,235.64","27,409,627.12","65,968,686.89","102,925,957.19","166,241,399.28","57,347,253.87","89,535,019.90","160,544,480.63","192,466,793.64","19,973,713.97","71,161,516.24","174,759,628.75","305,054,173.70","56,814,496.94","121,378,010.10","202,547,699.71","262,363,451.43"
筹资活动现金流入小计,"83,500,000.00","148,000,000.00","180,000,000.00","152,000,000.00","2,384,758,500.00","2,386,758,500.00",,,,,"12,913,934.00","44,857,362.00","44,634,480.30","44,263,494.00",,,,"50,000,000.00","26,165,772.00","31,992,867.85","32,737,312.51","33,351,533.87",,"202,781,041.64","1,141,380,752.22","384,306,000.00",,"340,370,441.36","767,932,964.22","1,138,653,095.44"
经营活动现金流出小计,"765,961,605.66","886,916,909.35","1,722,902,289.83","1,028,509,632.87","1,558,814,312.39","2,102,372,714.72","370,870,534.17","904,006,968.83","1,309,649,834.76","1,731,373,963.09","397,076,340.34","940,915,328.09","1,400,839,650.82","1,869,686,117.23","422,069,527.65","977,585,865.10","1,387,238,099.54","1,710,407,519.36","435,343,713.17","919,787,305.98","1,311,086,929.17","1,850,856,096.17","377,731,338.25","772,068,968.65","1,383,334,139.07","1,924,571,311.36","511,487,235.10","1,027,497,487.38","1,625,113,597.60","2,322,309,596.45"
偿还债务支付的现金,"3,500,000.00","130,000,000.00","50,000,000.00","83,000,000.00","420,000,000.00","420,000,000.00",,,,,,,,"82,000,000.00",,,"44,263,494.00","44,263,494.00",,,,,,,"466,900,000.00","331,593,736.00","12,000,000.00","12,000,000.00","249,896,827.66","466,980,000.00"
经营活动产生的现金流量净额,"46,847,022.72","200,061,004.83","241,339,500.33","195,130,224.26","172,526,774.66","110,220,533.62","82,038,976.66","101,719,633.93","118,593,264.54","218,611,746.24","-978,073.58","95,317,970.77","274,782,042.11","410,152,890.40","95,265,064.01","159,950,134.21","259,772,762.89","283,473,137.61","-42,108,494.94","-50,693,939.58","-10,539,260.40","14,428,838.42","12,451,920.36","38,815,882.07","-106,383,084.73","81,661,712.69","23,453,019.72","55,145,270.36","2,573,942.12","178,324,545.44"
