科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"67,061,111.97","37,512,859.07","63,823,291.35","38,962,797.30","412,895,886.16","435,108,975.24","399,181,843.91","386,458,611.47","376,010,900.07","374,262,816.93","331,546,507.76","354,224,195.64","370,014,339.99","413,687,149.55","395,476,526.49","366,318,624.64","369,448,322.69","396,117,978.30","312,884,097.05","170,455,953.69","239,388,223.94","245,589,405.29","164,525,809.76","124,350,734.97","111,860,649.21","76,013,023.68","120,712,608.05","133,147,312.30","78,302,532.22","148,057,086.22"
短期借款,"25,716,124.26","10,000,000.00",,,,,,,"16,496,104.52",,,,,,,,,,,,,,,,"3,000,000.00","13,000,000.00","13,000,000.00","71,725,688.47","63,725,688.47","58,725,688.47"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,"51,221,581.79","15,754,107.41","27,946,299.42","53,745,234.68","23,474,721.02","10,471,221.86",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"650,000.00","900,000.00","3,000,000.00",,,"2,000,000.00",,"3,553,200.00","3,553,200.00","791,848.38",,"598,500.00","2,138,500.00","3,412,081.95","3,894,007.40","7,239,211.50","11,049,783.50","9,762,080.00","7,098,145.70","1,120,865.70","6,878,822.06","8,887,487.37","2,135,139.18","814,210.63","2,879,710.54","12,337,015.97","11,276,015.97","13,636,227.00","10,878,220.00","16,259,264.00"
应付票据,"10,254,077.42","5,097,137.97","17,908,525.41","1,744,853.65","3,568,316.56","4,801,612.70","2,262,886.30","8,290,453.98","3,843,688.98","1,503,643.33","719,588.59","3,116,362.63","1,109,752.10","1,520,938.10","1,151,630.96","541,023.00","1,022,110.89","1,939,080.00","1,313,151.44","3,113,126.00","1,678,351.15","4,906,785.60","4,020,781.20","15,736,446.00","8,061,072.40","63,791,894.58","64,043,247.30","3,964,939.58","34,219,186.81","123,550,131.06"
应收账款,"62,937,504.61","64,758,512.48","77,895,540.97","100,288,783.31","140,128,080.40","128,876,082.03","136,323,904.21","177,892,660.14","176,656,947.90","161,297,248.51","169,675,333.42","159,002,226.78","133,579,073.34","116,231,564.56","111,670,850.05","111,540,199.77","145,411,048.64","131,105,311.97","128,412,956.10","146,830,930.70","139,953,571.87","144,671,937.07","138,726,000.66","167,363,699.72","173,223,515.92","218,037,281.11","223,655,028.69","226,444,306.39","249,344,759.00","288,960,809.40"
应付账款,"17,158,301.56","10,549,735.84","17,124,479.19","18,112,102.73","31,022,157.43","28,584,348.35","25,372,093.35","40,283,601.25","19,156,686.74","20,225,076.00","10,232,082.81","8,612,574.06","8,413,470.27","12,170,077.62","7,995,009.88","10,155,281.56","13,799,273.26","15,258,284.01","15,637,166.45","6,946,421.31","10,556,907.32","12,964,286.05","7,567,384.81","38,193,769.56","40,748,845.88","38,866,872.21","29,100,936.82","44,036,294.35","25,676,208.09","44,832,754.43"
预付款项,"1,914,497.75","7,072,127.57","19,335,966.77","14,829,276.21","18,279,752.67","18,653,546.54","25,859,816.58","19,042,739.37","14,116,329.10","3,169,694.28","12,990,655.68","3,960,792.16","1,465,458.10","2,954,552.28","2,026,997.90","2,083,285.57","13,099,476.88","4,741,377.44","3,672,384.08","3,183,198.99","2,963,409.83","6,595,990.23","5,319,354.96","8,339,247.31","11,540,081.95","9,864,276.72","8,379,461.91","8,303,165.87","11,516,476.56","3,957,769.67"
预收款项,"601,586.22","3,558,596.79","4,330,476.07","1,116,276.67","746,982.06","372,259.83","1,366,446.39","1,302,229.11","3,141,763.23","3,606,062.85","2,638,399.77","3,845,940.00","3,122,982.29","1,955,628.70","3,062,755.37","2,833,127.39","1,852,945.33","2,262,195.07","1,914,153.59","2,797,368.87","1,983,298.22","3,095,673.67","3,557,933.04","5,366,381.98","4,304,386.50","4,602,544.58","3,663,210.22","2,523,651.00","4,466,776.78","6,484,091.97"
其他应收款,"2,212,691.38","1,962,166.18","4,059,851.12","4,252,110.77","4,661,797.05","4,170,145.84","4,694,304.83","4,618,441.51","3,316,454.32","3,539,176.32","4,725,630.91","4,601,030.65","3,685,242.74","3,474,501.92","3,968,652.49","3,187,947.80","3,692,050.20","3,782,362.43","4,802,047.17","3,789,976.09","3,649,021.04","3,817,790.74","4,742,242.03","6,690,495.13","6,620,729.79","6,840,758.88","7,812,004.05","7,259,108.55","11,830,398.23","8,070,318.79"
应付职工薪酬,"979,461.72","1,069,773.27","1,901,538.08","1,184,021.94","1,461,109.72","2,536,480.12","1,718,332.35","1,724,870.41","1,853,911.82","3,674,686.12","3,204,241.21","2,548,762.51","2,224,561.40","4,366,465.13","2,102,370.21","2,133,973.64","2,396,980.75","6,968,780.24","2,855,467.84","2,855,924.55","2,790,547.84","5,066,010.75","2,761,217.66","3,175,963.67","3,262,899.15","3,945,610.28","4,423,514.03","4,287,834.45","4,126,949.19","11,884,873.85"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,839,249.74","2,302,100.13","5,767,872.65","5,358,488.26","8,223,942.93","6,487,152.04","552,591.50","8,588,356.40","-68,749.13","-1,184,392.13","-2,724,865.60","-927,953.57","-3,725,137.80","-430,639.81","-3,565,426.10","-4,566,476.19","2,104,058.48","4,098,864.20",,"2,285,986.53","4,818,263.32","5,478,539.21","1,707,507.36","3,571,325.39","624,600.06","17,081,260.92","3,502,522.42","2,149,325.58","1,770,595.16","1,776,954.12"
应收利息,,,,,,,"2,619,644.99","3,776,429.41","4,712,352.62","481,653.33","1,260,630.55","1,953,312.76","3,160,426.74","963,352.99","2,497,038.02","2,691,396.62","1,996,714.53","2,728,522.08","2,267,521.12","3,082,640.52","300,457.23","951,498.25","511,050.35","533,436.29","125,868.38","23,916.61","573,296.56","828,909.95","734,046.50","850,517.29"
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,262,000.00",,,
存货,"19,222,942.71","17,385,109.76","35,456,550.40","23,055,776.99","23,330,442.68","29,123,953.71","32,612,001.63","34,219,162.02","37,535,172.04","31,243,691.64","34,574,147.55","39,244,892.72","42,093,287.11","28,247,099.41","32,324,088.63","37,148,300.62","27,003,851.09","30,364,025.20","44,348,291.39","28,457,791.79","34,362,783.55","31,146,339.69","38,815,425.32","54,887,142.71","54,821,115.93","38,001,397.96","44,847,900.66","52,709,204.33","60,859,818.79","81,560,327.06"
其他应付款,"1,260,716.00",,,,,,,,,"2,500,000.00","3,154,812.52","2,867,063.16","2,830,263.54","147,077.50","50,000.00","100,380.00",,"1,907.50",,"6,107.00","41,005.57","55,534.72","261,989.47","976,459.78","1,361,236.23","116,098,612.18","115,740,446.97","105,582,186.75","105,756,798.50","105,552,747.87"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,"804,766.92","3,411,275.19","1,304,201.28",,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,"57,382,578.60","177,781,565.33","122,281,405.58","122,466,038.32","189,219,498.02","175,692,635.94","193,993,896.49","167,013,865.19","46,298,859.74","38,679,825.64","68,432,761.37","39,488,615.58"
