科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"287,720,095.88","354,431,087.50","438,167,268.87","213,128,965.56","360,940,231.02","598,861,066.20","109,591,499.38","307,607,673.28","546,439,482.44","892,918,469.24","164,178,191.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"22,604,264.51","29,803,759.66","32,352,788.62","16,071,362.12","26,643,057.14","42,685,157.78","11,285,999.99","19,146,605.47","32,826,916.31","56,377,936.14","12,070,532.80"
支付其他与投资活动有关的现金,"80,000,000.00",,,,,,"94,561.44",,"15,000,000.00","301,867,207.60","256,112,033.62"
收到其他与经营活动有关的现金,"4,729,263.42","3,375,107.08","4,039,374.28","4,434,196.61","5,466,479.46","6,755,301.08","1,548,233.93","908,237.06","980,296.63","3,944,499.60","1,605,584.06"
投资活动现金流出小计,"85,282,981.60","127,951,724.63","154,578,301.24","11,615,113.18","302,471,762.30","4,005,312,468.18","1,866,425,597.44","3,930,644,042.79","5,269,001,616.10","7,361,244,464.54","932,468,689.76"
经营活动现金流入小计,"315,053,623.81","387,609,954.24","474,559,431.77","233,634,524.29","393,049,767.62","648,301,525.06","122,425,733.30","327,662,515.81","580,246,695.38","953,240,904.98","177,854,308.12"
投资活动产生的现金流量净额,"-83,521,276.05","-119,218,183.68","55,211,340.33","31,843,661.50","-238,684,093.91","38,033,679.58","-459,543,085.01","-29,053,066.54","-686,971,988.67","-380,568,314.96","-339,875,960.02"
购买商品、接受劳务支付的现金,"16,592,086.12","16,413,034.20","24,500,379.14","15,969,452.86","20,847,863.34","38,909,279.22","9,988,434.20","16,863,941.44","26,530,845.02","36,719,601.66","11,055,734.87"
吸收投资收到的现金,,,"30,000,000.00",,,,"223,383,000.00","223,383,000.00","305,695,834.00","305,695,834.00",
