科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"435,336,258.22","421,877,429.60","442,060,495.76","268,218,156.44","434,157,482.95","545,036,255.18","164,222,308.05","329,998,420.84","526,122,164.73","704,660,272.02","179,064,168.04","366,854,535.29","566,875,821.84","712,658,503.43","194,878,382.18","414,236,426.32","669,509,678.55","846,216,441.51","203,146,622.40","465,969,421.55","750,667,717.77","906,428,723.56","224,963,173.74","475,921,417.08","741,462,394.02","930,658,889.10","274,566,118.89","607,257,154.25","929,242,928.40","1,120,805,953.02","343,416,925.40","793,040,171.26","1,226,878,419.75","1,520,238,658.64","507,294,494.86","1,063,520,226.45","1,545,129,544.69","1,914,353,929.10","526,601,163.30"
二、营业利润,"29,893,223.51","36,167,019.40","47,706,429.62","36,427,999.93","60,779,928.62","64,487,729.66","19,421,336.79","44,144,576.69","76,636,320.74","102,043,579.62","28,265,152.31","67,590,632.02","121,219,886.77","144,538,288.47","28,986,389.96","78,217,783.51","139,937,708.03","154,043,728.58","35,780,771.97","94,440,221.93","152,330,830.61","143,996,890.79","46,675,405.64","105,509,140.97","165,196,062.37","175,129,943.97","58,150,051.52","130,908,642.88","224,038,382.57","275,645,758.69","73,965,503.18","196,056,827.30","348,519,584.89","469,590,134.43","135,234,697.22","357,046,401.93","591,181,633.44","785,677,567.47","183,406,923.31"
减:营业成本,"282,227,871.63","267,951,193.72","273,076,042.73","176,107,159.36","277,132,177.54","368,650,703.03","117,695,498.09","216,234,566.28","345,347,605.79","447,826,743.21","114,457,434.86","223,165,553.29","327,654,250.38","410,217,659.45","123,190,091.88","247,253,025.45","394,202,193.90","510,956,318.27","117,584,143.16","256,726,680.43","409,193,173.72","522,219,483.29","121,664,168.50","260,909,919.39","403,494,157.79","520,905,333.27","142,872,020.77","317,321,135.25","488,786,031.74","607,721,859.43","191,588,348.96","420,341,160.03","653,249,954.18","787,192,797.06","247,678,998.93","478,211,697.23","684,031,584.35","846,871,614.80","220,420,702.90"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,344,617.44","4,444,335.00","4,543,048.36","2,206,629.95","3,482,585.76","4,300,156.76","1,365,891.67","2,452,395.07","4,719,455.92","6,318,552.37","1,561,525.77","3,711,794.37","5,530,368.42","8,665,707.39","3,008,521.91","4,625,519.43","7,463,937.01","10,398,890.75","2,328,782.06","5,579,126.77","8,708,057.51","10,994,312.92","3,329,689.32","6,584,490.87","9,911,264.96","12,230,864.14","3,932,108.67","8,758,282.41","12,765,218.48","19,117,245.78","4,578,361.04","13,023,563.26","18,137,105.82","25,704,132.47","6,091,187.25","16,294,023.56","21,156,343.91","30,009,929.86","7,678,258.13"
营业外收入,"4,016,877.14","4,241,953.44","1,694,529.38","541,235.37","1,105,978.89","2,052,506.15","158,359.60","1,379,245.09","2,753,885.87","3,285,329.42","351,460.41","856,215.06","1,826,905.03","4,695,168.09","7,120,057.78","11,016,120.11","11,904,239.20","11,538,482.86","7,315,861.42","8,693,401.41","9,866,108.48","14,506,570.46","1,492,096.98","2,932,932.26","4,308,494.22","12,603,727.90","2,294,747.07","7,064,447.75","9,785,435.49","34,665,897.54","2,539,262.81","22,890,654.43","25,795,269.51","39,138,738.49","78,729.32","168,743.80","27,851,634.59","195,700.52","109,325.19"
销售费用,"91,911,542.68","83,090,882.23","91,709,470.77","39,187,850.02","73,254,168.06","77,928,924.83","19,193,083.96","54,576,128.85","87,020,386.82","132,611,373.43","29,527,661.05","62,801,064.55","99,462,862.93","132,281,521.12","32,784,839.19","72,959,056.19","113,752,685.54","152,973,327.77","37,907,773.40","93,331,141.40","160,048,878.60","204,459,224.67","45,642,402.27","89,335,011.69","143,217,109.58","188,560,590.92","57,622,620.28","125,755,281.99","174,400,397.59","177,985,590.38","66,574,025.10","149,105,179.75","193,022,919.74","219,458,910.47","117,023,157.64","209,827,246.15","248,057,017.91","280,594,115.55","105,881,492.57"
减:营业外支出,"183,237.66","841,621.22","820,542.36","80,971.42","130,971.42","149,498.23",,"59,386.29","63,237.09","824,686.46","3,235.23","5,587.05","39,248.63","154,533.03","111,030.88","1,160,869.95","1,315,940.26","938,145.65",,"389,868.27","2,548,553.18","2,812,083.90","51,383.18","345,530.21","464,933.90","3,107,861.70","9,945.39","222,705.01","229,608.81","4,519,373.17","474,723.55","17,316,858.34","17,780,989.23","21,033,792.31",456.28,"1,455,041.77","6,635,203.79","7,380,921.54",
管理费用,"14,006,100.06","17,381,156.09","16,663,212.21","10,505,434.17","14,503,028.42","24,314,585.64","8,005,498.27","14,841,513.43","19,816,678.39","26,492,789.57","7,993,703.43","16,438,321.48","23,251,035.13","30,896,285.75","10,150,015.42","17,363,658.70","24,428,335.10","32,520,857.08","13,314,282.58","23,038,974.60","31,431,815.05","40,012,611.28","12,223,780.64","22,009,378.50","31,181,553.34","46,225,262.37","14,648,490.06","28,260,535.20","37,657,403.27","52,059,615.74","12,225,938.12","25,128,506.19","34,697,757.06","48,310,716.09","15,801,123.48","31,193,208.74","45,478,143.24","58,878,703.55","14,890,124.00"
其中:非流动资产处置净损失,"21,418.78",,"781,196.77","79,947.94","34,254.96","89,764.26",,"59,386.29","59,463.24","807,036.46",,701.72,"34,363.30","50,467.12","111,029.87","111,390.39","116,460.70","172,882.57",,"30,528.49","2,012,786.12","2,400,256.37","51,383.18","344,001.21","460,472.70","2,283,962.51","7,165.39","17,495.01","18,042.05","4,022,072.47","424,723.55","16,487,966.96","16,897,840.97",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"12,818,438.06","12,333,158.66","8,345,841.72","3,816,531.81","5,006,281.50","5,379,628.11","-1,459,000.73","-2,474,016.59","-7,641,702.21","-10,613,919.89","-2,741,309.38","-7,019,524.02","-10,408,707.39","-14,039,777.00","-3,241,276.18","-6,288,102.37","-10,375,716.44","-14,390,131.43","-3,594,457.06","-7,048,532.50","-9,996,356.00","-12,828,190.53","-3,001,587.70","-5,748,571.31","-7,666,445.73","-7,461,402.06","-569,430.18","-895,008.58","-2,094,919.02","-3,730,574.31","-451,075.06","-331,813.06","-1,333,447.68","-2,264,943.53","-262,764.64","-1,119,291.58","-1,728,899.99","-3,434,376.82","-900,931.23"
三、利润总额,"33,726,862.99","39,567,351.62","48,580,416.64","36,888,263.88","61,754,936.09","66,390,737.58","19,579,696.39","45,464,435.49","79,326,969.52","104,504,222.58","28,613,377.49","68,441,260.03","123,007,543.17","149,078,923.53","35,995,416.86","88,073,033.67","150,526,006.97","164,644,065.79","43,096,633.39","102,743,755.07","159,648,385.91","155,691,377.35","48,116,119.44","108,096,543.02","169,039,622.69","184,625,810.17","60,434,853.20","137,750,385.62","233,594,209.25","305,792,283.06","76,030,042.44","201,630,623.39","356,533,865.17","487,695,080.61","135,312,970.26","355,760,103.96","612,398,064.24","778,492,346.45","183,516,248.50"
资产减值损失,"190,355.25","953,794.09","16,450.35","-33,448.80",-686.95,"-25,472.85",,"223,257.11","223,419.28","-18,846.29",,"166,693.60","166,125.60","98,818.25",-200.00,"105,485.41","100,535.41","1,861.06",,"135,551.03","135,498.78","-140,140.70",,"56,946.52","57,050.19","148,557.75",,"145,777.33","145,645.73","356,251.49",,"279,263.53","279,263.53","2,678,462.91",,"798,890.84","786,876.63","2,988,346.75",
