科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"215,635,635.02","309,448,230.68","303,252,628.77","44,122,342.97","108,680,974.79","176,903,373.71","246,922,164.39","62,488,130.39","136,148,508.53","223,531,481.95","321,117,099.48","74,076,435.84","197,635,438.89","346,776,570.41","527,189,722.79","165,304,195.46","352,493,016.83","542,574,263.79","726,980,466.81","142,281,680.22","294,940,155.93","445,493,685.85","594,047,408.00","119,240,261.53","247,527,898.22","403,536,576.01","549,962,318.75","132,406,961.88","341,259,510.12","695,811,255.57","928,325,799.52","207,299,265.94"
二、营业利润,"51,038,906.25","73,295,852.10","64,867,979.36","4,460,317.35","17,605,013.31","25,190,030.36","36,938,084.04","8,781,771.76","19,774,797.20","30,097,586.55","42,781,992.71","9,481,802.58","27,337,744.69","54,096,314.62","83,224,373.67","34,713,173.01","69,640,932.51","102,189,974.26","130,255,683.95","33,186,630.04","57,966,284.49","80,509,455.53","90,499,135.42","24,897,548.64","41,369,456.53","46,807,591.69","40,140,606.87","9,712,982.26","47,044,099.50","70,410,144.27","92,522,542.49","34,251,067.31"
减:营业成本,"125,156,856.15","187,583,944.31","193,247,712.68","28,566,404.06","70,190,796.23","115,617,103.78","162,755,504.83","42,639,589.05","92,815,513.30","152,176,149.08","218,879,637.40","51,556,889.97","134,352,911.53","232,418,489.57","354,424,980.55","107,337,118.17","228,749,184.88","354,441,905.92","477,295,964.50","86,419,914.60","182,444,277.28","284,128,036.61","385,396,291.13","72,433,533.31","166,057,997.47","287,481,249.05","404,480,886.62","100,923,237.12","234,943,337.77","507,692,456.33","660,694,988.68","130,771,971.16"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"732,759.28","966,019.09","1,379,198.55","168,892.57","394,683.72","632,763.07","1,049,942.55","290,414.30","569,867.36","831,313.33","1,265,067.57","282,054.45","717,816.23","1,303,529.16","1,949,124.76","530,265.51","1,160,816.94","1,944,649.41","2,766,498.40","627,229.81","1,323,500.34","1,875,451.66","2,888,024.97","512,069.18","1,095,391.71","1,987,922.41","2,445,633.04","228,741.41","1,136,940.39","1,665,441.92","3,154,803.12","674,834.62"
营业外收入,"3,005,737.23","1,764,913.24","3,671,453.36","120,556.87","368,632.75","1,352,555.93","1,158,454.01","173,474.99","417,920.21","644,574.76","4,066,705.75","118,294.99","495,146.94","784,058.67","1,082,684.40","563,395.12","837,781.81","2,546,115.16","2,845,348.51","290,728.35","2,095,676.86","3,278,808.53","4,475,874.91","749,272.67","1,305,145.51","11,720,753.18","9,776,864.78","1,083,333.34","225,385.70","334,490.39","114,683.36","17,101.10"
销售费用,"16,509,935.77","19,283,371.62","17,241,896.02","3,521,812.22","7,750,122.05","15,632,229.72","21,086,982.25","4,676,429.31","11,195,413.23","19,868,080.93","28,770,029.17","5,652,644.97","16,820,994.24","27,599,169.68","41,647,130.57","8,706,428.74","24,636,898.26","39,376,478.65","56,730,848.43","9,166,519.80","23,526,103.22","35,887,904.42","50,633,522.99","10,758,146.70","22,207,488.42","35,348,984.55","49,152,093.05","10,888,979.56","24,437,417.73","39,967,710.59","56,914,252.33","13,828,895.34"
减:营业外支出,"625,698.37","2,046,446.65",161.26,,,"159,983.92","81,943.07",,,"74,264.58","195,129.64",,"38,621.08","520,421.92","1,221,924.50","95,186.75","226,523.68","248,325.61","691,179.38","68,300.75","106,812.12","162,214.43","170,835.66","49,552.58","55,791.94","3,193,403.88","3,222,291.95","48,037.20","50,431.66","63,866.76","478,158.83","237,025.11"
管理费用,"20,423,413.85","25,187,743.44","23,986,168.73","6,924,245.06","11,602,240.71","18,214,870.18","25,785,220.72","6,797,771.52","13,309,512.86","21,008,706.60","30,765,470.74","7,380,977.31","17,089,966.05","26,449,075.36","39,535,465.61","9,857,795.88","22,814,168.59","34,707,163.96","48,132,962.89","10,405,115.87","25,262,657.41","37,908,989.30","53,572,497.31","10,130,244.61","26,209,185.99","43,436,081.95","70,494,699.82","13,481,782.17","42,714,683.83","34,701,513.45","51,820,126.36","15,002,740.04"
其中:非流动资产处置净损失,"522,216.90","139,672.19",52.02,,,"159,983.92","1,928.98",,,"74,264.58","125,129.64",,"38,621.08","492,955.92","494,459.77",,"226,523.68","239,607.96","686,179.38","33,300.75","51,812.12","77,214.43","85,835.66","16,952.58","23,191.94","3,155,803.88",,,,,,
