科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"1,958,476,898.71","2,169,628,038.63","702,040,889.47","1,115,944,474.79","1,651,849,347.67","357,413,970.72","872,819,031.72","1,457,103,592.17","2,257,310,657.48","648,645,952.85","1,490,943,324.81","2,481,130,401.22","4,072,807,193.16","693,218,938.05","2,202,762,046.10","2,971,266,837.12","3,768,318,074.84","666,851,371.90","1,698,560,600.15","3,039,697,920.23","3,397,359,444.02","770,134,214.55","1,742,564,367.56","2,796,783,091.20","3,517,910,197.91","714,463,965.63","1,753,239,497.52","3,062,465,422.58","4,177,129,079.58","699,518,595.98","1,856,627,582.74","3,009,797,815.51","3,956,198,122.27","716,858,061.18","1,676,586,647.09","3,015,967,565.39","4,447,548,545.22"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"4,485,786.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"196,004,386.80"
收到其他与经营活动有关的现金,"38,878,701.74","22,925,205.52","14,960,841.48","63,438,327.97","17,356,173.85","3,791,467.10","5,833,978.23","12,283,350.07","24,600,984.09","3,591,588.04","9,968,594.70","16,356,800.39","19,313,279.67","4,343,562.36","15,797,168.88","41,708,053.89","43,782,984.88","2,858,217.34","12,643,459.28","91,010,159.33","56,382,539.81","7,427,334.82","36,073,020.62","31,836,527.24","79,120,388.76","13,122,156.33","47,225,078.20","58,276,066.93","43,753,931.77","2,335,890.28","12,787,511.70","19,163,800.88","51,869,415.69","7,129,096.57","17,456,947.93","23,681,221.81","88,356,265.09"
投资活动现金流出小计,"140,864,076.07","143,446,447.95","89,970,268.71","158,264,259.90","221,297,999.69","53,171,351.44","113,099,701.95","184,873,343.19","252,081,315.14","65,982,983.24","107,780,876.49","185,555,481.55","292,482,983.70","50,331,865.87","103,116,336.10","159,258,030.00","184,498,814.79","28,109,991.67","47,164,333.93","131,586,317.92","149,223,621.43","47,039,838.40","114,877,167.86","211,892,803.47","355,027,806.48","87,439,459.89","154,515,911.56","192,589,021.84","236,407,348.25","47,608,579.37","83,957,072.69","104,233,765.95","144,482,568.56","41,577,079.34","97,666,618.33","145,952,336.95","416,918,144.11"
经营活动现金流入小计,"1,997,355,600.45","2,192,553,244.15","717,001,730.95","1,179,382,802.76","1,669,205,521.52","361,205,437.82","878,653,009.95","1,469,386,942.24","2,281,911,641.57","652,237,540.89","1,500,911,919.51","2,497,487,201.61","4,092,120,472.83","697,562,500.41","2,218,559,214.98","3,012,974,891.01","3,812,101,059.72","669,709,589.24","1,711,204,059.43","3,130,708,079.56","3,453,741,983.83","777,561,549.37","1,778,637,388.18","2,828,619,618.44","3,597,030,586.67","727,586,121.96","1,800,464,575.72","3,120,741,489.51","4,220,883,011.35","701,854,486.26","1,869,415,094.44","3,028,961,616.39","4,008,067,537.96","723,987,157.75","1,694,043,595.02","3,039,648,787.20","4,535,904,810.31"
投资活动产生的现金流量净额,"-78,231,628.80","-85,503,316.92","-78,509,862.90","-144,998,545.23","-187,300,976.62","-32,181,490.10","-80,681,838.17","-150,827,310.94","-216,945,674.07","-65,567,962.55","-101,877,066.24","-178,521,743.23","-276,435,729.01","-50,320,449.87","-101,628,666.87","-157,380,854.62","-182,040,936.65","-27,981,306.11","-46,212,897.89","-130,160,669.10","-147,209,747.21","-39,039,838.40","-94,002,337.70","-160,340,042.32","-147,182,223.41","-32,434,172.89","-68,153,632.70","-96,649,852.28","-118,972,510.30","-47,608,579.37","-80,676,069.80","-100,873,943.87","-19,836,112.56","-40,998,339.34","-92,591,328.17","-134,514,605.56","-208,944,284.29"
购买商品、接受劳务支付的现金,"1,701,972,342.35","1,880,920,103.35","438,402,108.08","827,498,007.93","1,316,725,695.73","459,993,281.32","850,403,896.55","1,474,077,928.65","2,252,043,218.87","741,897,740.41","1,586,202,624.89","2,480,194,480.63","3,866,260,982.86","692,319,960.28","2,045,215,751.91","2,665,998,565.87","3,142,095,900.29","638,870,473.56","1,386,025,868.86","2,784,205,911.42","2,642,557,860.79","596,655,835.37","1,526,097,405.33","2,481,044,568.63","2,723,033,685.97","597,714,827.30","1,603,631,502.43","2,849,760,825.96","3,588,135,930.39","682,713,811.50","1,538,358,431.87","2,310,996,940.41","3,130,346,404.23","812,621,080.13","1,693,416,929.31","2,921,075,168.07","3,904,136,538.76"
吸收投资收到的现金,,144.52,,,"668,597,974.67",,,,"12,000,000.00",,"7,000,000.00","7,000,000.00","7,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,
