科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"81,060,653.05","102,828,263.86","163,344,535.14","658,185,437.93","445,509,982.64","407,391,847.20","458,569,487.57","411,920,000.99","232,434,948.93","308,748,648.24","414,878,922.10","359,011,696.50","373,815,364.83","317,454,469.38","345,077,435.45","254,169,504.87","317,690,030.59","430,459,442.68","1,100,442,319.71","652,497,528.27","478,437,725.63","538,246,305.20","646,083,577.46","547,367,211.84","439,213,827.76","509,436,948.12","737,600,302.84","631,826,938.91","510,401,095.31","728,755,801.07","868,190,042.84","878,755,325.40"
短期借款,"16,000,000.00","94,000,000.00","186,950,000.00","205,850,000.00","61,850,000.00","38,000,000.00","57,000,000.00","80,858,249.29","68,500,000.00","63,500,000.00","66,500,000.00","72,500,000.00","108,500,000.00","55,500,000.00","68,657,000.00","48,300,000.00","32,650,000.00","69,933,900.00","651,350,000.00","175,850,000.00","138,000,000.00","23,000,000.00","26,000,000.00","33,000,000.00","69,000,000.00","57,000,000.00","60,000,000.00","120,988,200.00","207,670,000.00","132,670,000.00","62,000,000.00","54,030,000.00"
交易性金融资产,,"265,400.00","7,116.00","273,432.00",,"35,588.00",,,"1,283,700.00","466,113.00",,,,"55,746.20",,,,,,,,,,"690,777.00",,,,"535,819.67",,,,"1,413,379.00"
交易性金融负债,"1,032,656.00",,,,"637,672.00",,,,,,"177,725.00","2,686,843.10","1,731,106.40",,"102,804.80",,,,,,"628,803.08","990,807.29","353,709.73",,"948,049.00","312,762.30",,,"1,129,600.40","3,374,185.00","905,728.80",
应收票据,"23,070,028.41","16,912,127.00","16,010,000.00","20,962,795.81","32,219,268.60","62,310,565.08","56,534,563.91","54,677,416.50","73,358,894.70","73,449,859.44","57,694,903.57","82,920,591.47","149,319,955.85","140,710,900.33","129,293,584.78","117,980,867.39","130,152,521.72","161,210,319.50","169,518,878.19","141,194,137.33","199,331,474.23","263,898,816.78","292,546,741.66","372,098,617.20","499,288,336.67","445,894,599.55","267,898,064.54","442,364,256.06","533,710,890.12","256,903,944.48","200,670,900.96","188,476,833.28"
应付票据,"77,730,000.00","128,829,783.00","180,452,500.00","188,157,787.54","150,214,459.84","201,320,810.18","271,923,118.88","306,838,893.05","185,227,412.05","143,165,000.00","244,257,000.00","191,622,000.00","217,021,000.00","340,899,580.00","292,155,533.30","213,616,953.30","168,370,000.00","165,156,800.00","369,284,305.00","353,927,473.00","232,805,713.20","420,843,248.64","619,080,215.58","608,363,194.11","704,815,424.01","794,157,024.52","821,954,039.73","837,331,972.20","726,549,408.30",,"681,995,585.84",
应收账款,"103,958,420.41","137,031,564.83","191,404,295.42","226,207,028.06","212,286,499.89","237,249,333.82","242,260,763.88","257,712,175.11","278,279,719.37","277,222,533.74","303,720,999.72","299,693,209.84","325,511,337.60","356,793,800.55","355,901,184.50","329,243,945.44","393,780,894.49","360,865,575.51","381,419,950.18","420,007,668.62","429,004,067.81","400,582,902.04","392,126,724.47","440,129,004.43","472,005,767.87","508,508,838.52","565,671,446.94","609,878,765.78","662,305,081.62","582,707,192.90","552,272,441.08","600,810,398.90"
应付账款,"21,494,806.72","53,952,935.89","38,389,410.16","50,376,277.36","82,048,171.97","74,270,654.64","72,230,314.68","71,232,686.87","87,001,790.52","76,485,189.77","71,818,436.11","75,658,096.84","78,245,803.31","82,460,293.06","96,561,266.37","96,630,157.36","90,899,120.38","94,342,529.84","134,023,346.78","166,383,930.03","153,475,401.47","173,158,324.59","149,259,755.61","144,077,982.14","128,325,608.72","145,298,307.64","153,841,716.23","126,299,695.90","131,881,075.57",,"111,898,604.52",
预付款项,"48,088,988.97","66,513,803.59","59,322,357.85","88,797,835.65","94,091,026.52","114,815,507.17","58,087,456.75","123,053,797.33","60,128,281.75","104,820,759.75","89,296,436.29","92,533,871.89","120,745,427.19","141,991,732.24","105,565,834.55","103,861,465.52","68,723,537.69","61,178,902.84","177,741,246.80","114,922,053.34","77,889,933.52","171,254,314.78","219,539,150.38","169,161,527.49","282,055,962.77","239,344,273.89","251,279,663.13","292,237,424.27","255,931,788.08","225,972,216.50","150,790,094.37","229,358,035.40"
预收款项,"2,066,015.83","6,070,444.46","5,088,052.88","16,938,672.37","12,182,180.60","14,671,961.08","12,609,863.79","13,714,660.79","9,410,997.79","18,209,453.74","5,534,883.31","16,529,592.76","7,340,041.88","8,503,280.29","4,347,844.29","10,963,847.18","3,579,399.39","4,769,657.03","4,550,137.52","7,341,117.93","7,514,389.56","10,021,973.23","7,926,603.57","6,411,335.16","4,502,899.87","13,815,634.49","2,569,266.90","5,141,737.86","5,910,430.10","4,546,565.88","4,074,896.03","4,092,491.68"
