科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"333,730,764.89","438,038,527.29","530,873,069.32","160,409,772.42","290,428,106.11","434,523,706.51","605,010,819.43","177,783,380.38","326,148,100.15","476,609,257.39","715,103,637.16","253,962,013.44","445,555,958.62","575,284,185.13"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"85,525,429.68","104,998,358.25",,,"145,200,000.00"
收到的税费返还,"7,706,406.17",,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"7,979,667.38","3,440,972.68","2,368,762.17","332,820.26","789,580.35","5,651,834.60","8,507,917.52","688,176.94","1,281,192.27","2,043,382.93","3,302,853.22","4,338,849.17","4,299,042.10","4,766,844.83"
投资活动现金流出小计,"44,563,222.83","1,924,473.54","13,068,235.00","6,459,306.00","6,589,806.00","18,911,050.23","186,440,100.68","147,713,217.42","391,788,666.86","607,238,800.96","907,991,833.77","805,297,349.77","1,589,038,675.06","1,970,485,188.50"
经营活动现金流入小计,"349,416,838.44","441,479,499.97","533,241,831.49","160,742,592.68","291,217,686.46","440,175,541.11","613,518,736.95","178,471,557.32","327,429,292.42","478,652,640.32","718,406,490.38","258,300,862.61","449,855,000.72","580,051,029.96"
投资活动产生的现金流量净额,"-44,563,222.83","26,075,526.46","-13,051,235.00","-4,459,306.00","-3,089,806.00","-15,411,050.23","-181,317,600.68","3,520,892.17","-139,859,214.80","-153,787,773.56","-268,297,354.31","-427,528,164.85","-513,242,157.95","-450,526,763.00"
购买商品、接受劳务支付的现金,"210,654,528.31","230,836,352.37","287,910,750.42","85,160,284.99","175,161,163.13","227,385,924.65","315,323,119.48","68,139,354.82","186,026,385.70","302,574,986.73","484,820,301.79","208,361,822.84","386,688,099.84","546,081,505.79"
吸收投资收到的现金,,,,,"571,023,972.00","571,023,972.00","571,023,972.00",,,,"978,574,311.45",,,
支付给职工以及为职工支付的现金,"40,434,984.23","49,196,777.30","49,724,984.33","19,175,813.65","29,664,173.27","41,415,841.59","52,006,691.91","18,675,967.67","30,333,555.59","41,511,063.05","56,586,830.76","21,435,259.16","39,203,610.25","56,766,608.85"
取得借款收到的现金,"150,000,000.00","220,310,000.00","284,130,000.00","90,000,000.00","228,340,000.00","396,380,000.00","444,520,000.00","130,000,000.00","210,000,000.00","335,000,000.00","345,000,000.00",,"130,000,000.00","327,000,000.00"
支付的各项税费,"45,576,141.02","41,385,619.53","41,615,862.88","8,051,840.13","21,693,519.85","33,358,922.97","45,472,899.56","9,414,968.29","24,000,940.00","37,099,676.33","47,897,345.45","14,658,420.33","29,477,198.82","42,762,739.80"
收到其他与筹资活动有关的现金,,,,"1,363,997.00","20,724,671.00","38,182,465.81","39,455,455.18",,,,"148,897,706.27","3,018,779.58",,
支付其他与经营活动有关的现金,"8,634,069.99","9,790,977.24","10,738,778.65","1,951,939.55","4,594,867.06","9,641,325.51","13,820,329.69","26,692,822.80","30,134,646.21","35,806,158.97","15,756,335.85","14,881,515.24","29,840,967.06","55,346,435.48"
筹资活动现金流入小计,"150,000,000.00","220,310,000.00","284,130,000.00","91,363,997.00","820,088,643.00","1,005,586,437.81","1,054,999,427.18","130,000,000.00","210,000,000.00","335,000,000.00","1,472,472,017.72","3,018,779.58","130,000,000.00","327,000,000.00"
经营活动现金流出小计,"305,299,723.55","331,209,726.44","389,990,376.28","114,339,878.32","231,113,723.31","311,802,014.72","426,623,040.64","122,923,113.58","270,495,527.50","416,991,885.08","605,060,813.85","259,337,017.57","485,209,875.97","700,957,289.92"
偿还债务支付的现金,"92,259,742.32","160,000,000.00","336,690,000.00","66,490,000.00","137,750,000.00","247,290,000.00","419,070,000.00","3,200,000.00","53,200,000.00","133,349,000.00","398,200,000.00","30,000,000.00","80,000,000.00","80,000,000.00"
经营活动产生的现金流量净额,"44,117,114.89","110,269,773.53","143,251,455.21","46,402,714.36","60,103,963.15","128,373,526.39","186,895,696.31","55,548,443.74","56,933,764.92","61,660,755.24","113,345,676.53","-1,036,154.96","-35,354,875.25","-120,906,259.96"
分配股利、利润或偿还利息支付的现金,"17,303,260.61","107,186,092.67","11,209,474.96","97,159,007.08","100,026,816.05","103,827,102.07","108,150,290.37","20,374,099.79","25,113,450.51","29,050,179.41","32,709,985.65","893,249.99","1,287,520.82","20,329,486.18"
收回投资收到的现金,,,,,,,,"150,000,000.00","250,000,000.00","450,000,000.00","635,000,000.00","375,000,000.00","1,070,000,000.00","1,510,000,000.00"
