科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"116,715,524.12","193,332,803.08","323,981,379.35","469,014,509.85","140,172,159.13","280,183,690.49","301,606,253.86","418,682,032.14","72,584,105.46","286,552,764.96","437,296,518.19","527,144,100.86","50,084,920.24","175,997,814.49","249,028,152.24","435,045,351.87","42,872,596.33","114,003,966.64","879,451,082.42","1,311,265,160.07","196,035,147.37","802,664,863.21","1,187,974,651.50","1,882,853,084.66","78,010,670.20","316,848,290.13","402,065,752.23","467,977,780.92","273,986,764.84","409,620,621.75","529,586,744.89","1,761,625,516.92","379,606,258.57","406,449,751.35","644,684,684.58","834,102,349.56","123,631,749.69","241,771,491.65","603,507,126.21","1,165,375,580.17","301,643,436.68","473,392,520.04","647,555,846.53","1,408,361,980.55","277,900,403.16","1,347,124,252.15"
取得子公司及其他营业单位支付的现金净额,,,,"248,537,904.54",,,,"7,344,499.54","244,038,437.28","244,038,437.28","244,038,437.28","244,038,437.28",,,,,,,,,,,,,,,,,,,,"2,806,781.27",,,,,,,,"372,799,160.79","97,030,179.14",,,,,"10,408,163.00"
收到的税费返还,,,"20,000,000.00","4,598.54",,,,,,,,,,,,,,,,,,,,,,,,"15,661,745.00",,,,,,,,,,,,,"1,000.00",,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"6,447,242.58",,,,,,,,,,,,,,,,"7,018,424.42",,,,,,,,"250,035,400.00","100,000,000.00","100,438,937.07","390,020,633.26","170,000,000.00","81,682,232.02","70,124,473.88"
收到其他与经营活动有关的现金,"64,106,621.36","32,756,963.87","-93,460,957.26","65,147,477.07","380,805,087.44","406,004,623.51","284,933,382.17","340,346,794.89","22,778,854.58","509,815,767.54","519,813,000.40","544,215,485.56","23,703,956.04","258,557,205.32","266,163,885.11","181,777,912.90","76,688,141.93","541,591,964.89","768,407,841.10","920,459,008.24","296,275,320.52","407,530,575.29","493,570,388.98","224,380,948.17","263,474,644.07","278,076,669.43","402,018,889.50","507,600,862.54","165,656,609.34","307,061,180.35","843,520,950.50","248,766,157.31","139,629,396.98","493,221,070.63","463,591,049.62","423,797,719.23","277,721,457.65","184,430,066.28","629,391,168.51","692,627,258.71","206,534,825.01","722,964,763.18","999,821,247.96","485,197,845.12","76,056,377.33","964,278,212.85"
投资活动现金流出小计,"134,381,545.70","122,552,978.56","299,821,099.68","296,351,178.56","57,119,183.35","233,515,236.43","273,857,577.72","394,461,609.43","247,142,353.69","253,121,642.72","282,552,180.24","399,578,839.28","6,287,497.71","10,527,037.40","12,499,383.79","33,275,795.77","12,105,723.73","12,972,704.58","13,649,039.74","46,914,315.74","101,239,298.64","104,986,769.45","102,586,319.29","149,216,901.38","-15,082,212.16","44,240,496.44","46,819,923.98","170,608,082.15","8,787,014.57","16,186,087.01","67,863,994.45","107,109,570.69","47,079,918.83","280,437,473.03","377,364,458.09","725,855,613.36","155,246,194.69","449,243,558.64","468,757,261.76","1,826,924,412.88","292,197,664.94","296,972,248.04","612,671,804.08","2,985,759,095.15","600,831,658.63","925,864,110.85"
经营活动现金流入小计,"180,822,145.48","226,089,766.95","250,520,422.09","534,166,585.46","520,977,246.57","686,188,314.00","586,539,636.03","759,028,827.03","95,362,960.04","796,368,532.50","957,109,518.59","1,071,359,586.42","73,788,876.28","434,555,019.81","515,192,037.35","616,823,264.77","119,560,738.26","655,595,931.53","1,647,858,923.52","2,231,724,168.31","492,310,467.89","1,210,195,438.50","1,681,545,040.48","2,107,234,032.83","341,485,314.27","594,924,959.56","804,084,641.73","991,240,388.46","439,643,374.18","716,681,802.10","1,373,107,695.39","2,010,391,674.23","519,235,655.55","899,670,821.98","1,126,609,471.75","1,283,022,399.33","408,362,515.16","442,418,887.11","1,257,928,931.06","1,894,583,790.60","517,381,169.79","1,214,138,529.00","1,672,882,986.49","1,927,742,509.37","360,645,319.97","2,323,111,601.31"
投资活动产生的现金流量净额,"-134,978,071.27","-65,764,500.70","-52,446,834.66","8,559,940.46","-38,163,917.02","-211,094,842.04","-249,686,555.57","-324,035,214.76","-233,655,038.41","-232,658,237.44","-250,586,765.98","-273,347,367.49","1,198,720.52","18,091,445.13","164,057,792.93","227,796,500.35","-11,825,926.10","9,287,889.17","197,988,511.34","209,261,873.43","-100,459,098.52","-98,844,743.89","-90,344,293.73","-143,127,409.87","20,351,030.66","59,384,517.84","80,338,586.65","28,091,159.07","-6,286,614.57","72,364,945.84","21,615,617.97","-26,443,160.84","25,718,457.55","-122,869,777.98","28,175,111.90","70,736,258.49","-36,154,782.25","-277,397,682.09","-164,837,977.30","-548,948,050.85","-165,659,264.53","982,087,714.77","818,886,041.75","729,091,868.53","-63,005,779.95","341,208,759.17"
购买商品、接受劳务支付的现金,"99,693,466.45","126,083,635.47","83,080,685.23","127,994,678.15","123,806,490.17","445,049,872.13","493,153,383.01","543,812,043.36","50,476,600.46","212,255,874.49","334,342,375.92","591,414,741.89","166,251,088.59","260,935,094.62","357,985,057.24","987,370,979.31","155,051,885.17","301,702,828.04","1,523,321,180.20","1,912,126,860.27","262,443,180.05","495,523,402.93","719,490,738.58","1,142,061,394.58","320,082,611.75","475,054,559.88","749,157,338.08","956,329,775.89","267,241,806.03","549,722,635.64","797,217,335.74","1,050,915,884.74","186,894,861.47","263,097,706.15","324,552,050.11","426,845,054.34","135,071,384.79","300,202,464.83","348,154,740.49","675,688,306.37","539,526,790.21","834,620,954.72","1,007,243,587.33","1,596,678,610.63","568,282,797.44","2,219,437,973.76"
吸收投资收到的现金,"4,500,000.00","10,500,000.00","1,573,178.60","9,000,000.00",,,"12,000,000.00",,,,"10,000,000.00","6,000,000.00",,,,,,,"89,500,000.00","89,500,000.00",,"5,000,000.00",,,,,,,,,,,,,,"27,800,000.00","6,854,859.45","9,211,356.46","37,011,356.46","5,123,750.00",,"13,525,941.00","13,727,799.11","15,532,166.10",,
支付给职工以及为职工支付的现金,"9,134,920.39","12,758,856.87","16,183,033.32","37,374,736.86","7,818,263.95","7,971,158.43","12,661,322.79","38,656,796.13","8,809,445.86","12,546,343.88","18,569,187.84","38,025,571.27","12,933,266.35","16,119,404.26","25,818,667.74","46,974,500.29","15,294,359.57","22,856,049.52","34,297,778.85","54,180,718.47","23,394,912.19","32,322,671.46","42,221,413.33","64,586,377.88","14,741,739.47","31,025,248.38","42,607,503.85","67,000,329.24","19,843,792.73","39,201,081.85","50,122,792.83","84,599,479.41","13,768,833.10","35,842,941.80","59,090,943.73","97,378,928.76","19,849,530.88","55,560,846.81","73,341,381.23","109,531,915.43","28,982,499.18","77,042,598.31","103,461,473.08","138,185,318.63","39,633,197.15","76,805,179.84"
取得借款收到的现金,"450,000,000.00","450,000,000.00","550,000,000.00","514,000,000.00",,"250,000,000.00","236,670,000.00","394,000,000.00","340,000,000.00","726,000,000.00","532,000,000.00","1,204,000,000.00","100,000,000.00","500,000,000.00","750,000,000.00","844,000,000.00",,"80,000,000.00","280,000,000.00","380,000,000.00","150,000,000.00","240,000,000.00","240,000,000.00","480,000,000.00","445,000,000.00","608,000,000.00","894,000,000.00","1,118,000,000.00","477,000,000.00","599,500,000.00","799,500,000.00","1,569,500,000.00","20,000,000.00","560,000,000.00","560,000,000.00","560,000,000.00","1,323,000,000.00","1,308,500,000.00","1,308,500,000.00","1,344,500,000.00","1,870,000,000.00","1,920,000,000.00","1,920,000,000.00","1,920,000,000.00",,
支付的各项税费,"9,924,906.37","38,099,496.28","56,401,244.24","72,887,291.74","10,475,262.79","55,341,674.89","58,490,093.49","91,853,543.21","29,630,355.78","38,612,882.77","62,988,296.40","77,976,046.81","17,878,829.77","45,370,854.75","54,181,318.21","71,459,383.15","12,728,782.86","69,420,528.59","83,675,186.69","86,438,905.97","118,214,579.48","158,981,101.37","194,509,936.88","274,886,419.17","1,099,125.96","41,288,288.21","57,590,246.03","97,848,686.74","25,655,530.10","55,264,298.24","84,126,573.59","180,160,476.88","39,364,634.57","62,982,036.92","77,626,349.68","85,908,838.69","12,662,429.44","57,320,977.43","80,030,228.63","107,310,613.80","35,280,785.46","138,241,564.39","148,186,503.46","161,662,537.21","227,759,300.60","287,375,277.98"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"11,101,736.50",,,,,,,,,,,,,,,,,,,"78,305,000.00",,"79,329,357.46","79,329,357.46","403,694,000.00",,"79,325,992.22","79,325,992.22","8,000,000.00","329,024,325.79","150,268,500.00","150,268,500.00","454,376,400.00",,"87,638.00"
支付其他与经营活动有关的现金,"50,197,955.77","29,061,113.84","59,335,808.91","392,791,451.81","222,143,837.35","173,330,297.25","61,667,405.70","76,585,189.85","16,900,710.23","368,978,732.70","422,934,126.22","387,637,674.85","160,449,181.73","406,032,723.79","476,243,220.92","364,327,600.42","14,829,464.49","28,466,250.82","249,258,330.72","542,328,917.87","208,933,692.63","72,864,720.83","229,988,898.57","266,605,601.48","194,693,529.32","88,099,409.62","177,452,747.44","201,102,747.96","275,581,931.86","280,596,978.98","195,522,256.78","379,060,990.13","108,008,059.42","72,995,383.61","367,181,807.33","179,381,763.90","203,704,491.80","185,984,205.71","391,855,443.93","425,492,747.31","289,714,258.92","551,731,728.71","728,815,521.19","469,374,449.82","159,554,986.08","415,889,164.97"
筹资活动现金流入小计,"454,500,000.00","460,500,000.00","551,573,178.60","523,000,000.00",,"250,000,000.00","248,670,000.00","394,000,000.00","340,000,000.00","726,000,000.00","542,000,000.00","2,198,649,970.00","111,101,736.50","500,000,000.00","750,000,000.00","844,000,000.00",,"80,000,000.00","369,500,000.00","469,500,000.00","150,000,000.00","245,000,000.00","240,000,000.00","480,000,000.00","445,000,000.00","608,000,000.00","894,000,000.00","1,118,000,000.00","477,000,000.00","599,500,000.00","799,500,000.00","1,647,805,000.00","20,000,000.00","639,329,357.46","639,329,357.46","991,494,000.00","1,329,854,859.45","1,942,472,348.68","3,061,917,537.36","3,486,428,750.00","2,199,024,325.79","2,083,794,441.00","2,083,996,299.11","2,389,908,566.10",,"87,638.00"
经营活动现金流出小计,"168,951,248.98","206,003,102.46","215,000,771.70","631,048,158.56","364,243,854.26","681,693,002.70","625,972,204.99","750,907,572.55","105,817,112.33","632,393,833.84","838,833,986.38","1,095,054,034.82","357,512,366.44","728,458,077.42","914,228,264.11","1,470,132,463.17","197,904,492.09","422,445,656.97","1,890,552,476.46","2,595,075,402.58","612,986,364.35","759,691,896.59","1,186,210,987.36","1,748,139,793.11","530,617,006.50","635,467,506.09","1,026,807,835.40","1,322,281,539.83","588,323,060.72","924,784,994.71","1,126,988,958.94","1,694,736,831.16","348,036,388.56","434,918,068.48","828,451,150.85","789,514,585.69","371,287,836.91","599,068,494.78","893,381,794.28","1,318,023,582.91","893,504,333.77","1,601,636,846.13","1,987,707,085.06","2,365,900,916.29","995,230,281.27","2,999,507,596.55"
偿还债务支付的现金,"300,000,000.00","300,000,000.00","300,000,000.00",,"13,330,000.00","301,660,000.00","301,660,000.00","417,320,000.00","13,330,000.00","228,910,000.00","254,490,000.00","620,070,000.00","175,580,000.00","381,285,000.00","421,990,000.00","632,695,000.00","115,705,000.00","136,535,000.00","405,365,000.00","426,195,000.00","25,830,000.00","126,785,000.00","278,590,737.70","388,365,000.00","12,855,000.00","25,960,000.00","107,105,000.00","114,980,000.00","150,987,587.67","244,725,175.34","632,932,763.01","1,740,306,586.05","3,125,000.00","845,875,000.00","949,125,000.00","1,339,375,000.00","505,250,000.00","660,250,000.00","1,130,250,000.00","3,009,750,000.00","210,000,000.00","250,000,000.00","250,098,821.22","270,000,000.00","200,000,000.00","220,000,000.00"
经营活动产生的现金流量净额,"11,870,896.50","20,086,664.49","35,519,650.39","-96,881,573.10","156,733,392.31","4,495,311.30","-39,432,568.96","8,121,254.48","-10,454,152.29","163,974,698.66","118,275,532.21","-23,694,448.40","-283,723,490.16","-293,903,057.61","-399,036,226.76","-853,309,198.40","-78,343,753.83","233,150,274.56","-242,693,552.94","-363,351,234.27","-120,675,896.46","450,503,541.91","495,334,053.12","359,094,239.72","-189,131,692.23","-40,542,546.53","-222,723,193.67","-331,041,151.37","-148,679,686.54","-208,103,192.61","246,118,736.45","315,654,843.07","171,199,266.99","464,752,753.50","298,158,320.90","493,507,813.64","37,074,678.25","-156,649,607.67","364,547,136.78","576,560,207.69","-376,123,163.98","-387,498,317.13","-314,824,098.57","-438,158,406.92","-634,584,961.30","-676,395,995.24"
