科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"70,525,993.25","85,731,751.43","122,795,945.48","33,302,674.31","81,039,813.20","109,016,969.55","153,060,781.62","38,950,616.00","85,106,774.57","118,694,917.02","165,059,681.72","32,247,450.05","72,451,018.28","112,805,646.46","166,349,779.22","37,675,850.50","77,896,518.28","127,103,419.58","192,662,786.85","40,225,518.47","86,293,019.07","149,811,944.99","195,590,036.89","41,374,513.67","84,790,325.09","143,504,634.85","224,228,801.27","41,111,308.16","101,707,451.63","146,972,412.07","205,115,604.72","39,119,273.55","86,552,234.71","140,140,509.10","188,901,248.89","40,970,045.00"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"570,000.00",,,,,,"154,561.37",,,"395,268.90",,"70,335,000.00",,,,,,,,,,,,,,
收到的税费返还,"868,717.93","899,230.77","1,096,347.26","639,414.12","1,166,008.18","148,096.20","1,520,354.13","1,804,001.14","2,490,161.44","4,616,807.08","7,413,247.77","1,486,199.96","2,526,404.81","2,828,006.75","2,859,310.79","1,598,541.03","1,598,814.17","2,145,018.20","3,055,179.53","706,269.91","1,805,941.09","2,721,742.70","4,499,552.19","513,749.75","831,964.87","1,660,765.27","2,169,907.00","1,027,754.53","1,826,678.91","6,776,543.64","8,307,670.01","1,927,818.23","4,442,356.92","8,446,458.84","10,041,185.31","1,558,911.31"
支付其他与投资活动有关的现金,,"3,716,012.80","9,379,533.83","950,087.00","5,069,428.20",,,,,,,,,"2,450,000.00",,,,,"154,561.37",,,,"60,042,427.07",,,,"15,006,292.81",,"10,000,000.00","10,150,000.00","33,871,697.25",,,,,
收到其他与经营活动有关的现金,"1,482,850.84","647,536.35","3,044,919.79","213,660.41","1,188,071.22","1,718,103.98","6,195,915.26","1,253,969.66","3,223,892.39","3,075,291.42","4,603,259.23","1,439,642.88","1,513,376.32","2,527,479.46","6,541,205.31","2,692,781.41","2,082,942.40","2,883,119.81","9,741,396.44","232,960.07","3,168,484.63","3,421,028.72","4,562,303.76","166,741.31","9,757,353.42","22,835,278.60","5,881,923.54","159,651.23","6,981,992.57","8,316,613.16","3,842,811.77","2,797,290.09","3,954,189.89","5,494,245.28","5,117,630.42","398,296.23"
投资活动现金流出小计,"1,144,769.14","4,538,109.61","12,123,851.40","2,894,516.80","9,936,045.11","30,317,543.25","58,419,782.36","23,986,760.91","29,685,139.03","30,175,264.70","38,559,374.45","44,073,939.66","74,344,905.79","101,333,875.17","213,653,310.71","41,483,260.29","50,902,212.30","143,287,913.00","222,415,823.95","93,892,769.03","167,192,303.39","228,253,399.49","167,099,249.03","1,241,447.69","4,069,063.58","4,382,702.76","26,396,115.12","159,553.40","10,029,511.75","10,728,742.76","46,026,051.05","57,225.01","62,859.14","11,835,909.14","86,740,451.86","10,311,576.52"
经营活动现金流入小计,"72,877,562.02","87,278,518.55","126,937,212.53","34,155,748.84","83,393,892.60","110,883,169.73","160,777,051.01","42,008,586.80","90,820,828.40","126,387,015.52","177,076,188.72","35,173,292.89","76,490,799.41","118,161,132.67","175,750,295.32","41,967,172.94","81,578,274.85","132,131,557.59","205,459,362.82","41,164,748.45","91,267,444.79","155,954,716.41","204,651,892.84","42,055,004.73","95,379,643.38","168,000,678.72","232,280,631.81","42,298,713.92","110,516,123.11","162,065,568.87","217,266,086.50","43,844,381.87","94,948,781.52","154,081,213.22","204,060,064.62","42,927,252.54"
投资活动产生的现金流量净额,"388,747.88","-4,538,109.61","-8,407,838.60","2,846,791.20","-253,520.11","-30,317,543.25","-58,419,782.36","-23,986,760.91","-29,685,139.03","-30,175,264.70","-37,989,374.45","-44,073,939.66","-43,011,503.53","-39,730,472.91","-45,898,698.16","-575,510.39","17,602,168.45","-40,028,941.69","-38,597,128.60","-22,930,147.09","-31,967,949.17","-72,955,721.11","-45,748,425.61","-1,202,949.28","-3,942,671.15","7,827,023.00","41,444,048.04","-156,180.12","-10,026,138.47","-698,369.48","-33,017,083.87","-57,225.01","3,115,457.69","452,673.85","-5,490,470.32","-8,342,590.22"
购买商品、接受劳务支付的现金,"49,539,927.50","50,280,728.64","74,092,666.02","23,328,397.78","61,995,648.48","70,606,138.28","105,214,260.16","25,574,002.87","63,243,345.97","96,264,877.17","126,055,343.40","28,230,076.80","59,611,704.83","83,059,259.98","123,838,522.00","41,400,974.46","45,538,606.69","65,974,204.60","111,715,290.31","34,589,591.47","67,274,488.61","107,477,538.92","133,437,729.27","34,119,385.75","53,746,706.54","82,674,301.39","136,355,565.52","30,033,862.90","83,668,567.19","104,592,937.21","138,019,510.64","29,786,891.40","60,153,811.00","89,154,644.97","106,171,824.92","20,267,582.77"
吸收投资收到的现金,"5,000,000.00",,"3,536,493.68",,"210,240,000.00","183,042,478.76","210,240,000.00",,,,"3,430,000.00","200,000.00","1,190,000.00","1,700,000.00","2,670,000.00",,,,"2,855,000.00","20,000,000.00","20,100,000.00","50,100,000.00","50,658,750.00",,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"5,228,459.64","8,114,000.42","14,447,406.78","6,147,015.77","11,849,881.05","17,185,868.15","24,845,754.48","8,532,346.07","15,215,964.12","19,304,094.22","29,605,061.81","10,486,064.36","16,501,123.23","23,975,459.69","30,621,864.71","14,517,149.78","19,472,938.04","28,900,706.03","43,791,993.17","13,362,852.18","18,055,510.81","31,774,383.85","43,762,548.45","12,630,533.92","23,484,574.06","27,646,349.52","41,424,648.43","9,715,427.09","27,482,589.51","34,682,589.51","35,224,859.02","10,500,563.39","17,687,529.91","24,554,763.82","33,269,828.77","11,144,175.19"
取得借款收到的现金,,,"15,000,000.00",,"15,000,000.00","15,000,000.00","15,000,000.00",,,,,,,,,"13,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,,"10,000,000.00","69,500,000.00",,,"20,000,000.00","55,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","20,000,000.00","12,000,000.00","12,000,000.00","17,000,000.00","17,000,000.00","22,000,000.00"
支付的各项税费,"6,047,790.70","4,405,497.16","4,486,970.63","1,682,161.09","2,776,269.76","2,880,385.33","3,958,222.82","1,101,761.46","2,102,182.29","3,011,331.77","5,314,696.43","455,702.95","2,882,240.82","4,055,428.97","4,093,515.33","1,168,974.08","1,333,206.54","4,411,411.63","6,938,409.02","1,489,435.14","2,584,080.80","4,916,978.62","6,143,095.50","1,663,944.92","3,322,136.70","4,262,908.13","4,846,631.05","2,620,788.15","3,493,769.80","5,428,061.56","5,694,100.13","2,543,926.04","4,778,009.92","7,288,434.24","6,409,024.89","2,643,520.80"
收到其他与筹资活动有关的现金,,,,,,"11,371,164.29","10,296,122.13","2,582,423.00","6,078,210.00","6,078,210.00","7,878,711.28",,,,"4,942,625.01",,"1,907,393.92","4,175,002.98","590,085.67","1,157,844.05","2,483,792.05","2,533,912.05","2,395,831.73","1,509,099.98","1,583,076.80","1,583,076.80","6,237,499.70",,"1,871,556.93","1,871,556.93","2,555,918.70",,,,,
支付其他与经营活动有关的现金,"8,624,603.09","13,158,820.22","15,201,430.34","6,866,176.41","13,817,850.14","18,188,362.60","23,193,841.27","6,447,977.85","13,247,583.23","18,272,613.29","30,634,560.22","6,627,047.71","13,724,826.65","28,742,820.91","30,403,461.33","12,626,527.83","12,010,673.21","20,748,573.45","31,551,620.41","3,361,404.15","17,120,714.87","32,090,949.77","35,197,248.40","4,492,261.05","12,652,098.43","17,771,388.54","29,581,689.84","5,118,495.26","23,096,548.54","37,559,142.63","37,942,194.89","8,502,952.59","10,819,851.14","19,269,826.38","28,506,389.03","8,337,683.64"
筹资活动现金流入小计,"5,000,000.00",,"18,536,493.68",,"225,240,000.00","209,413,643.05","235,536,122.13","2,582,423.00","6,078,210.00","6,078,210.00","71,308,711.28","200,000.00","1,190,000.00","1,700,000.00","7,612,625.01","13,000.00","51,907,393.92","54,175,002.98","53,445,085.67","21,157,844.05","22,583,792.05","62,633,912.05","122,554,581.73","1,509,099.98","1,583,076.80","21,583,076.80","61,237,499.70","10,000,000.00","11,871,556.93","11,871,556.93","22,555,918.70","12,000,000.00","12,000,000.00","17,000,000.00","17,000,000.00","22,000,000.00"
经营活动现金流出小计,"69,440,780.93","75,959,046.44","108,228,473.77","38,023,751.05","90,439,649.43","108,860,754.36","157,212,078.73","41,656,088.25","93,809,075.61","136,852,916.45","191,609,661.86","45,798,891.82","92,719,895.53","139,832,969.55","188,957,363.37","69,713,626.15","78,355,424.48","120,034,895.71","193,997,312.91","52,803,282.94","105,034,795.09","176,259,851.16","218,540,621.62","52,906,125.64","93,205,515.73","132,354,947.58","212,208,534.84","47,488,573.40","137,741,475.04","182,262,730.91","216,880,664.68","51,334,333.42","93,439,201.97","140,267,669.41","174,357,067.61","42,392,962.40"
偿还债务支付的现金,,,,,"15,000,000.00","15,000,000.00","15,000,000.00",,"15,000,000.00","15,000,000.00","15,000,000.00",,,,,,"900,000.00","50,900,000.00","50,000,000.00",,,,"58,616,595.19",,"20,000,000.00","30,000,000.00","69,500,000.00",,,"20,000,000.00","55,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","20,000,000.00","12,000,000.00"
经营活动产生的现金流量净额,"3,436,781.09","11,319,472.11","18,708,738.76","-3,868,002.21","-7,045,756.83","2,022,415.37","3,564,972.28","352,498.55","-2,988,247.21","-10,465,900.93","-14,533,473.14","-10,625,598.93","-16,229,096.12","-21,671,836.88","-13,207,068.05","-27,746,453.21","3,222,850.37","12,096,661.88","11,462,049.91","-11,638,534.49","-13,767,350.30","-20,305,134.75","-13,888,728.78","-10,851,120.91","2,174,127.65","35,645,731.14","20,072,096.97","-5,189,859.48","-27,225,351.93","-20,197,162.04","385,421.82","-7,489,951.55","1,509,579.55","13,813,543.81","29,702,997.01","534,290.14"
分配股利、利润或偿还利息支付的现金,,,"512,415.00","238,950.00","483,162.92","749,234.59","1,022,841.26","273,606.67","514,140.00","514,140.00","3,191,731.12","1,687,756.76","1,687,756.76","1,687,756.76","5,587,167.76",,"1,400,000.00","1,407,777.78","5,307,777.78",,,"1,337,061.11","7,242,511.74","771,522.09","1,677,357.41","2,477,253.47","2,994,760.36","276,466.67","896,220.84","1,988,473.71","2,341,519.20","283,837.51","577,317.51","907,772.51","1,195,887.51","288,767.50"
收回投资收到的现金,,,,,,,,,,,,,"31,000,000.00","61,000,000.00","167,000,000.00","40,000,000.00","62,000,000.00","97,000,000.00","176,907,121.65","70,700,000.00","134,700,000.00","151,700,000.00","120,700,000.00",,"100,000.00","12,183,333.33",,,"3,373.28","10,003,373.28",,,,"9,100,000.00","76,127,074.13","1,800,000.00"
支付其他与筹资活动有关的现金,"460,000.00","530,000.00","1,710,000.00",,"23,326,000.00","10,612,221.26","36,419,051.10",,"2,424,489.85","5,322,085.39","7,518,058.49",,,,"3,413,023.34",,"3,134,165.23","4,467,147.83","2,003,400.00",,,"1,553,500.00","3,606.09","1,049,859.40",,,,,,"37,000,000.00",,"13,227,934.00","14,241,150.00","19,732,181.00","26,310,353.50","9,613,353.50"
取得投资收益收到的现金,,,,,,,,,,,,,"333,402.26","603,402.26","735,210.55","669,269.90","1,025,348.12","1,062,914.96","1,422,082.29","262,621.94","524,354.22","597,678.38","597,872.25",,,,,,,,"12,914,399.00",,"3,168,316.83","3,178,582.99","4,580,284.11","18,986.30"
筹资活动现金流出小计,"460,000.00","530,000.00","2,222,415.00","238,950.00","38,809,162.92","26,361,455.85","52,441,892.36","273,606.67","17,938,629.85","20,836,225.39","25,709,789.61","1,687,756.76","1,687,756.76","1,687,756.76","9,000,191.10",,"5,434,165.23","56,774,925.61","57,311,177.78",,,"2,890,561.11","65,862,713.02","1,821,381.49","21,677,357.41","32,477,253.47","72,494,760.36","276,466.67","896,220.84","58,988,473.71","57,341,519.20","23,511,771.51","24,818,467.51","30,639,953.51","47,506,241.01","21,902,121.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,,,"19,402.00","238,480.00","220,000.00","220,000.00","230,458.78",,,,"52,951.17","38,498.41","26,392.43","26,392.43","288,284.72",,,"27,000.00","94,568.18",,"10,000.00","10,000.00","27,012.63","150,000.00"
