科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"309,959,293.60","433,159,204.70","232,340,930.02","443,102,540.46","190,361,769.06","270,436,095.52","401,145,149.56","100,043,473.34","277,558,543.55","438,349,748.18","619,743,259.47","155,610,552.96","369,232,585.08","522,005,420.36","702,614,410.04","121,744,819.34","643,671,853.87","1,001,671,568.71","1,172,963,028.48","136,352,499.49","329,009,845.17","522,849,189.66","724,344,246.27","192,544,484.10","425,225,255.84","621,371,703.69","1,119,348,835.63","139,533,910.61","412,883,970.21","810,120,460.12","1,339,590,279.02","240,973,027.00","636,181,338.14","1,008,937,337.31"
二、营业利润,"61,466,919.37","72,459,890.28","38,166,355.64","80,295,467.05","39,275,811.02","46,674,940.64","58,960,595.05","9,887,985.96","52,094,231.51","70,700,730.47","84,934,898.62","22,567,647.42","56,407,570.22","70,651,502.87","59,808,832.36","12,617,345.50","28,916,968.41","49,737,263.08","57,557,523.85","16,614,292.37","36,932,550.24","59,923,150.32","67,583,745.16","15,008,016.48","53,939,362.58","79,803,400.43","143,307,715.55","14,520,819.67","55,330,775.27","127,564,407.20","229,565,681.30","33,039,469.02","140,246,143.10","186,097,740.20"
减:营业成本,"218,178,651.58","313,509,863.22","169,839,388.30","316,808,645.87","126,325,782.28","187,978,979.87","283,563,824.14","73,615,986.49","192,224,298.97","309,941,079.32","446,544,773.94","111,045,876.77","263,649,870.48","374,017,564.50","508,315,475.83","87,892,089.54","570,441,740.32","870,592,206.25","1,004,564,479.76","100,753,932.38","248,790,646.48","388,527,582.83","531,324,919.08","145,846,757.09","286,504,076.82","413,009,251.11","751,529,789.45","91,091,025.80","254,682,836.64","480,843,943.23","816,815,054.08","138,299,916.43","351,154,314.67","579,137,870.95"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"177,573.55","139,279.03","144,164.92","283,604.80","66,302.17","62,458.28","188,050.07","523,489.56","675,221.76","858,090.56","1,858,086.38","1,097,698.82","2,715,478.99","3,269,798.72","4,239,934.65","346,800.63","1,562,987.96","1,223,017.01","2,710,188.53","51,716.44","1,574,125.07","2,082,889.31","3,747,549.63","1,302,374.60","3,598,981.91","5,406,060.59","7,740,067.92","743,361.15","1,549,652.39","2,865,736.96","11,774,295.07","617,083.68","5,687,798.15","9,172,167.41"
营业外收入,"295,743.71","1,804,453.61","190,972.33","252,227.33","233,677.00","235,677.00","235,677.00",,,"13,000.00",,,"850,000.00","884,600.00","14,977,579.95","2,440,000.00","2,662,600.00","2,952,721.51","4,075,648.28","2,513,000.00","4,714,090.13","10,061,070.01","10,927,461.14","8,165,163.60","12,165,593.49","19,962,242.43","19,132,125.65","3,115,956.09","4,185,817.62","10,521,889.59","10,761,745.34","1,993,510.28","455,009.91","529,026.34"
销售费用,"10,996,262.68","15,467,632.17","8,810,039.13","15,250,894.65","7,282,708.13","11,990,577.21","15,283,982.70","5,890,896.04","11,231,130.23","20,596,345.84","28,654,625.19","6,995,902.16","16,993,642.34","26,253,064.37","37,005,816.99","7,417,368.78","14,410,918.01","22,622,604.07","33,471,958.88","7,304,524.93","16,627,102.16","29,128,607.30","41,351,390.30","8,329,167.80","31,735,666.90","47,652,571.96","77,141,144.68","11,448,913.37","21,528,986.73","41,392,903.36","70,940,079.86","17,437,109.71","35,569,679.31","62,810,049.22"
减:营业外支出,"187,431.68","783,442.16","168,714.36","243,714.36","310,717.02","537,758.78","697,758.78",,"4,000.00","402,300.00","402,300.00",54.00,"4,741.28","181,070.81","382,759.31","520,031.98","524,335.09","576,857.56","795,742.36","20,007.13","232,582.38","617,875.79","699,296.79","37,242.81","434,117.59","694,909.58","1,243,024.19","24,601.38","172,791.10","456,114.52","465,016.96","9,290.53","3,602,973.98","3,765,973.38"
管理费用,"12,368,129.28","17,361,518.11","11,544,800.60","20,321,496.36","15,087,729.53","22,170,290.50","39,715,188.55","9,138,121.69","16,711,349.73","29,733,342.21","47,608,339.20","11,862,764.79","22,823,886.99","38,815,720.33","56,035,120.94","11,068,335.88","23,658,747.77","38,112,574.26","56,538,256.18","12,048,520.34","24,220,153.98","38,060,298.74","61,817,355.95","17,359,870.60","32,939,282.74","51,450,145.35","80,744,706.12","16,169,103.99","43,465,467.56","90,819,092.18","116,206,869.36","26,871,826.36","69,647,891.07","104,946,266.77"
其中:非流动资产处置净损失,,"33,032.16","15,697.19","15,697.19",,,,,,,,,,,,,,,"120,561.68",,,,"92,691.81",,,,"409,513.53",,,,,,,
