科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"471,917,413.69","607,983,821.06","613,879,378.16","44,892,912.91","177,743,078.89","411,370,290.05","784,990,166.39","50,817,781.65","184,656,584.86","433,541,637.95","917,284,650.36","77,412,621.43","334,043,702.65","831,683,237.70","1,261,146,266.52","96,560,870.08","280,290,807.14","724,614,785.58","1,171,727,478.30","79,548,274.46","463,295,303.59","1,027,234,903.79","1,934,212,550.21","139,432,427.46","463,223,246.68","991,800,904.86","1,424,993,570.40","40,030,379.51","206,964,879.41","441,037,013.71","624,994,261.92","82,911,350.45","222,868,686.56","1,146,753,523.60","2,551,463,712.32","1,015,033,028.69","2,057,591,381.62"
二、营业利润,"35,855,909.00","34,834,112.71","37,168,432.53","-6,412,506.97","1,541,984.98","19,668,420.86","37,217,483.60","-8,141,110.04","148,099.04","22,168,484.28","47,917,170.24","-6,210,005.80","4,851,903.75","12,413,182.98","25,847,148.95","-4,215,957.89","5,554,949.49","11,793,392.20","18,391,987.31","-7,949,263.68","8,768,604.84","18,604,569.45","55,022,492.96","-5,056,461.60","12,433,062.63","17,034,930.33","51,313,662.94","-6,535,423.05","-6,728,697.19","8,581,667.62","12,194,320.87","-7,550,108.12","-2,608,751.04","35,790,593.77","65,301,889.66","79,528,562.38","166,586,720.86"
减:营业成本,"389,878,328.14","514,058,650.19","526,885,829.80","42,464,426.02","156,743,186.81","362,245,036.19","696,089,458.53","47,168,715.39","158,315,006.89","372,800,862.08","783,050,580.44","68,695,129.01","298,951,412.32","746,689,449.15","1,124,913,744.55","83,989,784.88","245,924,122.78","636,683,765.37","1,034,298,795.81","67,052,399.82","399,529,881.16","884,241,842.64","1,703,474,326.47","126,294,559.17","407,780,360.99","884,805,160.14","1,249,722,178.51","37,358,302.37","185,090,476.70","379,986,009.10","546,478,620.80","76,383,898.44","204,965,714.66","984,289,578.81","2,228,796,058.47","873,185,093.66","1,736,463,423.79"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,935,118.11","3,980,331.01","5,167,118.19","354,470.27","1,639,430.81","2,219,402.83","2,463,261.25","416,501.24","728,811.71","978,093.79","3,237,246.56","111,140.02","457,039.50","2,128,298.95","3,784,711.54","309,405.78","464,543.17","825,133.95","5,506,539.39","289,361.13","2,192,784.57","5,516,653.99","10,979,232.60","1,047,932.00","2,198,173.61","3,854,145.80","8,890,458.91","804,536.73","1,109,457.54","1,445,650.48","4,770,680.85","563,813.09","1,184,685.56","4,631,991.57","14,815,966.86","7,904,065.86","13,986,935.14"
营业外收入,"1,898,787.50","1,902,633.00","1,565,272.53",,,"2,000,000.00","4,500,000.00","370,566.56","1,370,566.56","1,385,566.56","2,054,169.91",,"610,000.00","718,889.05","2,371,871.12","913,988.27","1,338,025.37","1,353,289.01","4,304,174.77","180,279.35","82,279.35","708,964.20","2,563,117.13","744,181.96","1,077,571.22","1,583,071.22","1,607,027.38","139,315.25","576,730.49","13,749,115.25","2,558,490.68","67,274.49","291,137.61","8,088,870.16","1,745,120.71","438,536.69","938,753.40"
销售费用,"7,407,041.56","10,766,263.37","9,445,543.40","2,463,325.38","5,200,305.87","6,313,692.97","7,766,999.27","2,218,586.95","4,262,227.10","5,778,487.22","8,566,795.09","2,192,303.00","4,212,165.12","8,228,013.00","10,697,881.21","2,950,887.68","4,849,061.87","10,187,978.09","16,380,535.61","3,510,937.23","6,452,339.25","16,457,198.49","16,596,980.48","4,439,275.27","11,616,450.94","14,784,270.51","31,456,165.03","3,499,030.52","5,350,227.96","6,657,631.98","20,329,880.73","4,292,812.85","5,853,730.07","9,682,379.91","34,959,163.30","4,694,131.54","6,592,303.52"
减:营业外支出,"3,582,621.99","1,324,572.31","38,744.89",,"10,000.00","10,200.00","622,940.93","500,829.70","502,648.97","502,882.34","560,110.36",,"1,077,161.50","1,077,161.50","242,457.00",,"204,000.00","254,000.00","811,811.73","14,067.28",,"15,000.00","1,443,117.55","150,304.96","150,527.24","150,527.24","908,259.05","195,332.37","226,164.40","13,439,565.28","327,264.38","50,327.97","55,704.87","444,588.62","623,354.39","655,818.81","1,282,390.82"
管理费用,"20,582,056.82","22,152,934.98","19,408,998.99","4,887,532.80","9,271,212.31","13,473,559.29","24,539,720.39","5,777,156.60","9,823,018.39","14,213,843.10","42,545,552.87","5,782,429.92","11,492,060.64","35,748,112.28","66,787,508.51","7,606,946.97","14,673,059.72","34,997,952.01","61,336,856.74","12,066,351.99","22,229,445.85","45,258,013.75","96,360,863.32","15,545,947.30","29,625,814.52","39,820,628.54","63,785,140.70","14,327,144.94","25,604,439.93","35,224,010.20","43,871,825.83","12,270,127.10","18,070,939.80","106,800,272.30","190,428,755.28","58,066,527.66","134,075,283.73"
其中:非流动资产处置净损失,"27,416.80",,"1,132.80",,,,,,,,,,,,"9,558.70",,,,,,,,,,,,"510,777.97",,,,,,,"81,194.30",,,
