科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"60,902,616.32","106,217,857.72","155,216,766.72","325,937,462.93","57,995,291.34","111,600,537.96","129,079,594.18","137,212,702.52","132,739,982.16","682,874,831.32","1,173,807,078.75","1,748,197,479.50","318,215,376.48","675,272,900.20","780,403,089.47","824,470,738.37","156,585,231.81","208,467,839.04","229,498,245.65","336,724,794.11","7,167,215.73","67,104,268.59","102,511,856.29","285,304,050.20","51,637,647.44","117,152,521.59","365,359,975.33","676,659,021.31","73,669,787.23","200,555,082.02","641,246,461.51","1,217,448,252.97","28,801,275.66","190,532,024.68","387,567,636.39","668,919,808.94","188,829,658.30","519,004,957.63","737,506,775.64","1,110,562,852.72","37,346,918.99","170,680,550.08","250,576,609.70","625,802,632.16"
二、营业利润,"4,301,949.07","9,561,859.41","11,353,197.21","56,558,038.47","1,960,201.13","6,337,074.72","6,900,546.37","3,334,164.50","19,824,575.90","164,232,944.75","280,360,530.13","447,620,160.20","108,720,464.85","233,489,913.21","253,116,142.76","241,865,698.32","28,108,540.21","39,920,932.39","395,107,917.19","369,554,250.79","-10,271,776.34","-23,373,747.27","-25,395,253.62","-130,172,752.69","-2,611,627.17","-3,662,471.15","58,070,444.77","22,622,433.94","284,194.98","-5,003,354.18","125,291,999.22","174,101,877.65","-11,881,087.78","-16,147,699.17","33,151,448.11","81,465,809.63","30,696,817.95","125,205,200.37","145,935,751.69","147,336,518.92","-18,518,727.82","-24,191,383.82","-40,434,925.36","28,603,250.25"
减:营业成本,"42,110,723.21","77,298,593.96","118,483,397.19","224,455,366.75","42,164,150.58","76,249,633.33","84,102,335.82","92,119,501.34","96,616,476.01","462,547,781.60","784,854,998.94","1,136,428,260.04","158,122,852.95","312,189,110.77","379,543,767.89","402,080,741.28","96,738,431.46","114,598,227.98","126,976,600.46","222,698,682.14","5,125,877.76","47,197,351.78","69,879,035.74","234,909,427.50","25,386,395.53","77,015,293.73","222,076,201.96","535,479,116.75","58,577,171.39","175,940,164.59","461,236,129.93","1,009,646,867.28","23,440,715.52","172,005,696.11","273,687,833.72","443,566,007.16","106,920,822.84","269,495,659.35","439,649,386.58","782,916,144.85","33,438,716.29","133,561,411.18","207,693,643.92","485,044,931.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,147,305.64","5,850,750.07","8,062,612.39","18,467,802.17","2,839,969.74","6,095,737.58","7,072,513.89","6,918,755.93","7,138,583.05","36,828,889.43","63,221,739.52","93,088,682.43","35,303,744.50","103,304,961.82","115,609,061.75","120,853,281.40","17,041,686.18","29,273,284.42","31,863,407.16","36,643,763.82","745,750.10","10,548,193.29","13,448,994.32","22,954,661.13","9,660,678.63","11,542,756.57","39,286,330.90","55,441,181.15","3,281,556.74","6,979,475.89","24,889,426.68","55,076,077.30","-866,179.92","6,627,537.78","44,188,899.24","91,426,788.53","33,083,030.11","94,280,726.16","109,049,552.50","117,710,293.55","2,454,876.93","19,505,702.14","21,516,881.82","38,814,541.41"
营业外收入,"164,419.90","182,132.62","189,501.56","189,501.56",,"89,009.46","99,769.46","126,804.93","37,824.11","37,824.11","5,324,482.11","5,411,554.23","702,891.32","706,508.15","709,209.11","716,494.75",,"8,040.00","118,310.00","118,590.00","110,000.00","310,010.03","411,455.95","762,685.06","191,505.59","6,556,241.79","289,580,785.87","290,484,703.21","115,895.88","198,263.92","626,583.92","1,273,206.40","179,660.00","216,626.52","1,446,296.62","1,725,795.53","235,073.80","270,413.18","285,813.20","1,429,758.92","1,878,074.23","2,289,721.08","2,466,101.44","3,171,085.39"
销售费用,"2,124,509.46","2,555,781.34","3,561,506.49","4,236,670.89","1,524,174.74","3,300,151.63","3,545,680.88","8,306,685.99","504,420.23","2,982,501.33","11,309,350.57","21,321,766.27","1,389,371.60","3,131,900.13","4,324,230.36","5,378,474.00","1,834,244.21","3,004,274.45","5,316,062.35","6,736,643.49","1,469,482.54","4,750,089.42","7,400,958.27","9,627,632.41","2,605,999.75","4,141,815.19","6,643,893.04","9,690,166.00","2,775,919.26","4,355,164.69","6,120,691.85","8,795,869.43","2,892,602.60","4,209,659.04","6,049,396.67","7,032,805.99","2,372,605.80","4,090,038.40","6,397,830.20","7,446,925.46","1,527,740.18","2,505,280.15","4,861,765.74","9,489,916.11"
减:营业外支出,395.07,"5,935.07","16,935.07","16,935.07",,"531,035.32","532,035.31","532,035.32",,"100,000.00","116,602.50","117,134.90","200,012,184.36","200,021,450.78","200,041,650.78","200,341,754.06","30,311.99","30,383.99","30,383.99","34,822.95","25,064.00","33,198.84","62,538.84","63,067.52","127,628.80","127,628.80","127,628.80","19,179.21","14,827.38","14,827.38","68,327.38","114,327.38",,"992,687.00","1,533,510.00","1,832,250.02","228,053.88","707,374.95","1,469,044.32","7,657,691.03",,"31,653.37","78,458.39","184,835.25"
管理费用,"4,082,357.87","6,045,201.17","9,996,996.60","14,317,397.99","7,786,119.55","13,020,774.00","18,564,201.17","24,217,366.35","7,305,842.09","14,538,307.80","21,370,098.57","29,683,078.89","10,739,834.65","19,173,221.76","26,259,881.80","32,876,414.23","11,519,385.15","20,257,301.09","30,776,076.28","38,377,716.50","13,345,983.23","25,700,888.55","36,194,223.29","50,711,798.06","16,600,361.84","26,602,606.65","37,870,013.64","49,728,108.29","19,324,150.30","27,890,263.13","39,058,969.85","55,870,483.05","21,744,691.35","32,106,493.21","44,817,833.94","58,377,594.30","23,086,852.70","35,522,931.06","47,740,629.10","63,137,838.82","23,446,961.40","37,172,250.53","51,824,849.03","67,164,166.66"
其中:非流动资产处置净损失,395.07,"5,935.07",,,,,,,,,,"17,134.90",,,,"12,184.36",,"30,311.99",,"39,406.60",,"23,198.84",,"41,067.52",,,,"4,454.21",,"14,827.38",,"14,827.38",,,,,,,,"134,705.08",,,,
