科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"6,126,289.65","4,319,943.04","5,307,183.64","3,015,251.58","-641,313.20","-1,987,095.26","-3,453,334.59","-4,048,586.68","-363,436.55","-372,179.01","-1,182,700.62","-1,179,083.34","101,176.87","-231,344.42","259,839.67","854,043.27","-1,005,238.62","-4,726,883.56","-7,483,062.08","-793,796.33","-39,725.29","-1,027,804.01","-3,448,235.86","-3,443,433.52","-1,029,330.48","-1,541,058.07","440,355.78","3,511,037.79","2,297,896.47","6,588,390.52","3,204,786.52","-853,383.86","-1,849,391.18","-6,825,899.50","-6,933,581.87","-15,623,599.09","3,211,994.60","4,325,471.92","6,283,680.82"
三、利润总额,"55,351,302.67","30,062,889.39","48,817,187.18","62,692,011.66","8,898,865.78","24,823,278.95","46,815,606.01","66,758,832.48","22,725,056.70","49,221,708.78","79,402,739.90","107,727,701.94","34,667,337.02","71,537,508.40","116,170,671.54","148,227,972.93","12,992,017.52","52,902,196.92","123,522,585.98","178,497,708.49","27,839,047.02","68,932,087.03","114,077,714.19","138,024,695.61","36,985,818.32","98,093,146.55","154,568,060.50","182,885,186.07","40,269,815.64","96,999,101.66","134,550,201.29","175,481,768.82","49,203,300.28","124,918,993.98","203,439,512.71","297,729,877.01","78,437,018.92","187,588,993.71","323,855,529.53"
资产减值损失,"1,082,484.46","643,848.86","1,212,757.01","810,667.70","-694,357.51","370,297.59","932,898.48","1,832,834.06","143,134.01","962,933.48","820,476.20","2,419,604.87","-361,057.86","130,914.69","3,987,649.64","7,306,835.32","-166,826.98","1,507,041.49","3,235,073.57","2,909,152.57","-427,522.15","1,845,220.18","2,624,430.71","4,715,465.13","1,393,317.59","4,289,075.34","5,377,844.90","5,686,029.27","748,863.25","4,167,532.95","3,387,554.95","6,044,735.97","-2,174,813.76","-2,382,830.48","1,793,424.15","18,861,455.21","-4,187,190.06","-2,695,723.00","1,186,448.71"
减:所得税,"12,000,764.89","7,542,418.65","12,003,084.78","15,073,987.56","2,224,716.45","6,206,089.74","7,022,340.90","10,017,568.79","3,568,179.13","7,706,579.47","12,358,612.74","15,921,611.77","5,444,511.99","10,815,883.42","18,028,368.71","24,052,589.11","2,630,540.05","8,574,949.10","19,359,190.19","27,446,787.68","4,383,775.34","11,221,259.82","19,590,123.16","21,689,620.14","5,203,990.57","14,439,877.63","24,263,227.25","26,443,203.83","4,745,920.09","12,576,405.83","17,872,172.65","23,118,700.76","7,945,742.73","18,766,347.29","29,421,524.41","39,475,639.04","12,889,466.26","31,339,738.45","48,911,388.90"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,,,,,,,,,,"1,150.69","2,071.22","-209,775.85","5,275,791.64","9,450,126.23","12,414,236.18","18,490,920.62","923,940.56","9,315,966.76","16,894,616.68","38,096,801.39","-696,005.32","23,731,393.08","55,748,938.53"
四、净利润,"43,350,537.78","22,520,470.74","36,814,102.40","47,618,024.10","6,674,149.33","18,617,189.21","39,793,265.11","56,741,263.69","19,156,877.57","41,515,129.31","67,044,127.16","91,806,090.17","29,222,825.03","60,721,624.98","98,142,302.83","124,175,383.82","10,361,477.47","44,327,247.82","104,163,395.79","151,050,920.81","23,455,271.68","57,710,827.21","94,487,591.03","116,335,075.47","31,781,827.75","83,653,268.92","130,304,833.25","156,441,982.24","35,523,895.55","84,422,695.83","116,678,028.64","152,363,068.06","41,257,557.55","106,152,646.69","174,017,988.30","258,254,237.97","65,547,552.66","156,249,255.26","274,944,140.63"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-211,847.07","5,275,791.64","9,450,126.23","12,190,438.99","15,678,629.45","-1,081,538.89","2,638,823.68","588,080.11","20,471,171.00","-3,444,947.17","14,195,161.77","42,523,391.29"
归属于母公司所有者的净利润,"43,350,537.78","22,520,470.74","36,814,102.40","47,618,024.10","6,674,149.33","18,617,189.21","39,793,265.11","57,572,157.27","19,697,486.57","42,614,428.02","68,272,651.73","93,763,113.82","29,306,785.97","60,373,569.03","96,732,391.77","122,110,409.82","10,029,888.11","43,427,641.84","102,410,380.82","147,941,781.87","23,228,670.13","56,743,539.18","92,787,292.30","114,418,709.90","31,158,549.26","82,259,380.85","128,021,390.27","153,016,707.58","35,125,991.28","83,162,749.01","114,176,329.01","149,170,752.57","39,703,160.29","103,232,992.47","169,661,414.51","253,668,997.90","64,573,920.80","153,966,126.61","270,454,121.85"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,"-830,893.58","-540,609.00","-1,099,298.71","-1,228,524.57","-1,957,023.65","-83,960.94","348,055.95","1,409,911.06","2,064,974.00","331,589.36","899,605.98","1,753,014.97","3,109,138.94","226,601.55","967,288.03","1,700,298.73","1,916,365.57","623,278.49","1,393,888.07","2,283,442.98","3,425,274.66","397,904.27","1,259,946.82","2,501,699.63","3,192,315.49","1,554,397.26","2,919,654.22","4,356,573.79","4,585,240.07","973,631.86","2,283,128.65","4,490,018.78"
