科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"596,819,769.56","811,490,885.04","1,034,194,035.72","542,295,557.09","831,048,143.38","1,037,693,089.87","302,470,846.52","521,144,883.38","836,752,935.39","1,043,634,312.62","307,512,738.45","575,058,025.14","909,143,964.40","1,165,897,969.08","334,598,253.01","662,816,033.30","1,072,398,250.60","1,324,883,242.20","337,158,092.98","621,631,100.33","1,062,950,252.85","1,429,475,618.36","359,868,952.19","813,847,040.19","1,268,172,999.79","1,781,358,998.40","444,584,129.47","998,737,602.43"
取得子公司及其他营业单位支付的现金净额,"408,270.62","43,614,192.10",,,,,,,,,,,,,,,,"4,799,271.55",,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"80,000.00",,"390,000.00",,,,,,
收到其他与经营活动有关的现金,"28,101,865.44","13,237,693.48","20,563,992.23","4,080,874.87","11,394,297.88","18,207,215.47","8,420,038.42","21,474,081.37","37,255,908.61","28,238,113.02","13,854,889.57","27,532,678.13","50,435,555.87","30,184,221.03","12,461,193.21","32,790,287.27","36,221,131.24","129,427,770.85","9,402,015.83","12,362,881.25","60,896,370.53","13,839,089.43","25,050,599.21","50,091,364.87","96,168,882.52","54,039,064.37","182,217,582.97","180,225,986.17"
投资活动现金流出小计,"35,132,055.47","101,531,583.63","56,072,049.23","37,542,980.20","58,715,429.10","85,120,646.95","5,566,163.06","86,952,167.90","172,622,368.32","278,061,835.01","230,289,354.28","257,390,156.29","284,505,496.03","88,108,827.94","31,413,128.22","64,387,814.91","97,590,545.91","137,796,161.74","45,072,249.71","239,524,287.39","394,943,039.91","488,676,707.76","26,822,188.92","162,221,984.14","237,474,759.63","56,131,264.79","108,446,146.21","190,563,997.11"
经营活动现金流入小计,"624,921,635.00","824,728,578.52","1,054,758,027.95","546,376,431.96","842,442,441.26","1,055,900,305.34","310,890,884.94","542,618,964.75","874,008,844.00","1,071,872,425.64","321,367,628.02","602,590,703.27","959,579,520.27","1,196,082,190.11","347,059,446.22","695,606,320.57","1,108,619,381.84","1,454,311,013.05","346,560,108.81","633,993,981.58","1,123,846,623.38","1,443,314,707.79","384,919,551.40","863,938,405.06","1,364,341,882.31","1,835,398,062.77","626,801,712.44","1,178,963,588.60"
投资活动产生的现金流量净额,"-35,087,943.98","-100,555,950.47","-52,690,516.89","-37,100,299.55","-58,688,604.10","-82,306,755.28","-5,544,163.06","-86,839,167.90","-122,030,619.69","-176,543,127.55","-48,744,222.11","25,209,511.50","28,434,748.55","-4,988,703.00","-31,394,228.22","-64,008,301.68","-97,189,032.68","-136,307,099.75","-45,059,404.71","-234,968,483.12","-273,976,569.45","-280,797,378.90","114,879,043.94","-19,637,532.64","-84,470,482.67","124,943,218.92","-108,446,146.21","-109,676,970.37"
购买商品、接受劳务支付的现金,"454,526,861.63","694,308,268.31","799,505,427.99","350,981,172.84","541,027,663.16","763,253,329.00","137,697,336.73","338,635,982.86","542,013,471.55","804,155,037.90","105,137,367.27","280,825,790.68","528,161,946.80","813,460,952.93","158,081,807.51","304,871,102.57","661,521,325.90","912,268,555.64","129,219,212.44","323,069,624.53","589,176,215.37","890,123,499.25","141,001,644.68","395,946,829.96","676,265,370.16","1,214,956,930.13","153,151,500.18","436,412,937.05"
吸收投资收到的现金,"36,000,000.00","45,018,000.00",,,"845,779,675.67","852,460,000.00",,,,,"20,717,009.00","30,906,909.00","30,906,909.00","30,906,909.00",,,,"-18,544,145.40",,,,,,,,,,"110,433,180.00"
