科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"11,382,931,906.93","13,155,920,217.23","4,940,595,245.56","12,224,485,520.09","2,274,827,676.89","5,766,041,625.05","8,539,504,593.84","13,778,339,075.01","2,482,226,786.62","5,435,271,169.92","8,651,902,800.33","13,696,310,304.84","1,876,289,757.12","5,269,691,149.52","7,930,093,034.09","13,093,612,516.15","2,427,694,887.21","6,165,551,742.46","9,107,467,467.33","14,643,173,314.43","2,578,803,351.39","6,165,065,374.40","9,327,012,367.60","13,925,183,989.60","3,571,163,237.75","6,447,772,460.33","8,996,252,453.43","15,042,749,698.45","2,110,986,671.35","6,543,027,946.30","9,853,778,372.13","15,797,692,340.46","2,841,493,661.75","6,102,460,613.32","9,053,672,056.44","13,296,031,147.90","1,652,951,938.19"
取得子公司及其他营业单位支付的现金净额,,,,"447,703,742.88",,,"151,959,200.00","5,751,200.14","507,250,000.00","7,250,000.00","7,250,000.00","7,250,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"31,752,150.27","41,918,255.79","90,437,082.03","120,070,907.16","9,272,707.64","50,236,958.74","79,172,660.67","91,044,438.05","31,429,541.46","71,399,038.04","98,498,219.87","113,934,054.53","6,566,266.69","25,224,350.41","201,403,455.09","156,054,421.95","10,158,406.16","79,535,376.81","118,956,035.98","151,155,181.51","9,893,166.79","19,772,119.17","38,648,633.05","72,635,236.42","37,303,343.69","44,903,941.02","116,340,834.09","124,475,718.42","28,948,898.65","33,790,067.09","72,740,224.99","130,896,722.40","28,793,826.05","38,209,548.59","46,057,514.53","53,850,300.13","40,347,323.82"
支付其他与投资活动有关的现金,"61,861,352.22","3,258,691.74","59,849,569.32","12,036,485.06","1,722,707.00","22,442,607.00","28,233,575.00","31,113,532.02","3,884,133.34","5,606,771.58","15,549,737.14","18,489,209.55","12,850,493.34","30,691,513.96","47,092,298.64","62,324,717.24","12,159,620.50","20,305,033.00","35,941,092.80","53,179,026.61","4,890,955.95","12,405,320.47","29,600,214.89","42,960,073.70","11,852,997.29","18,245,709.29","29,759,478.39","58,691,221.69","25,668,554.59","29,715,862.10","45,591,721.63","82,630,191.05","24,718,090.86","19,414,140.73","20,203,970.73","55,368,958.30","8,208,714.90"
收到其他与经营活动有关的现金,"592,071,750.54","351,840,885.05","200,012,213.57","769,078,053.80","261,155,176.53","444,356,412.75","305,180,670.82","403,674,563.75","436,174,152.85","369,994,805.65","927,785,385.59","657,145,404.45","125,117,065.52","428,409,061.92","127,412,562.26","155,792,264.12","88,113,959.59","105,938,902.91","259,350,033.31","711,439,079.09","15,202,314.79","562,445,733.99","650,369,972.28","579,963,906.96","362,097,296.50","1,421,419,128.98","332,716,899.98","580,008,066.73","120,098,921.26","559,043,038.13","446,117,384.15","625,204,503.78","150,243,490.93","622,495,731.16","746,217,174.77","372,256,044.67","70,356,048.88"
投资活动现金流出小计,"803,671,424.50","1,523,445,423.58","679,506,996.87","1,614,599,043.23","213,780,880.07","397,657,228.28","955,803,520.69","1,107,793,043.31","735,143,067.78","1,137,660,510.42","1,928,695,429.34","2,192,076,953.16","702,327,424.09","1,338,755,253.95","1,691,099,244.95","2,350,516,041.33","882,773,485.96","2,611,688,537.78","3,428,853,646.98","4,161,559,237.39","1,724,725,700.89","4,393,407,815.34","5,988,118,560.43","6,551,145,677.89","1,469,914,619.47","2,999,944,936.30","5,147,621,072.66","7,311,451,687.99","5,172,279,759.89","9,907,441,697.29","12,648,846,147.33","16,157,314,912.85","2,672,415,822.16","4,331,260,941.70","5,946,983,304.67","6,520,299,220.15","89,768,060.24"
经营活动现金流入小计,"12,006,755,807.74","13,549,679,358.07","5,231,044,541.16","13,113,634,481.05","2,545,255,561.06","6,260,634,996.54","8,923,857,925.33","14,273,058,076.81","2,949,830,480.93","5,876,665,013.61","9,678,186,405.79","14,467,389,763.82","2,007,973,089.33","5,723,324,561.85","8,258,909,051.44","13,405,459,202.22","2,525,967,252.96","6,351,026,022.18","9,485,773,536.62","15,505,767,575.03","2,603,898,832.97","6,747,283,227.56","10,016,030,972.93","14,577,783,132.98","3,970,563,877.94","7,914,095,530.33","10,605,235,710.98","16,547,430,398.96","1,796,094,270.55","7,007,240,930.00","9,802,070,829.06","15,343,572,923.05","3,316,147,554.68","8,058,892,437.52","11,229,472,835.34","15,019,620,867.31","1,622,889,600.65"
投资活动产生的现金流量净额,"-547,576,116.75","-1,378,563,904.60","-595,938,821.56","-1,459,950,840.37","-109,738,741.91","-250,431,987.80","-749,301,212.73","-640,714,221.20","-600,987,247.75","-317,634,868.61","-413,325,058.38","-499,521,878.75","-662,382,458.53","-845,316,886.38","-960,577,305.81","-1,036,885,507.06","-437,642,129.70","-535,037,151.78","-883,521,930.73","-933,636,078.04","-921,614,168.57","-2,475,758,861.63","-2,347,999,968.75","-836,476,179.46","-1,065,495,971.73","-536,545,571.34","-562,163,067.60","264,793,584.38","-1,542,259,241.16","-1,476,095,568.04","-996,615,998.02","-493,346,641.35","-193,620,815.78","-603,289,674.25","-1,124,523,232.72","-1,094,321,463.70","579,835,364.23"
购买商品、接受劳务支付的现金,"9,856,465,193.52","9,270,265,493.85","3,981,401,230.82","8,996,988,786.68","2,425,342,696.48","4,977,140,467.13","7,612,273,354.64","10,933,222,727.56","2,388,969,934.78","4,980,184,391.43","7,601,880,702.22","10,538,806,633.09","2,000,426,866.27","4,474,790,208.44","6,896,732,746.85","9,572,310,697.75","2,374,392,634.56","5,082,561,483.37","7,536,561,977.34","10,752,332,242.02","2,820,162,402.17","5,483,430,987.60","7,731,138,519.12","10,567,350,854.47","2,493,763,209.02","5,303,560,118.88","7,215,657,198.61","9,794,222,275.45","2,374,140,242.57","5,127,109,222.58","7,763,292,885.12","10,271,020,100.13","2,805,749,045.96","5,864,288,481.02","8,196,260,059.63","10,793,885,381.54","2,274,953,969.93"
吸收投资收到的现金,"9,800,000.00","552,192,666.00",,,"10,124,768,100.00","10,124,768,100.00","10,124,768,100.00","10,127,968,100.00",,,,,,,,,,"129,150,000.00","3,447,982,348.80","3,447,982,348.80",,"53,300,000.00","53,300,000.00","53,300,000.00",,"75,850,000.00","75,850,000.00","75,850,000.00",,,"18,888,900.00","18,888,890.00",,,,"21,485,543.83",
