科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他应收款,"2,424,769.39","1,312,233.89","1,435,476.45","1,564,733.42","3,735,102.09","2,510,306.22","2,271,205.35","31,044,589.76","6,155,093.44","5,774,119.70","28,952,776.90","17,489,672.69","9,862,092.52","13,609,450.39","5,547,485.88","2,585,181.61","2,044,994.23","3,214,544.12","3,629,527.99","3,033,211.10","3,919,106.89","2,144,490.77","2,572,590.48","3,103,216.06","2,008,973.22","4,905,124.54","4,673,734.72","4,894,462.50","5,848,459.52","6,180,528.40","6,295,728.12","5,256,917.18","3,541,886.66","3,332,297.85","3,399,213.39","1,733,819.57","1,470,575.33","1,141,696.07","6,283,129.32","10,438,920.66","9,423,059.63","8,952,206.16","8,051,808.55","7,756,114.40","7,620,160.01"
应付职工薪酬,"1,474,500.00",,,"1,036,806.68","1,948,766.42","2,064,293.73","2,363,863.72","1,444,552.69","998,687.44","1,713,045.18","1,944,500.09","3,568,139.73","1,985,723.32","2,575,097.81","3,147,714.83","4,024,625.68","4,013,113.02","4,140,268.13","3,959,420.63","5,042,853.73","4,971,403.17","5,219,640.40","4,465,614.74","4,617,172.26","4,750,755.05","4,862,582.46","5,069,643.62","5,372,843.87","5,477,382.52","4,127,167.03","4,012,808.12","6,180,748.08","6,122,766.46","8,591,882.01","8,175,445.59","6,592,816.94","4,412,690.66","5,705,378.85","6,004,438.79","18,264,518.24","6,106,844.65","6,599,533.66","6,470,996.40","21,681,224.58","5,982,675.31"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,769,155.59","4,294,019.27","17,512,575.49","15,602,271.40","1,977,594.79","6,209,379.11","5,335,703.77","2,891,742.31","-857,770.09","-880,309.14","2,859,103.67","-896,519.79","-6,134,522.25","-9,771,204.06","-5,330,269.55","-3,924,949.14","-13,140,991.08","-7,783,056.79","-11,856,030.50","-27,345,742.11","-25,724,287.81","-20,598,576.05","-12,532,727.74","2,199,038.84","1,722,129.83","2,877,187.95","1,659,859.31","2,866,278.02","2,676,389.99","5,594,302.73","6,786,966.20","7,311,076.94","6,874,088.51","5,175,232.91","2,530,398.54","2,848,456.54","4,175,542.80","3,655,937.15","6,130,095.34","9,293,123.83","7,401,121.47","7,607,614.57","6,850,005.36","7,072,737.29","13,312,772.19"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,"302,542.50","398,931.63","439,660.38","310,198.75","517,464.86","515,500.00","478,175.75","547,651.39","431,934.86","366,695.86","427,247.93","505,944.67","494,506.71","577,721.99","953,217.67","735,569.96","1,055,610.51","1,844,208.45","3,314,004.31","3,045,121.38","3,570,751.83","4,024,425.11","1,234,148.23","1,217,325.42","1,460,835.23","2,181,060.92","1,426,541.76","2,307,324.46","1,422,416.93","2,444,031.21","1,830,446.96","2,283,224.92","2,955,486.18","2,291,434.92","1,806,720.66","1,492,670.83","1,666,413.36","2,810,810.18","3,076,235.69","2,987,185.02","1,158,242.68","721,499.08","762,999.25","771,913.24"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,"12,729,764.74",,,,,,,,,"9,710,000.00",,,,,,"700,000.00","700,000.00","700,000.00","700,000.00","700,000.00","700,000.00","700,000.00","700,000.00",,,,,,,,,,,,,,
存货,"103,697,259.43","123,365,222.42","118,866,643.40","127,059,244.60","160,023,487.96","150,617,811.53","151,881,369.76","104,184,276.71","104,758,566.13","114,844,030.02","133,735,596.32","171,637,730.78","201,621,178.10","220,112,768.90","252,112,920.09","282,922,256.76","286,006,176.63","282,371,203.48","299,331,628.66","266,479,707.74","295,111,383.18","310,204,394.67","289,192,973.21","271,523,575.47","280,853,254.71","279,546,414.12","281,662,119.46","286,615,607.47","282,743,830.19","265,337,923.93","281,821,163.57","283,260,361.62","283,476,825.32","239,227,879.06","236,606,997.90","218,997,294.09","214,263,491.28","226,783,136.69","221,864,719.23","223,837,473.01","242,536,273.82","276,544,771.72","291,806,423.11","299,237,201.93","309,621,910.25"
其他应付款,"1,936,151.39","1,925,997.39","498,855.31","592,261.48","21,332,093.16","10,802,976.99","34,559,413.50","51,034,871.18",,"10,386,532.07","11,804,859.98","12,069,671.45","12,034,864.69","14,060,207.12","12,781,055.26","57,435,947.56","56,570,084.08","28,338,440.38","33,020,372.93","13,069,665.90","9,798,667.15","27,154,600.81","23,668,866.64","8,442,872.50","7,335,129.44","8,943,461.64","7,769,606.86","6,903,871.16","8,070,134.52","8,213,918.21","7,961,034.02","6,755,098.89","6,690,728.53","6,664,980.33","6,725,044.01","6,744,470.81","6,845,983.36","6,523,613.87","6,400,613.35","6,797,618.61","6,352,891.54","7,646,741.64","7,761,060.34","7,732,244.03","9,926,322.38"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"10,000,000.00","10,000,000.00","10,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","5,000,000.00","5,000,000.00","20,000,000.00",,,,,,,,,,"32,000,000.00","32,000,000.00","31,000,000.00",,"10,000,000.00","10,000,000.00","8,000,000.00","24,000,000.00","23,000,000.00","23,000,000.00","22,000,000.00",,,,,,,,"19,712,419.96","19,688,713.47","19,770,742.09","18,756,456.82","14,985,413.52","10,275,300.89"
其他流动资产,"6,134,763.33","7,594,182.60","8,686,083.71","6,298,213.00","5,241,410.43","3,600,302.97","2,000,638.58","353,491.64","147,099.24","498,312.56","655,164.74","500,087.49","578,439.13","491,238.34","532,346.73","536,540.25","688,689.52","1,076,648.23","1,377,568.40","585,259.99","589,086.03","960,837.62","655,727.51","17,237,988.70","17,224,899.48","13,461,635.32","10,887,568.52","7,215,200.82","4,901,796.30","16,001,073.27","16,158,300.31","12,000,536.85","16,067,195.84","17,274,180.31","23,725,610.81","23,102,887.43","23,494,022.75","22,502,059.04","13,699,004.83","17,971,097.40","15,016,550.52","8,849,942.40","7,056,084.51","1,712,678.52","1,315,160.22"
其他流动负债,"324,895.56",,,,"443,621.55","492,000.00","775,031.39",,,,,"3,603.30","39,500.00","154,944.00","305,610.00","8,631.94","132,000.00","37,883.73","114,726.64",,"96,459.99","192,919.98","446,512.47",,,"192,919.98","367,399.80",,"64,306.66",,,,,,,,,,,,,,,,
流动资产合计,"655,130,646.89","687,907,195.76","718,235,296.89","678,981,663.12","651,212,993.26","651,116,430.68","650,150,627.81","519,418,502.45","496,993,364.41","558,558,798.29","596,283,932.67","583,626,088.47","752,075,407.54","773,789,332.96","837,800,367.36","780,283,147.24","767,163,338.76","970,501,508.21","1,082,868,590.50","1,006,008,797.61","995,906,660.18","1,034,723,196.60","983,161,708.06","914,535,444.63","974,088,720.97","992,933,210.73","981,792,045.37","906,733,375.11","865,523,597.31","854,061,366.38","859,981,888.47","806,026,614.86","705,845,530.95","718,628,592.63","736,763,906.26","660,631,712.01","700,738,098.81","693,331,702.95","761,115,902.81","818,895,184.75","826,147,097.40","917,082,615.92","936,014,808.68","902,953,446.66","888,342,575.86"
流动负债合计,"328,347,307.18","353,407,311.93","367,405,190.10","351,034,926.06","339,040,708.89","393,998,187.71","408,172,028.43","366,232,062.39","330,637,912.52","382,012,656.70","382,466,336.46","429,697,265.25","503,610,352.47","532,949,035.92","586,324,213.54","583,001,256.31","585,190,676.08","783,585,913.27","881,505,100.03","880,251,415.66","892,981,630.77","946,617,077.63","894,512,304.89","855,683,769.51","832,506,211.57","872,010,502.68","846,721,341.12","791,702,194.76","778,966,569.29","777,618,898.69","790,402,971.08","768,413,435.34","673,579,631.55","725,946,861.74","747,271,566.05","685,852,027.69","716,694,864.13","696,481,329.80","721,572,730.20","775,153,982.39","770,491,107.61","862,715,930.98","853,570,947.03","822,093,775.84","779,025,484.25"
可供出售金融资产,"75,758,729.28","67,566,700.00","78,922,200.00","76,081,700.00","68,172,000.00","39,941,800.00","29,366,400.00","25,258,600.00","38,281,200.00","38,828,400.00","34,171,800.00","58,975,000.00","72,840,000.00","66,497,600.00","79,170,000.00","67,809,600.00","62,852,400.00","50,551,200.00","23,310,000.00","18,445,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"50,000,000.00","50,000,000.00","50,000,000.00","35,000,000.00","35,000,000.00","35,000,000.00","35,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","96,000,000.00","92,000,000.00","77,000,000.00","41,000,000.00","41,000,000.00","38,000,000.00","38,000,000.00","25,000,000.00","25,000,000.00","24,000,000.00",,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,056,217.20","14,985,413.53","10,083,165.98","5,118,900.21","1,185,385.32",,
长期股权投资,"8,071,557.12","8,232,706.78","9,096,093.28","9,760,455.51",,,"13,946,737.37","13,362,884.11","12,959,965.06","12,518,761.56","12,366,151.17","12,091,649.90","11,868,894.21","11,590,727.12","12,251,683.01","12,121,961.09","12,120,894.92","12,046,630.46","11,800,873.72","10,995,816.44","10,844,400.09","10,643,673.87","10,330,827.97","10,025,741.53","9,904,334.67","10,026,903.32","9,740,050.56","8,455,331.44","8,069,106.74",,,,,,,,,,,,,,,,
专项应付款,"1,350,000.00","1,350,000.00","1,350,000.00","350,000.00","350,000.00","350,000.00","350,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,"12,798,960.73","12,656,163.54","12,513,366.35","12,370,569.16","12,227,771.97","12,084,974.78","11,942,177.59","11,942,177.59","11,656,583.21","11,513,786.00","11,370,988.79","11,228,191.58","11,085,394.37","10,942,597.16","10,799,799.95","10,657,002.74","10,514,205.53","10,371,408.32","10,228,611.11","10,085,813.90","9,943,016.69","9,800,219.48","9,657,422.27","9,514,625.06","9,371,827.85","9,229,030.64","9,086,233.43","8,943,436.22","8,800,639.01","8,657,841.80","8,515,044.59","8,372,247.38","8,229,450.17","8,086,652.96"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"148,893,193.51","147,540,483.83","159,880,307.54","193,013,797.31","214,531,484.08","254,139,046.48","255,937,643.43","212,515,448.50","207,869,096.42","208,793,775.94","202,408,132.52","195,153,547.45","223,083,244.86","223,774,448.21","239,535,208.01","444,022,817.68","463,718,421.54","462,951,891.12","450,404,193.40","473,287,721.73","468,364,085.77","464,645,697.99","467,859,062.10","472,147,897.48","462,077,522.38","454,791,496.13","450,284,114.71","470,363,417.80","462,509,056.94","459,640,426.38","463,643,882.52","505,628,832.16","498,700,500.38","480,002,832.20","478,389,631.60","561,640,140.52","552,534,074.91","544,853,535.53","554,324,451.21","583,350,272.83","573,450,859.39","572,628,198.17","582,293,797.26","592,543,594.52","585,131,730.02"
递延所得税负债,"23,862,297.78","15,292,067.35","18,500,992.58","18,436,949.44","16,454,657.27","9,392,795.12","6,746,736.94","3,423,268.66","5,376,658.66","5,506,671.17","4,853,373.17","8,666,147.96","10,715,891.96","9,733,118.96","11,673,004.46","9,454,819.42","8,937,087.33","7,141,398.33","4,374,414.48","3,413,401.38",,"619,455.00","1,431,753.00","409,848.50","3,543.75","310,666.25",,,,,,,,,,,,"24,135.00","32,272.50",,"16,746.00",,"17,126.83",855.00,
在建工程,"13,821,715.45","15,247,285.70","10,362,066.48","3,262,811.45","7,168,348.07","30,694,843.58","35,857,281.79","64,876,396.41","64,809,291.94","65,809,803.20","74,398,103.80","134,612,089.70","126,554,844.44","137,652,393.20","133,992,138.44","9,443,139.21","9,220,602.64","8,236,398.75","13,864,877.48","5,904,791.07","26,406,051.72","28,503,299.77","30,290,084.40","41,094,810.12","58,748,480.63","74,609,849.00","76,997,876.93","81,928,254.57","97,293,953.82","116,467,324.07","122,414,422.66","110,030,680.25","121,646,169.86","128,706,027.08","135,121,073.99","51,285,069.62","62,658,706.70","69,540,580.31","65,071,644.14","31,953,439.92","40,601,451.35","42,341,369.76","27,712,463.85","21,752,761.20","29,053,482.51"
