科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"350,789,815.89","371,888,014.26","372,952,308.03","59,568,415.23","149,514,429.64","200,597,661.25","264,281,352.62","64,878,927.99","159,874,327.39","253,749,024.84","337,676,442.79","82,490,128.31","177,428,931.54","274,224,222.55","371,073,197.79","86,896,918.11","205,752,412.22","303,432,273.27","411,371,366.56","109,675,889.50","238,989,618.60","361,484,463.76","517,702,356.17","157,294,408.88","312,250,836.96","493,182,593.86","685,724,752.16","195,264,833.43"
二、营业利润,"59,523,768.21","66,565,817.16","67,413,929.67","3,389,344.82","17,832,789.41","19,133,533.73","18,422,528.97","3,639,457.93","11,110,296.09","20,246,349.00","23,932,714.37","4,791,481.98","12,367,098.15","21,655,849.22","25,578,798.62","7,056,319.05","23,858,683.87","37,768,358.60","53,261,904.13","17,670,325.06","43,153,422.15","66,948,447.55","101,359,963.78","28,715,924.41","68,023,203.48","102,700,611.12","139,677,673.49","36,941,823.03"
减:营业成本,"199,939,540.07","212,845,413.17","213,911,099.79","38,586,772.90","90,252,920.26","121,750,027.32","165,281,341.91","39,531,191.26","100,654,209.37","159,599,648.38","211,972,569.58","51,499,128.82","113,321,719.99","175,109,414.80","235,971,484.48","53,268,568.74","124,845,952.92","183,227,933.20","237,250,712.35","64,119,990.47","135,022,791.34","200,655,285.15","288,863,137.23","88,976,279.31","177,823,147.21","280,380,023.37","390,510,659.26","113,283,060.72"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,"39,121.42","39,121.42","39,121.42","39,121.42","91,583.19","91,583.19","91,583.19","91,583.19","14,016.71","29,271.90","253,471.09","253,471.09","50,432.46","168,335.49","168,335.49","1,098,176.47","335,518.14","1,293,615.07","1,441,811.79","1,680,649.71","452,697.03"
营业外收入,"663,088.43","911,582.12","4,237,233.47","4,126,176.90","5,309,968.13","5,955,986.85","6,339,531.40","523,085.00","3,554,506.00","5,025,604.00","6,559,838.04","43,152.78","136,303.79","3,116,323.79","4,705,872.77","8,301.70","19,426.70","131,137.70","817,989.14",,"1,118,820.00","9,186,313.78","10,256,493.12","6,903.00","75,836.75","965,996.02","951,731.05","24,145.00"
销售费用,"17,663,375.36","16,102,307.68","14,546,222.86","1,530,105.42","5,381,591.65","6,825,351.98","11,657,196.26","1,128,287.26","5,204,571.55","8,688,107.15","12,797,997.22","2,825,033.84","5,900,550.10","9,048,525.09","11,805,728.87","4,275,240.98","7,835,021.55","11,120,098.05","14,125,007.02","4,253,483.32","7,701,387.44","13,343,586.84","20,213,474.51","6,307,811.59","9,985,576.88","14,245,105.75","20,877,473.07","6,630,490.88"
减:营业外支出,"15,195.78","103,079.70","4,839.00","123,928.85",,,"30,000.00",,,"1,875.00","121,057.35",,"1,321.40","1,321.40","89,701.08","2,700.00","2,700.00","3,505.00","3,730.00",,,0.14,"180,306.12",8.54,8.54,555.60,"20,547.46",405.33
管理费用,"71,516,971.19","73,040,043.33","74,305,440.97","16,324,488.54","33,954,687.36","54,194,975.19","74,244,080.88","22,838,399.88","46,516,610.72","71,440,619.78","96,294,260.37","24,425,439.43","49,500,637.19","75,396,255.00","102,401,585.59","23,206,779.86","51,557,060.28","76,719,376.60","110,032,502.86","26,633,689.62","57,128,187.34","91,479,531.46","131,708,785.98","34,133,705.74","67,953,819.04","104,806,232.28","143,119,725.75","34,068,216.05"
其中:非流动资产处置净损失,"15,195.78","3,079.70","4,839.00",,,,,,,"1,875.00","119,651.73",,,,"88,379.68","2,700.00","2,700.00",,,,,,"180,306.12",,,,,
