科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"266,385,231.43","244,404,210.01","388,335,341.35",,"185,509,863.04","259,920,709.13","351,499,421.03","90,699,079.02","180,237,621.39","268,175,056.60","345,400,375.05","73,235,737.59","153,764,754.12","223,436,296.99","306,789,630.61","96,637,527.06","200,056,884.15"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"23,325,092.05","23,325,092.05","-1,645,644.60",,
收到的税费返还,"800,015.30",,,,"1,236,133.52","2,625,474.64","2,505,118.16","1,397,739.98","2,332,108.88","5,381,515.05","7,115,770.87","388,976.04","1,240,829.22","1,516,980.99","2,463,450.29","2,071,675.21","2,361,068.42"
支付其他与投资活动有关的现金,,,,,"150,000,000.00","250,000,000.00",,"300,000,000.00","130,000,000.00","270,000,000.00","270,000,000.00",,"5,060,000.00","5,710,000.00","510,000,000.00","290,000,000.00","650,000,000.00"
收到其他与经营活动有关的现金,"6,334,788.25","15,640,550.56","11,049,365.67",,"6,125,954.86","9,622,322.06","15,489,843.49","604,672.32","4,035,871.15","5,021,598.02","7,595,324.29","1,189,763.16","3,113,522.78","3,773,052.53","8,965,163.02","3,082,799.35","4,782,800.69"
投资活动现金流出小计,"4,687,375.77","7,562,437.35","7,722,934.50",,"152,041,803.37","253,809,953.47","5,302,103.85","300,673,215.11","146,963,288.69","292,416,272.11","300,100,428.40","30,634,528.51","35,371,625.04","40,008,954.11","551,850,416.53","294,506,924.69","657,468,537.21"
经营活动现金流入小计,"273,520,034.98","260,044,760.57","399,384,707.02",,"192,871,951.42","272,168,505.83","369,494,382.68","92,701,491.32","186,605,601.42","278,578,169.67","360,111,470.21","74,814,476.79","158,119,106.12","228,726,330.51","318,218,243.92","101,792,001.62","207,200,753.26"
投资活动产生的现金流量净额,"-4,675,606.54","-7,537,437.35","-7,534,215.31","-928,750.56","-152,007,822.78","-253,770,676.93","-1,207,265.90","-300,480,882.82","-143,593,653.13","-287,900,677.55","-293,126,498.20","10,635,459.94","18,612,684.94","55,001,779.32","56,167,328.17","-112,681,611.91","-132,893,438.05"
购买商品、接受劳务支付的现金,"150,749,880.16","127,738,622.12","195,181,816.48",,"111,347,601.75","149,481,605.41","212,198,648.01","58,682,430.09","96,425,715.38","140,178,880.71","185,969,945.11","56,449,890.32","106,844,008.41","159,326,916.51","209,067,689.75","52,873,570.61","118,456,581.43"
吸收投资收到的现金,,,,,"310,571,800.00","310,571,800.00","310,571,800.00",,,,,"2,202,500.00","2,202,500.00","2,202,500.00","2,512,500.00","1,377,500.00","1,377,500.00"
支付给职工以及为职工支付的现金,"38,898,255.29","43,744,235.81","52,299,014.56",,"30,075,454.85","50,022,284.58","53,279,375.67","11,691,745.65","31,850,972.17","43,865,153.47","56,264,153.02","16,468,537.66","36,334,357.63","52,277,611.91","70,693,726.78","20,974,428.82","41,898,606.80"
取得借款收到的现金,,,,,,,,,,,,,,,,,
支付的各项税费,"17,548,912.30","17,254,485.63","20,167,739.43",,"13,998,587.63","16,682,379.13","23,413,827.60","4,028,876.08","12,958,870.04","18,041,454.00","22,519,678.44","3,198,007.63","12,660,240.21","19,155,685.75","23,776,270.96","4,852,722.89","10,965,577.25"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"19,323,345.63","19,977,244.89","27,072,129.79",,"9,205,486.77","9,522,801.21","17,992,424.65","5,453,626.88","10,538,570.10","16,130,443.63","26,804,528.10","3,215,072.61","16,303,995.93","22,956,013.68","34,461,823.36","8,386,648.82","16,337,669.76"
筹资活动现金流入小计,,,,,"310,571,800.00","310,571,800.00","310,571,800.00",,,,,"2,202,500.00","2,202,500.00","2,202,500.00","2,512,500.00","1,377,500.00","1,377,500.00"
