科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"99,584,519.99","148,671,903.70","229,587,428.89","53,564,966.23","129,542,993.28","214,581,491.75","298,606,789.19","60,541,077.97","156,360,215.83","257,464,038.07","376,598,320.07","103,869,598.57","220,042,235.51","327,567,823.05","476,181,979.93","127,348,835.14","279,141,380.24","434,011,125.87","641,460,283.24","133,684,228.29","292,480,339.67","449,652,373.10","578,542,678.59","97,189,147.58","225,071,538.38","352,602,311.08","407,780,557.00","104,281,251.27"
二、营业利润,"37,802,348.71","60,491,005.66","88,652,573.11","17,514,999.45","50,249,372.24","87,567,341.95","111,313,032.52","13,110,711.00","58,111,712.41","99,876,510.60","122,861,814.97","51,247,858.99","98,255,576.06","128,906,943.83","164,246,527.09","31,460,231.02","71,013,595.37","96,427,051.10","129,308,996.21","22,702,138.74","63,374,574.12","99,680,425.01","120,323,253.96","21,091,514.50","63,084,123.95","98,605,867.33","108,266,870.54","22,206,172.64"
减:营业成本,"4,978,624.82","7,833,202.09","12,988,247.32","2,600,214.16","5,781,292.33","10,055,965.53","17,250,310.61","3,078,316.50","6,782,810.52","15,976,901.93","21,427,320.45","5,462,628.17","9,506,763.06","17,009,803.10","30,202,421.75","8,138,042.55","15,801,409.24","22,528,988.12","36,668,959.40","8,795,689.84","19,121,986.36","29,205,442.91","39,083,765.13","5,634,777.21","12,540,814.74","17,867,081.11","26,971,445.00","4,893,843.86"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,185,956.89","10,883,001.20","17,606,033.30","3,730,922.65","9,802,443.82","16,269,657.93","19,147,410.38","1,552,242.08","4,425,998.03","7,109,790.49","9,916,667.88","2,047,598.55","4,754,301.49","7,141,373.83","10,062,190.43","1,644,467.85","3,708,996.79","5,756,834.43","7,980,806.15","1,652,575.88","3,439,045.93","5,065,797.43","7,499,357.23","1,079,284.38","2,414,570.69","4,524,005.16","6,170,629.93","1,511,787.78"
营业外收入,"500,000.00","800,000.00","333,879.46","200,150.00","686,818.00","3,974,123.15","10,303,532.78","3,612,784.68","5,670,034.40","10,568,345.62","13,864,723.75","2,456,532.14","6,305,491.73","11,426,701.66","17,884,226.31","119,420.90","7,485,216.02","9,082,578.61","16,481,427.93","5,322,520.47","6,321,220.50","8,445,426.48","13,744,100.39","356,245.53","254,184.14","541,667.04","9,234,065.49","4,734,113.36"
销售费用,"32,653,161.03","48,655,595.09","68,477,685.04","20,416,619.19","44,121,642.41","71,813,538.19","97,090,484.65","30,029,460.06","62,518,408.53","102,827,378.63","153,953,429.70","35,106,494.07","80,908,061.33","132,519,258.36","192,942,143.96","63,486,259.71","139,481,266.61","234,852,144.54","372,150,290.35","72,005,522.86","167,959,873.68","257,718,025.26","344,854,477.09","47,078,579.34","100,607,411.30","159,030,040.04","214,206,288.55","43,993,857.09"
减:营业外支出,"83,601.43","7,403.67","34,576.33","11,784.60","15,285.15","15,285.15","19,127.46","2,453.21","103,333.49","346,184.19","899,268.22",,"2,106.50","14,198.04","411,480.95","1,392.24","4,396,710.36","4,664,445.49","4,887,831.05","11,821.29","975,806.91","1,091,698.16","1,183,904.24","47,124.25","102,704.95","150,525.40","360,605.34","204,648.27"
管理费用,"16,663,127.73","21,866,739.85","42,865,064.36","10,042,103.99","22,061,447.04","34,835,695.42","63,936,846.40","17,180,657.53","32,105,278.18","42,115,656.51","81,253,791.11","15,831,186.94","37,410,576.28","57,217,665.21","92,442,207.13","27,291,470.87","57,596,580.90","92,113,836.85","129,965,592.55","28,210,672.78","55,145,055.67","80,925,434.92","111,548,189.07","23,091,130.73","51,049,806.43","75,936,595.86","108,377,705.80","23,799,357.34"
其中:非流动资产处置净损失,"83,601.43","7,403.67","22,998.98","11,784.60","11,889.45","11,889.45","15,531.76","1,588.80","3,333.49","10,243.19","11,152.04",,"2,106.50","4,726.65","8,018.14","1,312.38","396,602.59","420,519.65","443,873.52","1,951.29","19,377.53","47,950.47","52,990.05","23,794.37","51,210.61","56,078.61",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-518,725.55","-865,717.37","-1,527,287.24","-629,564.66","-2,470,719.32","-6,274,744.06","-10,386,378.90","-4,057,687.40","-7,624,945.95","-10,599,904.83","-13,663,476.53","-4,102,413.62","-9,362,665.87","-11,548,777.24","-10,128,933.58","-3,128,510.76","-6,709,350.29","-15,350,976.57","-27,476,541.92","1,154,012.60","-8,534,354.59","-11,259,179.97","-4,314,349.75","-263,472.08","-1,873,329.44","-409,776.39","2,391,829.12","4,683,022.71"
三、利润总额,"38,218,747.28","61,283,601.99","88,951,876.24","17,703,364.85","50,920,905.09","91,526,179.95","121,597,437.84","16,721,042.47","63,678,413.32","110,098,672.03","135,827,270.50","53,704,391.13","104,558,961.29","140,319,447.45","181,719,272.45","31,578,259.68","74,102,101.03","100,845,184.22","140,902,593.09","28,012,837.92","68,719,987.71","107,034,153.33","132,883,450.11","21,400,635.78","63,235,603.14","98,997,008.97","117,140,330.69","26,735,637.73"
资产减值损失,"2,134,969.40","-191,922.82","525,113.00","-110,328.55","-2,485.24","314,036.79","255,083.53","-352,621.80","40,954.11","157,704.74","1,076,491.06","-177,453.16","495,839.08","525,457.23","1,664,868.31","-645,552.09","1,576,428.30","1,429,663.03","1,122,348.13","-616,765.31","912,523.64","227,098.35","4,858,983.14","1,558,106.87","6,652,910.84","12,001,096.29","19,709,282.65","2,946,183.76"
