科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"143,707,490.77","210,605,571.73","295,785,300.49","50,295,943.02","107,360,759.84","147,787,130.21","298,902,701.13","49,636,515.86","106,594,750.98","168,459,056.26","414,862,126.39","68,213,937.99","147,814,213.69","250,243,061.23","548,685,899.87","71,549,503.68","170,160,657.43","353,240,195.64","913,118,223.43","215,127,170.70","1,049,104,524.82","2,144,213,890.44","3,987,985,124.45","1,035,480,146.85","2,293,404,851.55","3,662,506,345.86","5,973,578,853.28","1,008,424,470.86"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"2,140,000.00","2,140,000.00",,,"14,393,738.43","46,800,000.00","33,592,782.93",,"107,204,516.58","130,035,248.00","106,773,670.82","291,000,000.00","322,833,711.72","322,833,711.72","322,833,711.72",
收到的税费返还,"9,330,650.01","2,160,679.21","8,419,440.72",,"2,261,042.97","3,741,851.06","5,980,658.07",,,"880,924.63","3,398,650.70","199,520.36","1,968,495.60","2,960,658.10","6,082,288.43","11,733.70","2,441,712.24","1,769,761.33","11,508,196.87","770,374.93","2,719,920.40","7,748,809.95","23,181,793.06","15,969,736.12","24,032,645.16","35,786,835.71","52,379,062.23","17,236,565.70"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"11,500,000.00",,,"16,000,000.00","105,008,289.27","130,000,000.00","291,000,000.00","82,000,000.00","95,490,243.20","244,490,243.20","4,490,243.20",
收到其他与经营活动有关的现金,"13,517,080.04","7,729,556.41","17,863,543.98","6,568,711.44","9,401,361.61","10,288,226.18","18,499,553.60","2,613,111.23","11,489,314.56","20,731,682.31","25,327,352.92","124,355.40","11,166,159.60","11,137,099.94","39,290,445.14","5,372,402.39","23,360,397.97","41,837,996.13","86,513,239.40","4,778,225.17","45,236,352.10","9,493,766.39","108,026,636.48","8,525,261.19","18,699,247.96","18,173,837.98","69,651,437.86","13,705,220.23"
投资活动现金流出小计,"26,348,376.07","39,119,977.60","48,127,793.77","4,318,689.00","70,136,706.00","209,041,606.36","198,181,365.89","48,389,970.50","76,041,829.40","88,068,937.54","140,343,346.41","42,930,696.00","58,839,355.55","62,569,075.22","134,677,633.41","70,377,556.40","205,262,919.66","199,200,014.94","399,329,724.39","169,429,774.16","365,172,110.31","566,268,128.34","959,515,891.48","413,970,386.51","599,393,354.99","861,318,532.13","1,589,626,947.00","589,652,476.96"
经营活动现金流入小计,"166,555,220.82","220,495,807.35","322,068,285.19","56,864,654.46","119,023,164.42","161,817,207.45","323,382,912.80","52,249,627.09","118,084,065.54","190,071,663.20","443,588,130.01","68,537,813.75","160,948,868.89","264,340,819.27","594,058,633.44","76,933,639.77","195,962,767.64","396,847,953.10","1,011,139,659.70","220,675,770.80","1,097,060,797.32","2,161,456,466.78","4,119,193,553.99","1,059,975,144.16","2,336,136,744.67","3,716,467,019.55","6,095,609,353.37","1,039,366,256.79"
投资活动产生的现金流量净额,"-26,348,376.07","-39,119,977.60","-48,127,793.77","-4,318,689.00","-70,136,706.00","-209,041,606.36","-198,181,365.89","-48,389,970.50","-76,041,829.40","-88,068,937.54","-124,943,346.41","-42,930,696.00","-58,839,355.55","-62,569,075.22","-123,977,633.41","-70,377,556.40","-205,221,911.85","-198,765,644.20","-247,940,796.12","-169,378,486.49","-256,879,171.43","-435,903,207.94","-703,099,539.95","-293,849,518.24","-518,194,006.93","-629,145,823.40","-1,178,607,051.50","-461,005,094.23"
购买商品、接受劳务支付的现金,"93,711,749.18","112,271,490.15","166,971,754.39","44,768,511.35","91,807,735.74","126,400,991.15","165,448,307.91","73,273,682.29","142,857,857.91","211,876,565.43","264,445,487.52","97,573,750.61","150,424,292.92","275,911,100.39","364,229,049.41","160,019,157.55","267,600,724.52","511,949,568.63","625,124,895.49","257,421,729.92","1,003,389,883.74","2,222,799,788.49","3,250,250,274.95","1,421,635,672.61","2,715,441,335.70","4,041,969,358.99","5,268,902,761.30","1,396,169,397.74"
吸收投资收到的现金,"64,750,000.00",,,"352,756,663.50","352,756,663.50","352,756,663.50","362,060,000.00",,,,,,,,,,"115,000,000.00","123,000,000.00","123,000,000.00","5,000,000.00","1,133,410,997.12","1,134,410,997.12","1,137,910,997.12",,,"298,900.00","298,900.00",
支付给职工以及为职工支付的现金,"9,389,250.94","15,917,587.24","25,401,367.58","7,984,702.86","18,433,921.51","31,268,424.13","34,480,445.31","17,371,133.60","32,088,023.23","48,549,683.82","43,348,587.65","20,255,284.59","29,794,556.52","41,195,426.25","57,658,416.52","18,167,563.42","34,004,803.92","52,761,183.12","73,800,236.94","31,739,599.49","67,216,261.38","110,872,551.21","163,782,527.73","68,597,863.45","134,051,454.47","206,664,477.03","285,125,282.56","98,008,774.79"
取得借款收到的现金,"15,000,000.00","20,000,000.00","210,000,000.00",,,"180,000,000.00","180,000,000.00",,"63,500,000.00","132,900,000.00","242,900,000.00",,,"80,000,000.00","223,213,027.00","110,420,000.00","376,831,259.46","652,831,259.46","721,831,259.46","453,500,000.00","711,747,806.95","1,252,130,017.86","1,542,730,017.86","603,400,000.00","1,097,900,000.00","1,552,900,000.00","2,144,472,500.00","535,000,000.00"
支付的各项税费,"13,379,318.85","17,840,245.55","24,272,431.09","6,426,230.19","14,673,393.70","19,044,318.89","27,322,178.87","6,249,213.19","14,364,532.09","18,373,354.62","23,533,006.87","11,177,492.50","14,744,358.90","19,836,543.58","26,583,320.41","17,339,751.44","30,830,769.31","45,723,185.90","68,433,734.80","26,888,204.55","50,017,910.35","92,991,035.17","151,710,891.71","80,835,368.55","142,451,332.11","197,323,172.42","285,337,170.65","81,020,724.41"
收到其他与筹资活动有关的现金,,,,"7,303,336.50",,,"563,610.77",,"318,052.94",,"3,424,366.52",,"187,633.07","202,878.36","25,861,263.59",,"12,978,725.89","4,452,912.64","94,791,961.09",,"14,768,324.08","4,885,197.40","19,648,929.06","15,246,053.62","2,698,301.82","3,680,583.46","32,004,127.82","61,039,801.19"
支付其他与经营活动有关的现金,"25,626,083.04","31,062,399.78","34,870,362.69","17,570,873.86","26,997,483.66","41,610,573.95","60,659,453.88","18,553,814.70","33,544,438.07","47,901,796.08","62,323,207.98","25,516,493.38","34,968,772.52","56,833,263.42","110,042,988.25","36,129,618.49","38,449,566.91","64,335,671.93","132,822,623.86","33,609,393.16","86,921,370.74","77,107,769.82","210,253,480.56","49,014,498.61","105,564,526.67","177,694,113.51","230,892,051.88","122,486,944.53"
筹资活动现金流入小计,"79,750,000.00","20,000,000.00","210,000,000.00","360,060,000.00","352,756,663.50","532,756,663.50","542,623,610.77",,"63,818,052.94","132,900,000.00","246,324,366.52",,"187,633.07","80,202,878.36","249,074,290.59","110,420,000.00","504,809,985.35","780,284,172.10","939,623,220.55","458,500,000.00","1,859,927,128.15","2,391,426,212.38","2,700,289,944.04","618,646,053.62","1,100,598,301.82","1,556,879,483.46","2,176,775,527.82","596,039,801.19"
经营活动现金流出小计,"142,106,402.01","177,091,722.72","251,515,915.75","76,750,318.26","151,912,534.61","218,324,308.12","287,910,385.97","115,447,843.78","222,854,851.30","326,701,399.95","393,650,290.02","154,523,021.08","229,931,980.86","393,776,333.64","558,513,774.59","231,656,090.90","370,885,864.66","674,769,609.58","900,181,491.09","349,658,927.12","1,207,545,426.21","2,503,771,144.69","3,775,997,174.95","1,620,083,403.22","3,097,508,648.95","4,623,651,121.95","6,070,257,266.39","1,697,685,841.47"
偿还债务支付的现金,"10,000,000.00","9,500,000.00","143,000,000.00",,"92,500,000.00","92,500,000.00","92,500,000.00","5,000,000.00","55,000,000.00","110,000,000.00","190,000,000.00","9,500,000.00","18,500,000.00","92,900,000.00","172,900,000.00","30,000,000.00","130,000,000.00","333,012,031.25","493,134,440.00","140,000,000.00","220,966,612.36","484,692,829.73","709,670,238.23","304,590,374.59","369,650,440.70","1,003,902,213.62","1,238,562,730.63","343,902,173.67"
经营活动产生的现金流量净额,"24,448,818.81","43,404,084.63","70,552,369.44","-19,885,663.80","-32,889,370.19","-56,507,100.67","35,472,526.83","-63,198,216.69","-104,770,785.76","-136,629,736.75","49,937,839.99","-85,985,207.33","-68,983,111.97","-129,435,514.37","35,544,858.85","-154,722,451.13","-174,923,097.02","-277,921,656.48","110,958,168.61","-128,983,156.32","-110,484,628.89","-342,314,677.91","343,196,379.04","-560,108,259.06","-761,371,904.28","-907,184,102.40","25,352,086.98","-658,319,584.68"
分配股利、利润或偿还利息支付的现金,"5,683,826.25","1,270,523.48","21,388,481.07","1,695,079.16","2,879,805.30","3,468,476.12","10,946,548.82","2,728,500.37","5,600,808.70","14,269,250.04","18,227,833.33","3,854,979.19","7,626,752.55","14,135,272.92","18,473,164.82","5,637,193.30","15,575,665.97","24,878,744.21","46,700,012.36","7,985,269.44","17,932,496.00","32,306,861.09","49,302,090.25","42,949,608.64","66,044,165.42","126,318,881.30","153,435,542.06","51,609,947.18"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,"138,102,420.01",,,,"182,100,000.00",,,"20,000,000.00","395,000,000.00","103,000,000.00"
支付其他与筹资活动有关的现金,"765,000.00",,,,,,"3,998,500.00",,,,"6,804,423.77",,,"10,968,747.61","32,902,979.42",,"3,355,683.77",,"87,515,201.61",,"22,770,105.84","8,701,948.68","33,800,256.28","9,230,336.96","12,417,021.45","14,227,707.11","106,246,814.42","10,268,004.70"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,"41,007.81","434,370.74","683,428.11","51,287.67","324,678.84","361,560.40","457,969.53","168,279.99","202,131.22","373,081.89","619,032.17","164,802.73"
筹资活动现金流出小计,"16,448,826.25","10,770,523.48","164,388,481.07","1,695,079.16","95,379,805.30","95,968,476.12","107,445,048.82","7,728,500.37","60,600,808.70","124,269,250.04","215,032,257.10","13,354,979.19","26,126,752.55","118,004,020.53","224,276,144.24","35,637,193.30","148,931,349.74","357,890,775.46","627,349,653.97","147,985,269.44","261,669,214.20","525,701,639.50","792,772,584.76","356,770,320.19","448,111,627.57","1,144,448,802.03","1,498,245,087.11","405,780,125.55"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,,,,,,,"3,080.15",,"-31,739.96","3,360.00","18,382.00",800.00,"1,040.00","3,450.00","20,863.33",580.00
筹资活动产生的现金流量净额,"63,301,173.75","9,229,476.52","45,611,518.93","358,364,920.84","257,376,858.20","436,788,187.38","435,178,561.95","-7,728,500.37","3,217,244.24","8,630,749.96","31,292,109.42","-13,354,979.19","-25,939,119.48","-37,801,142.17","24,798,146.35","74,782,806.70","355,878,635.61","422,393,396.64","312,273,566.58","310,514,730.56","1,598,257,913.95","1,865,724,572.88","1,907,517,359.28","261,875,733.43","652,486,674.25","412,430,681.43","678,530,440.71","190,259,675.64"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,900,000.00",
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,"-23,992.41",,"-3,084.30","-8,862.58","11,757.89",-368.11,"-1,382.72","-2,497.85","62,951.72","-1,439.01"
收到其他与投资活动有关的现金,,,,,,,,,,,"15,400,000.00",,,,"10,700,000.00",,,,"12,600,000.00",,"108,000,000.00","130,000,000.00","73,840,000.00","119,951,788.28","80,996,176.84","211,796,176.84","10,480,000.00","25,482,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,,,,,"15,400,000.00",,,,"10,700,000.00",,"41,007.81","434,370.74","151,388,928.27","51,287.67","108,292,938.88","130,364,920.40","256,416,351.53","120,120,868.27","81,199,348.06","232,172,708.73","411,019,895.50","128,647,382.73"
