科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,30.00,,,,,,,
收到其他与经营活动有关的现金,"11,004.00","11,039.39","11,039.39","11,106.49",33.16,99.67,"3,252.47","3,263.92",8.52,15.11,21.66,29.49,6.61,10.65,19.63,30.85,10.92,28.51,"2,043.76","2,057.96",17.78,30.38,43.40,58.16,15.45,28.88,40.70,60.57,14.52
投资活动现金流出小计,,,,,,,,,,,,,,,,,,,,,,30.00,,,,,,,
经营活动现金流入小计,"11,004.00","11,039.39","11,039.39","11,106.49",33.16,99.67,"3,252.47","3,263.92",8.52,15.11,21.66,29.49,6.61,10.65,19.63,30.85,10.92,28.51,"2,043.76","2,057.96",17.78,30.38,43.40,58.16,15.45,28.88,40.70,60.57,14.52
投资活动产生的现金流量净额,,,,,,,,,,,,,,,,,,,,,,-30.00,,,,,,,
购买商品、接受劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"90,452.55","144,617.25","206,445.80","268,294.69","93,517.20","166,027.98","238,656.56","309,745.99","67,831.47","116,327.74","183,529.51","289,012.33","79,715.22","144,230.44","215,623.10","282,477.38","115,065.12","187,650.24","266,881.80","336,539.00","90,549.92","161,497.04","219,181.52","303,567.96","106,060.80","169,942.80","217,907.84","238,462.08","33,707.43"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"5,627.10","11,254.20","16,881.30","22,171.10","3,603.20","7,750.50","11,374.80","14,999.10","3,586.50","25,850.30","29,417.90","17,211.66","5,972.62","10,310.27","11,595.69","20,019.52","9,106.59","14,510.70","19,914.81","22,980.85","4,418.68","6,222.67","8,844.58","12,309.41","7,962.05","11,083.79","13,722.73","14,462.46",645.56
