科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"166,184,271.50","209,284,826.79","40,340,562.37","188,828,752.55","41,361,226.06","83,104,871.16","125,105,947.23","176,190,971.98","53,751,382.94","122,722,028.68","191,033,816.02","272,039,285.25","50,850,074.58","115,621,644.63","239,232,230.34","381,742,374.02","265,307,539.02","514,664,151.18","680,546,839.52","824,071,975.10","117,341,035.75","309,399,348.01","436,140,134.88","555,911,067.62","146,631,541.96","259,910,073.13","331,732,636.17","402,207,595.17","164,701,041.16","221,112,657.00","256,808,587.35","298,332,361.09","79,901,359.96","172,844,147.03","276,625,327.61"
二、营业利润,"68,819,943.81","84,195,221.24","10,170,248.15","68,804,871.89","15,497,332.13","30,044,205.07","44,591,100.93","69,692,810.34","17,502,145.85","43,144,878.12","65,181,806.47","85,219,378.05","16,518,424.80","34,151,001.60","61,507,514.94","91,328,715.51","38,651,672.90","69,387,179.35","107,390,197.83","127,614,351.67","34,853,175.84","70,563,466.90","99,055,000.45","120,476,321.46","27,293,214.94","47,511,991.33","54,485,129.64","43,495,180.36","-10,845,799.69","-42,979,507.89","-79,662,214.05","-129,081,000.78","-900,612.69","-4,038,419.89","-14,800,233.12"
减:营业成本,"74,202,466.67","93,763,835.45","21,852,897.85","85,318,146.02","17,801,732.70","38,046,914.93","58,939,129.15","80,204,612.77","29,858,355.41","68,235,215.77","103,967,764.29","151,138,771.56","27,759,216.91","69,537,819.57","149,043,823.59","244,593,048.42","208,323,359.62","409,861,650.77","519,053,349.67","611,327,746.89","62,085,058.88","195,080,146.36","268,252,219.85","333,440,300.59","90,090,268.52","157,786,277.51","216,145,571.42","272,340,621.16","145,737,717.66","197,680,845.37","231,440,999.74","276,700,745.11","61,645,230.56","136,586,791.82","226,669,582.73"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,062,872.99","3,074,966.89","549,135.38","1,896,556.09","462,863.19","943,462.43","1,297,609.52","1,883,392.20","242,995.58","674,992.39","1,191,019.06","2,005,839.76","402,406.04","624,813.85","1,750,991.09","2,352,946.70","1,166,794.19","2,113,209.25","3,340,172.55","4,391,570.57","1,081,060.84","1,933,470.06","2,808,801.39","3,885,234.30","1,575,236.51","2,301,340.56","2,359,866.74","2,599,244.41","707,095.19","884,106.14","1,143,195.37","4,443,397.34","1,710,139.78","3,260,315.34","5,168,313.81"
营业外收入,"2,984,013.75","12,222,440.02","4,341,250.98","23,603,372.26","2,140,373.08","12,089,106.48","17,478,043.46","20,852,578.96","4,132,500.00","8,686,861.00","10,005,567.00","24,403,904.50","1,344,492.53","20,521,718.58","23,942,416.96","27,734,928.08","3,687,780.22","9,806,354.89","12,879,639.85","25,081,836.51","2,558,915.97","14,379,232.96","28,038,267.95","30,292,388.55","8,021,236.89","20,495,740.14","21,538,465.99","27,397,082.63","925,630.53","3,624,560.83","14,037,837.19","16,644,463.43","3,107,957.38","9,162,377.87","20,255,648.16"
销售费用,"1,519,822.08","1,797,880.25","170,822.20","1,738,915.11","599,948.50","786,808.42","1,369,243.95","2,307,602.40","217,361.95","639,377.93","2,257,658.12","6,323,764.92","1,066,354.70","2,499,632.49","5,826,134.32","6,151,857.04","505,797.63","1,269,790.25","1,968,237.63","3,001,453.85","679,281.90","1,224,176.44","1,823,793.07","2,632,316.78","372,743.00","807,470.47","1,251,455.92","2,005,635.22","879,813.09","1,604,231.75","2,207,534.49","2,663,092.92","488,079.24","1,385,597.36","2,099,140.28"
减:营业外支出,"1,074,711.74","2,087,790.97",842.43,"33,141.02","55,840.00","77,785.45","323,330.45","323,330.45","242,545.00","339,386.96","356,490.62","1,207,410.85","63,582.24","69,371.59","308,022.92","631,953.08","864,599.35","1,041,579.31","1,225,821.47","1,314,712.42","312,154.74","541,944.71","595,335.88","1,033,183.35","64,176.22","100,799.99","100,945.75","100,945.75",,"69,166.80","173,192.50","4,833,525.66",15.75,"156,509.76","159,188.38"
管理费用,"17,053,324.78","22,812,647.79","4,974,505.38","19,574,436.99","5,170,527.18","11,432,465.93","17,926,309.59","27,300,361.75","6,925,444.50","14,457,524.22","22,512,384.68","36,500,053.64","7,369,764.21","17,784,580.18","28,706,333.08","44,044,205.46","14,029,658.04","26,924,969.70","40,901,012.66","65,547,613.76","18,494,540.24","34,419,841.51","56,341,133.94","80,635,861.00","22,474,945.96","42,858,579.47","67,183,717.30","86,151,736.60","27,062,841.46","51,848,852.66","74,760,892.10","103,341,555.75","17,960,782.89","37,826,155.37","60,323,205.77"
其中:非流动资产处置净损失,,,,,,"18,445.45","18,445.45","18,445.45",,"14,541.96","15,345.62","173,688.80",,,"3,722.37","24,622.20",,,,"3,369.86",,,,"26,979.42",,"20,773.48","20,773.48","20,773.48",,"9,166.80","9,166.80","3,791,128.92",,"1,016.07","3,694.69"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
