科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"498,196,122.64","619,397,078.35","746,512,771.53","168,429,918.23","354,457,315.47","570,299,941.05","790,291,297.61","179,394,611.08","374,627,383.67","650,704,290.39","1,002,004,174.64","203,647,863.19","411,012,150.77","693,686,473.43","1,024,027,157.88","440,749,656.10","817,160,642.90","1,327,516,250.29","1,816,848,731.74","492,434,232.91","881,843,412.74","1,529,760,506.49","2,152,086,920.07","530,877,339.71","864,486,306.44","1,543,371,608.87","2,583,351,654.33","1,292,881,377.84"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"23,078,320.41","219,476,667.18","309,410,000.00",,"134,379,745.44",,"557,986,252.05",,,"698,490,975.69",
收到的税费返还,"30,065,187.03","49,133,546.94","75,580,304.79","20,294,236.18","32,518,785.84","58,247,101.92","74,894,860.61","31,885,662.23","42,138,414.61","79,562,026.07","113,396,253.37","33,440,223.20","52,230,027.54","74,389,906.28","103,093,922.94","27,421,236.65","48,870,076.13","83,063,639.88","108,499,035.48","35,664,517.54","59,039,782.95","85,123,323.83","124,209,750.75","34,053,033.24","47,383,099.49","90,479,164.75","162,785,980.48","94,563,483.20"
支付其他与投资活动有关的现金,,,,,,,"360,000,000.00",,"103,000,000.00","160,000,000.00","16,594,434.17","155,000,000.00","132,000,000.00","164,000,000.00","128,000,000.00","222,000,000.00","42,000,000.00",,"1,010,600,000.00",,"304,337,870.00",,"30,164,475.61",,"229,926,252.05","404,290,000.00","3,867,840,000.00","343,380,000.00"
收到其他与经营活动有关的现金,"7,788,074.17","25,464,613.74","9,818,023.80","1,121,528.29","3,134,666.50","4,791,582.89","9,064,793.74","4,967,909.42","11,512,430.54","23,998,791.07","29,336,123.46","7,409,800.85","20,635,321.79","28,300,382.65","67,750,183.54","10,973,535.85","12,589,572.74","17,562,594.36","34,644,936.94","35,032,245.01","57,306,347.98","108,709,652.21","57,719,687.12","72,580,728.15","41,106,625.79","53,554,544.58","36,538,989.83","64,099,884.49"
投资活动现金流出小计,"66,608,579.44","18,333,379.84","12,545,375.49","49,018,720.20","49,221,808.48","54,098,923.05","432,026,340.79","65,348,850.82","118,756,291.93","186,101,809.77","51,441,928.29","172,465,243.35","161,791,719.78","204,097,580.34","195,180,280.85","543,471,976.98","552,290,423.91","627,332,989.41","1,670,088,427.11","385,353,538.45","504,142,848.30","751,557,795.66","719,801,123.05","670,720,588.26","423,255,517.86","686,463,751.78","5,269,608,423.18","445,659,232.33"
经营活动现金流入小计,"536,049,383.84","693,995,239.03","831,911,100.12","189,845,682.70","390,110,767.81","633,338,625.86","874,250,951.96","216,248,182.73","428,278,228.82","754,265,107.53","1,144,736,551.47","244,497,887.24","483,877,500.10","796,376,762.36","1,194,871,264.36","479,144,428.60","878,620,291.77","1,428,142,484.53","1,959,992,704.16","563,130,995.46","998,189,543.67","1,723,593,482.53","2,334,016,357.94","637,511,101.10","952,976,031.72","1,687,405,318.20","2,782,676,624.64","1,451,544,745.53"
投资活动产生的现金流量净额,"-66,115,491.96","796,520.92","29,292,527.52","-48,144,899.89","-47,786,918.14","-52,338,376.55","-429,499,638.88","-64,761,555.02","-117,058,026.22","-181,993,162.70","-39,809,811.39","-171,694,110.68","-158,299,203.55","-199,410,581.91","-171,204,467.74","-542,268,100.01","-491,179,371.44","-567,239,494.10","-415,297,111.40","-155,720,516.06","-231,722,754.84","-747,400,829.85","-410,826,558.96","-668,190,112.65","-415,058,273.91","-626,521,543.03","-1,515,795,397.85","-305,031,773.67"
购买商品、接受劳务支付的现金,"335,377,306.99","447,216,787.93","620,896,591.16","142,657,648.19","276,336,150.91","441,064,396.45","579,804,615.35","140,491,511.37","281,836,746.08","471,694,729.85","738,356,494.24","177,427,094.89","329,296,441.25","531,715,703.16","787,925,100.36","374,434,039.38","602,132,664.37","928,571,937.14","1,307,799,581.00","368,365,207.19","607,797,435.46","952,533,263.96","1,413,895,501.75","406,158,822.70","686,492,331.48","1,070,357,697.52","1,667,238,059.95","754,496,852.77"
吸收投资收到的现金,,"1,960,000.00",,,"437,296,800.00","437,296,800.00","437,296,800.00",,,,,,,,"3,121,000.00","307,400,011.25","307,400,011.25","307,400,011.25","307,400,011.25",,,"87,771,192.00","85,441,632.00",,,"773,199,987.12","875,130,168.93",
