科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"48,233,625.60","116,446,517.42","93,087,358.08","100,307,988.68","91,181,283.34","43,589,817.69","500,175,194.89","405,645,071.24","270,198,090.87","246,486,851.57","216,612,390.66","189,443,965.17","89,332,689.35","162,735,501.36","116,376,936.15","140,341,324.03","150,906,330.62","123,923,189.72","188,859,114.25","201,877,652.10","236,010,223.45","192,011,780.78","289,594,786.57","552,931,991.95","456,300,989.97","402,326,370.97","310,322,675.00","197,302,086.94","217,160,838.55","158,125,990.71","187,147,521.08","142,169,414.09","202,128,861.49","130,001,363.41","130,126,854.14"
短期借款,"169,000,000.00","247,478,800.00","225,080,000.00","297,740,000.00","439,198,000.00","393,299,897.31","272,382,804.86","309,300,000.00","246,000,000.00","233,746,000.00","245,549,000.00","280,000,000.00","315,000,000.00","356,000,000.00","375,000,000.00","374,000,000.00","434,000,000.00","404,000,000.00","489,000,000.00","504,000,000.00","534,000,000.00","542,405,111.11","624,405,111.11","281,000,000.00","280,000,000.00","344,000,000.00","270,000,000.00","149,000,000.00","150,000,000.00","170,000,000.00","169,999,800.00","160,000,000.00","180,000,000.00","215,000,000.00","279,899,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"21,400,791.00","20,359,820.08","37,698,216.43","66,599,095.30","83,902,520.00","67,399,184.00","73,759,710.61","102,372,878.70","175,499,084.99","177,748,446.40","122,272,899.40","121,332,356.69","134,220,880.30","71,214,619.73","86,832,550.37","101,109,452.09","90,037,636.22","92,473,550.84","124,259,260.99","100,574,110.72","114,332,225.39","97,444,249.45","123,242,587.95","144,060,649.70","174,755,844.15","162,543,894.48","186,582,858.04","199,146,389.59","263,049,911.60","228,371,875.22","252,140,576.31","281,028,322.06","164,855,418.14","194,129,616.88","252,051,044.56"
应付票据,"35,456,000.00","113,000,000.00","103,351,400.00","107,657,400.00","62,529,728.00","18,812,448.00","23,133,520.00","34,479,764.00","86,885,764.00","115,352,000.00","95,450,000.00","84,734,800.00","103,497,800.00","129,289,000.00","126,103,900.00","129,667,500.00","154,882,600.00","183,965,718.85","223,810,018.85","240,570,655.20","277,852,755.20","284,621,300.00","356,144,227.00","353,484,307.00","329,275,840.00","236,372,060.00","197,207,299.34","185,246,366.92","203,853,489.84","171,778,976.26","172,706,185.00","208,788,401.00","285,009,770.00","284,747,405.34","281,290,766.04"
应收账款,"104,394,731.04","100,034,959.63","176,958,742.49","180,149,783.32","187,035,995.37","179,687,671.34","191,410,586.15","256,884,533.55","193,799,597.24","161,101,302.19","189,578,515.55","217,941,125.04","236,357,036.76","207,828,333.12","238,783,259.33","253,628,717.60","262,874,156.89","284,782,408.87","296,884,755.11","331,706,734.70","318,918,688.91","325,775,876.92","370,489,627.73","384,088,967.49","394,882,608.68","420,197,748.29","375,745,223.28","408,235,275.49","430,850,000.94","524,037,158.20","499,262,344.23","502,697,931.32","581,994,828.32","620,072,103.86","583,325,677.30"
应付账款,"80,124,134.65","74,675,836.39","106,166,791.03","142,208,289.73","145,124,428.98","143,336,209.90","131,612,942.35","94,342,908.93","158,566,142.06","126,726,808.44","111,399,185.71","168,710,560.19","207,500,604.99","179,549,791.38","224,962,281.24","255,258,948.28","254,595,084.83","270,434,265.71","268,580,627.45","320,083,889.64","297,639,996.73","297,664,399.41","358,745,045.88","362,427,661.94","308,850,392.87","337,736,138.04","349,679,511.24","326,635,713.16","305,130,724.64","379,353,014.79","405,650,090.39","385,069,242.16","380,195,146.48","413,152,006.29","446,026,327.50"
预付款项,"53,931,472.79","75,059,384.82","78,956,558.87","77,536,910.08","44,673,059.75","84,389,138.35","108,024,699.85","97,828,272.52","212,597,653.68","116,911,114.66","147,103,725.39","205,631,555.22","242,625,605.22","116,939,040.96","136,915,722.34","141,966,551.36","206,499,578.95","126,637,219.88","183,235,981.97","115,715,196.11","142,429,369.75","57,128,520.18","95,791,184.19","98,181,884.31","100,089,589.17","69,565,624.78","85,589,481.31","54,613,232.19","62,260,463.37","103,542,837.64","115,773,889.84","73,841,624.44","104,012,305.04","53,553,688.53","88,747,676.71"
预收款项,"1,763,973.84","1,470,026.17","590,266.47","1,208,039.58","638,757.00","777,838.64","1,151,271.47","1,743,256.78","1,475,637.33","720,249.58","451,363.41","1,497,137.90","1,464,697.34","1,287,051.10","1,709,388.76","1,554,184.98","10,834,529.33","1,027,022.86","2,005,400.85","1,375,950.95","769,053.69","4,107,727.75","3,163,112.58","579,566.61","716,339.05","978,818.35","612,785.55","3,501,385.21","2,798,975.64","4,450,658.68","4,082,643.21","8,673,516.89","4,747,771.04","3,688,247.08","1,105,178.78"
