科目,2006年度
一、营业收入,"3,476,538,082.03"
二、营业利润,"360,682,618.85"
减:营业成本,"2,867,975,711.53"
加:补贴收入,
营业税金及附加,"14,561,101.65"
营业外收入,"596,432.45"
销售费用,"50,282,189.25"
减:营业外支出,"42,317,050.53"
管理费用,"125,732,825.71"
其中:非流动资产处置净损失,
堪探费用,
加:影响利润总额的其他科目,
财务费用,"62,642,421.01"
三、利润总额,"318,962,000.77"
资产减值损失,
减:所得税,"40,670,645.36"
加:公允价值变动净收益,
加:影响净利润的其他科目,
投资收益,
四、净利润,"278,291,355.41"
其中:对联营企业和合营企业的投资权益,
归属于母公司所有者的净利润,"278,266,827.32"
影响营业利润的其他科目,"5,338,785.97"
少数股东损益,"24,528.09"
