科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"4,270,243,233.27","4,854,551,737.63","4,889,425,666.34","2,168,552,831.38","4,988,796,520.29","1,098,858,615.87","2,276,532,468.65","3,817,104,263.64","5,435,122,217.29","1,409,908,405.76","2,830,528,848.00","4,694,769,963.39","6,254,614,628.91","1,517,146,433.52","3,133,585,379.37","4,950,825,926.04","7,069,963,768.27","1,792,804,702.53","3,658,401,571.24","5,795,411,240.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"14,400,000.00",,"-821,334.60",,,,,,,,
收到的税费返还,"361,223,282.22","416,517,527.03","427,595,863.98","202,697,728.79","455,809,691.10","87,428,383.82","198,233,889.92","319,829,444.92","417,666,175.52","139,775,342.50","261,787,787.91","416,259,577.39","545,097,395.49","91,926,749.01","194,762,700.09","370,092,293.75","536,265,203.92","123,895,771.68","308,630,717.42","495,072,359.28"
支付其他与投资活动有关的现金,,,,,,,"32,000,000.00","32,000,000.00","32,000,000.00",,,,"1,635,971.96","10,719,468.10","19,331,315.64","7,930,499.84","8,000,820.12",,,
收到其他与经营活动有关的现金,"50,835,628.82","64,777,991.75","51,652,898.22","34,499,074.22","48,137,482.09","13,517,822.74","35,524,041.84","41,159,586.15","58,967,880.24","29,295,515.32","44,383,899.73","64,782,919.45","84,482,988.24","13,381,960.16","38,783,083.97","50,788,657.14","64,028,399.12","12,006,251.12","29,789,156.82","42,327,592.77"
投资活动现金流出小计,"402,294,793.16","415,397,628.65","268,802,191.19","932,192,733.80","1,746,558,358.97","995,820,088.53","1,630,095,493.51","1,890,203,433.72","1,603,942,326.15","548,089,031.00","1,122,077,276.31","1,836,729,330.08","2,029,045,594.25","832,780,551.60","1,319,626,300.12","2,097,654,482.77","3,062,941,345.86","131,891,892.80","258,580,155.58","506,777,187.08"
经营活动现金流入小计,"4,682,302,144.31","5,335,847,256.41","5,368,674,428.54","2,405,749,634.39","5,492,743,693.48","1,199,804,822.43","2,510,290,400.41","4,178,093,294.71","5,911,756,273.05","1,578,979,263.58","3,136,700,535.64","5,175,812,460.23","6,884,195,012.64","1,622,455,142.69","3,367,131,163.43","5,371,706,876.93","7,670,257,371.31","1,928,706,725.33","3,996,821,445.48","6,332,811,192.06"
投资活动产生的现金流量净额,"-288,931,693.98","-346,660,753.78","-235,244,416.98","-517,313,852.68","-313,584,208.48","-922,972,669.57","-1,068,955,082.41","-925,537,561.68","-414,386,467.30","-466,284,848.54","-543,450,832.48","-745,833,541.00","-423,431,337.50","-597,869,487.14","-775,735,080.17","-865,449,317.89","-995,069,228.23","212,398,904.58","600,528,833.32","387,050,236.15"
购买商品、接受劳务支付的现金,"3,426,352,432.51","3,919,430,102.44","3,885,234,502.56","1,636,302,131.25","3,672,507,143.88","1,036,306,401.81","1,958,763,864.33","3,030,578,921.23","4,165,455,813.03","1,184,644,254.89","2,114,297,007.64","3,269,996,516.61","4,322,466,866.39","1,272,308,279.40","2,103,087,904.88","3,262,172,099.20","4,683,674,236.11","1,579,055,183.23","2,702,322,169.44","4,201,840,703.32"
吸收投资收到的现金,"245,000.00",,,,,"749,120,000.00","749,120,000.00","751,570,000.00","751,570,000.00",,,,"5,770,000.00",,,,,"891,174,637.30","891,174,637.30","891,174,637.30"
