科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"41,798,623.22","49,875,981.46","59,705,735.05","289,626,031.84","134,766,344.65","175,654,181.59","151,569,485.78","248,348,977.82","245,667,874.87","184,874,608.87","257,439,676.21","86,684,563.90"
短期借款,"76,000,000.00","101,000,000.00","134,000,000.00","166,000,000.00","141,000,000.00","204,000,000.00","243,560,800.00","348,560,800.00","385,760,800.00","485,760,800.00","443,500,000.00","503,300,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,,"100,000.00","10,974,175.20","1,814,475.20","970,948.02",,"3,200,000.00","1,920,700.00","50,631,410.33","50,720,700.00","51,998,458.91",
应付票据,,,,,,,,,,,,
应收账款,"82,514,070.98","72,265,448.26","94,119,408.46","72,854,158.81","83,451,727.12","69,375,807.04","82,330,987.10","87,775,561.58","93,945,045.34","89,920,537.73","107,626,801.89",
应付账款,"190,998,868.11","252,694,895.38","285,963,798.00","192,753,809.81","237,852,922.77","285,725,434.56","402,534,350.82","356,196,893.78","466,992,447.23",,,
预付款项,"2,366,007.04","3,103,456.45","1,709,652.96","4,169,906.24","2,893,914.22","5,376,265.87","7,245,612.56","8,264,835.65","4,461,468.43","9,344,805.61","6,342,547.19","6,112,115.93"
预收款项,"2,965,232.50","10,125,957.97","2,366,167.31","2,482,889.91","2,758,297.60","2,218,890.59","2,670,107.77","2,866,384.18","2,847,493.83","2,777,439.56","8,569,588.28","8,902,231.17"
其他应收款,"27,597,013.77","30,299,720.36","33,973,059.42","31,304,883.24","32,991,537.18","32,786,691.42","36,321,257.87","81,125,041.55","28,463,805.84","48,977,366.38","52,118,506.68","82,376,212.06"
应付职工薪酬,"6,787,292.75","5,919,645.36","10,496,935.44","454,323.89","7,021,516.20","9,003,146.39","15,250,538.91","466,593.62","10,585,773.54","14,044,709.02","22,561,868.77","622,301.38"
应收关联公司款,,,,,,,,,,,,
应交税费,"20,574,642.09","24,846,006.35","8,602,222.54","8,247,135.15","6,906,099.80","20,781,167.61","25,424,302.65","23,002,453.10","20,611,185.57","20,314,416.90","30,111,006.09","26,728,173.20"
应收利息,,,,,"176,410.96",,,,,,,
应付利息,"153,513.55","176,657.22","202,392.23",,"201,260.29","284,274.00","408,207.00","725,925.00","794,818.00","859,427.00","853,394.00","1,017,848.00"
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,,"30,876,600.00",,,
存货,"328,139,989.93","469,211,308.43","568,152,415.32","574,931,311.64","718,541,729.31","831,101,911.17","1,047,236,075.94","1,102,650,354.22","1,242,480,255.83","1,495,448,098.81","1,373,629,395.07","1,432,482,298.15"
其他应付款,"168,626.65","250,522.31","755,216.50","11,831,807.77","2,385,030.57","372,289.38","59,185,121.54","48,215,124.21","59,970,001.39","69,999,492.55","49,142,973.12","53,849,653.21"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,"29,710,363.50","3,800,000.00","3,800,000.00","3,800,000.00","4,400,000.10","4,400,000.10","4,400,000.10","4,400,000.10","3,800,000.00","3,800,000.00","5,806,228.99","3,806,228.99"
一年内到期的非流动负债,,"15,000,000.00",,,,,"9,520,000.00","9,520,000.00","10,880,000.00","10,880,000.00","10,880,000.00","10,880,000.00"
其他流动资产,"241,346.54","25,301.95","3,204,958.69","5,710,430.40","69,997,146.36","9,997,146.36","13,647,266.77","18,375,917.43","15,247,098.79","20,696,976.50","20,495,392.13","21,440,098.62"
其他流动负债,,,"28,610,903.37","30,986,622.49","44,763,209.04","44,763,209.04","68,468,037.15","75,578,908.52","84,672,183.31","110,167,853.89","124,430,613.54","129,281,097.20"
流动资产合计,"512,367,414.98","628,681,216.91","775,639,405.10","984,211,197.37","1,048,189,757.92","1,128,692,003.55","1,345,950,686.12","1,552,861,388.35","1,684,696,959.43","1,903,783,093.90","1,875,457,007.07","1,776,615,033.33"
流动负债合计,"297,648,175.65","410,013,684.59","470,997,635.39","412,756,589.02","442,888,336.27","567,148,411.57","827,021,465.84","865,133,082.41","1,073,991,302.87","1,314,806,142.31","1,476,390,742.59","1,434,423,874.86"
可供出售金融资产,,,,,,,"67,000,000.00","67,000,000.00","67,000,000.00",,"67,000,000.00","67,000,000.00"
长期借款,"15,000,000.00",,,,,,,"182,058,000.00","185,105,000.00","185,105,000.00","182,440,000.00","182,440,000.00"
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,"75,060,283.50","90,623,200.00","46,704,000.10","46,704,000.10","41,903,100.00","41,903,100.00","61,903,100.00","62,300,038.13","159,377,190.00","182,632,325.96","430,658,078.21","497,094,666.93"
长期应付款,,,,,,,"23,800,000.00","23,800,000.00","12,920,000.00","12,920,000.00","12,920,000.00","12,920,000.00"
长期股权投资,,"5,163,400.88","16,978,311.36","16,603,262.47","16,149,354.03","60,983,778.64","15,914,328.68","15,776,083.95","15,659,607.98","33,141,043.68","33,155,266.60","32,935,023.04"
专项应付款,,,,,,,,,,,,
投资性房地产,"6,186,747.18","5,964,822.11","5,744,443.04","5,664,759.07","5,585,075.10","5,505,391.13","5,425,707.16","5,346,023.19","5,266,339.22","5,186,655.25","5,106,971.28","5,027,287.31"
预计负债,"4,225,626.81","2,670,442.07","2,986,893.70","2,150,407.89","1,993,918.33","3,376,778.04","3,659,300.99","3,141,726.31","2,148,014.57","1,798,829.37","2,356,925.35","1,926,293.97"
固定资产,"28,550,394.08","29,478,135.21","30,673,867.13","33,393,978.97","35,012,357.75","40,977,969.97","43,056,612.81","42,511,310.97","43,168,171.68","88,896,461.70","89,047,260.60","87,019,428.40"
递延所得税负债,,,,,,,,,,,,
在建工程,"1,952,140.00","899,500.00",,,"1,339,760.00","2,055,131.67",,,"1,318,400.00",,,"1,698,560.00"
其他非流动负债,,"1,356,412.81",,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"19,225,626.81","4,026,854.88","2,986,893.70","2,150,407.89","2,968,566.95","4,627,399.12","28,790,586.20","210,573,813.21","201,936,040.99","201,586,855.79","197,921,434.09","197,490,802.71"
固定资产清理,,,,,,,,,,,,
负债合计,"316,873,802.46","414,040,539.47","473,984,529.09","414,906,996.91","445,856,903.22","571,775,810.69","855,812,052.04","1,075,706,895.62","1,275,927,343.86","1,516,392,998.10","1,674,312,176.68","1,631,914,677.57"
生产性生物资产,,,,,,,,,,,,
