科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"38,438,677.49","61,745,062.41","50,006,798.19","67,454,674.82","71,836,434.75","165,708,615.06","150,495,304.31","93,859,251.90","297,169,081.29","156,866,908.67","151,625,274.54","137,884,011.00","186,418,034.46","191,330,635.41","986,135,080.28","597,559,634.21","659,577,756.98","510,125,696.16","498,562,446.24","522,242,494.04"
短期借款,"5,000,000.00","13,000,000.00","50,000,000.00","58,185,945.71","65,500,000.00","70,500,000.00","60,000,000.00","30,000,000.00","20,000,000.00","10,000,000.00",,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"50,000.00","2,310,000.00","6,349,280.00","6,095,500.00","10,839,694.05","11,471,656.00","7,395,530.00","2,473,880.00","2,784,775.00","315,000.00","100,000.00",,"514,980.00","200,000.00","400,000.00","6,572,698.00","7,857,514.27","3,501,643.00","3,640,100.00",
应付票据,,,,,,,,,,,,,,,,,,,,
应收账款,"53,162,368.77","77,770,710.30","142,214,561.24","138,703,394.80","182,245,944.61","183,399,938.79","194,312,504.49","215,130,751.74","232,659,600.39","217,270,797.50","237,243,153.25","241,621,348.05","257,449,444.01","238,741,962.54","323,634,191.55","289,977,787.65","308,787,491.67","316,826,381.55","313,330,080.42","333,652,518.06"
应付账款,"2,555,965.90","2,774,220.29","2,513,985.50","2,722,553.00","1,860,095.18","1,157,913.26","1,378,718.05","1,256,581.51","1,833,692.93","1,087,614.23","3,082,799.51","3,138,999.51","3,008,304.38","2,966,359.51","21,591,051.26","25,835,949.40","41,186,853.02","53,769,843.21","71,156,102.05","85,021,434.28"
预付款项,"1,071,110.68","1,580,279.01","6,209,825.45","5,757,243.46","1,295,818.71","3,292,281.58","1,778,914.99","1,765,685.44","2,270,363.00","3,499,140.35","5,254,141.07","1,987,679.32","1,607,694.06","1,571,184.89","1,599,601.05","2,195,915.50","5,464,596.40","23,168,552.44","2,326,827.82","5,472,138.17"
预收款项,"1,484,566.63","1,013,566.71","1,298,801.66","877,241.13","1,515,361.13","4,175,548.14","988,393.14","1,879,256.83","3,543,139.75","4,162,248.91","6,800,223.35","7,538,896.35","3,340,850.18","5,043,393.85","3,787,951.84","7,868,170.74","5,167,324.98","3,634,345.64","3,265,995.01","2,135,851.64"
其他应收款,"2,911,445.71","4,802,928.40","5,230,674.09","6,788,461.44","6,353,880.22","5,883,008.77","2,792,490.64","3,862,514.90","3,178,740.56","3,229,021.75","5,297,293.64","5,197,758.40","4,797,042.19","6,185,278.32","13,587,677.68","8,211,987.43","13,852,701.10","16,706,912.18","6,908,121.11","9,200,013.79"
应付职工薪酬,"2,621,108.19","2,918,635.21","2,376,888.06","2,042,995.84","1,679,571.82","2,429,479.12","2,365,008.89","2,816,272.87","4,382,210.83","4,233,922.90","5,605,893.48","5,506,122.50","6,884,697.00","6,781,450.22","8,477,290.24","9,304,691.16","10,074,974.60","9,570,510.92","10,105,410.18","9,966,988.90"
应收关联公司款,,,,,,,,,,,,,,,,,,,,
应交税费,"7,297,214.60","6,476,054.01","10,073,671.91","5,707,773.67","9,762,917.07","3,019,238.90","6,920,636.29","3,281,002.17","13,908,400.14","4,309,821.77","10,638,787.78","11,478,430.22","23,043,202.45","11,705,699.43","18,732,643.09","20,735,713.90","41,722,480.33","11,802,015.63","9,228,009.69","14,450,657.55"
应收利息,,,,,,,,,,,,,,,,,"2,269,045.82","1,845,382.51","1,653,166.67",
应付利息,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,
存货,"791,282.05","51,282.05",,,,,"4,273.50","4,273.50","2,972,404.51","1,956,194.38","1,921,168.70","5,198,156.09","1,064,984.70","2,542,877.37","12,658,575.72","10,612,363.50","16,079,020.04","23,538,914.11","45,191,536.97","50,627,224.84"
其他应付款,"2,106,115.29","5,743,214.48","399,627.51","88,864.15","526,929.59","113,452.47","303,604.47","7,204,014.33","142,296,062.29","7,224,236.49","68,169,845.98","46,596,553.58","40,488,673.50","36,879,263.41","599,049,693.40","112,495,705.02","87,967,382.41","14,856,981.82","15,269,652.85","14,945,261.58"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,"923,857.85","659,027.60","1,663,737.89",,"1,372,572.68","1,304,205.39","1,274,445.75","1,270,814.88","19,722.28",,,,"207,858.03",,,
一年内到期的非流动负债,,,,,"10,178,402.77","10,189,360.32","10,196,179.97",,,,,,,,,,,,,
其他流动资产,,,"844,557.21","3,679,472.90","66,018.90","2,011,156.34","3,714,799.70",,"733,982.88",,"2,474,276.51","2,474,276.51",,,,,362.24,,,
其他流动负债,"4,664,140.00","2,786,212.73","2,833,273.33","2,307,340.00","2,215,406.54","1,854,519.41","1,650,814.78","1,336,713.03","1,087,778.01","262,500.00",,"720,000.00",,,,,,,,
流动资产合计,"96,424,884.70","148,260,262.17","210,855,696.18","228,478,747.42","273,561,649.09","372,425,684.14","362,157,555.52","317,096,357.48","543,141,520.31","384,441,268.04","405,189,753.46","395,634,044.25","451,871,901.70","440,571,938.53","1,338,015,126.28","915,130,386.29","1,014,096,346.55","895,713,481.95","871,612,279.23","921,194,388.90"
流动负债合计,"25,729,110.61","34,711,903.43","69,496,247.97","71,932,713.50","93,238,684.10","93,439,511.62","83,803,355.59","47,773,840.74","187,051,283.95","31,280,344.30","94,297,550.10","74,979,002.16","76,765,727.51","63,376,166.42","651,638,629.83","176,240,230.22","186,119,015.34","93,633,697.22","109,025,169.78","126,520,193.95"
可供出售金融资产,,,,,,,,,"200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00","200,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,
长期应付款,,"10,108,855.37","10,148,392.30","10,168,707.94",,,,"10,196,179.97",,,,,,,,,,,,
长期股权投资,"360,364.79","385,685.29","207,067.26","148,936.05","308,219.32","308,219.32","80,535.92","80,535.92","317,569.96","317,569.96","317,569.96","317,569.96","279,152.22","279,152.22","279,152.22","279,152.22","261,257.58","39,861,257.58","59,856,195.94","59,856,195.94"
专项应付款,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,
固定资产,"17,713,835.27","15,934,234.37","13,500,235.87","13,371,903.56","13,361,927.66","12,077,852.81","10,778,424.64","9,546,319.27","8,328,683.07","7,664,333.46","7,005,482.09","6,395,975.56","5,340,310.44","4,906,188.92","6,497,534.81","5,985,410.13","4,917,422.64","4,506,812.69","4,084,000.13","4,096,650.15"
递延所得税负债,,,,,,,,,"2,408,117.55","2,231,913.83","2,055,710.11","1,879,506.38","1,703,302.66","1,527,098.94","2,200,895.21","1,949,691.49","1,698,487.76","1,447,284.03","1,196,080.31","944,876.58"
在建工程,,,,,,,,,,,,,,,,,,,,
其他非流动负债,"6,330,064.97","4,348,958.30","2,557,351.51","1,533,981.44","855,278.28","715,847.06","226,500.00",,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"6,330,064.97","14,457,813.67","12,705,743.81","11,702,689.38","855,278.28","715,847.06","226,500.00","10,196,179.97","2,408,117.55","2,231,913.83","2,055,710.11","1,879,506.38","5,145,228.46","4,869,024.74","4,931,955.61","4,580,751.89","3,731,882.54","3,480,678.81","5,387,711.01","5,136,507.28"
固定资产清理,,,,,,,,,,,,,,,,,,,,
负债合计,"32,059,175.58","49,169,717.10","82,201,991.78","83,635,402.88","94,093,962.38","94,155,358.68","84,029,855.59","57,970,020.71","189,459,401.50","33,512,258.13","96,353,260.21","76,858,508.54","81,910,955.97","68,245,191.16","656,570,585.44","180,820,982.11","189,850,897.88","97,114,376.03","114,412,880.79","131,656,701.23"
生产性生物资产,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","51,433,181.00","51,433,181.00","51,433,181.00","57,610,150.00","57,610,150.00","115,220,300.00","115,220,300.00","115,220,300.00","115,220,300.00","138,072,644.00","138,072,644.00","138,393,484.00","138,515,854.00","277,031,708.00","277,031,708.00"
油气资产,,,,,,,,,,,,,,,,,,,,
资本公积,"35,918,968.29","35,918,968.29","35,918,968.29","35,918,968.29","35,918,968.29","141,008,515.00","141,008,515.00","141,008,515.00","555,791,322.20","555,791,322.20","498,181,172.20","498,181,172.20","498,693,572.20","498,693,572.20","1,290,357,506.29","1,290,357,506.29","1,311,963,316.68","1,319,622,953.63","1,181,110,181.89","1,181,110,181.89"
无形资产,"5,815,583.04","7,306,581.69","7,508,447.52","6,599,616.04","6,010,377.35","5,402,782.61","6,279,583.88","5,594,694.27","20,963,921.67","19,110,740.34","17,298,808.51","15,476,609.23","14,083,915.91","12,513,315.75","29,282,929.94","26,733,002.00","24,739,258.08","22,124,472.33","19,511,259.30","17,122,907.89"
盈余公积,"1,058,204.78","3,040,395.57","5,200,997.28","5,200,997.28","9,052,735.19","9,052,735.19","9,052,735.19","9,052,735.19","13,356,477.30","13,356,477.30","13,356,477.30","13,356,477.30","14,734,223.38","14,734,223.38","14,734,223.38","14,734,223.38","26,325,950.60","26,325,950.60","26,325,950.60","26,325,950.60"
开发支出,,,,,,,,,,,"3,616,306.56","7,314,734.63","10,278,252.50","13,241,388.97",,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,"29,607,378.92","392,976,796.03","392,976,796.03","428,110,939.34","427,823,878.03","427,823,878.03","427,823,878.03","921,999,470.40","906,999,470.40","906,999,470.40","906,999,470.40","906,999,470.40","906,999,470.40"
未分配利润,"12,112,575.88","49,183,483.01","70,393,405.45","84,394,168.23","112,017,593.59","97,192,654.28","98,616,503.92","108,512,176.28","154,543,236.14","148,646,404.10","149,890,510.38","160,652,823.45","212,329,879.92","215,633,484.47","210,947,319.12","242,969,717.26","297,699,259.96","300,813,623.97","277,460,951.11","308,029,576.47"
长期待摊费用,"2,033,406.94","2,999,062.93","4,695,779.31","2,786,028.99","145,146.74","107,283.56","2,110,135.89","3,310,587.47","1,474,728.48","1,157,024.71","839,320.99","521,617.27","1,455,006.15","1,157,021.74","874,340.82","870,796.91","553,035.83","504,489.87","469,232.84","420,967.36"
少数股东权益,,,,,,,,,,,,,,,,,,,,
递延所得税资产,"3,800,849.79","7,426,737.52","1,948,136.66","2,764,304.62","2,695,939.29","2,520,621.71","2,734,554.85","2,740,754.85","3,355,066.34","3,046,577.91","10,421,237.90","10,584,852.56","11,556,514.52","11,833,887.05","13,533,723.76","10,756,855.09","12,466,118.04","12,482,773.41","13,609,234.55","14,263,537.55"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"29,724,039.83","34,052,301.80","27,859,666.62","25,670,789.26","22,521,610.36","20,416,760.01","21,983,235.18","50,880,270.70","427,616,765.55","424,473,042.41","467,809,665.35","468,635,237.24","471,017,029.77","471,954,832.68","972,667,151.95","951,824,686.75","950,136,562.57","986,679,276.28","1,004,729,393.16","1,002,959,729.29"
所有者权益(或股东权益)合计,"94,089,748.95","133,142,846.87","156,513,371.02","170,514,133.80","201,989,297.07","298,687,085.47","300,110,935.11","310,006,607.47","781,298,884.36","775,402,052.32","776,646,158.60","787,410,772.95","840,977,975.50","844,281,580.05","1,654,111,692.79","1,686,134,090.93","1,774,382,011.24","1,785,278,382.20","1,761,928,791.60","1,792,497,416.96"
资产总计,"126,148,924.53","182,312,563.97","238,715,362.80","254,149,536.68","296,083,259.45","392,842,444.15","384,140,790.70","367,976,628.18","970,758,285.86","808,914,310.45","872,999,418.81","864,269,281.49","922,888,931.47","912,526,771.21","2,310,682,278.23","1,866,955,073.04","1,964,232,909.12","1,882,392,758.23","1,876,341,672.39","1,924,154,118.19"
负债和所有者(或股东权益)合计,"126,148,924.53","182,312,563.97","238,715,362.80","254,149,536.68","296,083,259.45","392,842,444.15","384,140,790.70","367,976,628.18","970,758,285.86","808,914,310.45","872,999,418.81","864,269,281.49","922,888,931.47","912,526,771.21","2,310,682,278.23","1,866,955,073.04","1,964,232,909.12","1,882,392,758.23","1,876,341,672.39","1,924,154,118.19"
