科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"9,585,858,719.14","11,315,284,337.28","12,580,339,818.77","6,562,886,839.17","9,867,249,344.39","13,563,235,356.46","3,473,343,255.64","7,524,718,356.68","11,208,421,158.38","15,126,336,535.03","2,943,620,725.22","7,545,037,501.35","11,527,870,073.74","15,016,714,789.45","3,943,268,050.22"
取得子公司及其他营业单位支付的现金净额,,"105,470,771.53","1,098,075,866.87",,,,,,,"2,801,493,817.30",,,,,"63,084,551.08"
收到的税费返还,,,,,,,,,,,,,,"4,563,575.60",
支付其他与投资活动有关的现金,"90,501,516.70","50,000,000.00","332,000,000.00","100,000,000.00","100,000,000.00","113,950,000.00","5,610,451.28","25,961,980.63","27,371,072.73","26,420,300.07",,,,"2,668,992.25",
收到其他与经营活动有关的现金,"288,859,835.68","311,614,226.57","218,829,659.68","84,241,727.36","235,642,971.29","195,412,567.79","44,214,486.37","58,773,051.10","121,310,270.67","324,578,007.73","101,470,698.83","206,678,723.57","438,438,367.95","493,533,760.61","114,777,433.96"
投资活动现金流出小计,"1,190,350,197.78","448,346,113.76","3,079,964,367.65","1,233,090,431.18","1,346,010,041.30","1,440,299,932.69","3,035,846,636.71","3,567,590,285.93","4,438,874,944.50","4,604,350,472.50","196,530,509.01","680,120,026.18","988,570,700.09","1,788,011,828.03","197,770,925.45"
经营活动现金流入小计,"9,874,718,554.82","11,626,898,563.85","12,799,169,478.45","6,647,128,566.53","10,102,892,315.68","13,758,647,924.25","3,517,557,742.01","7,583,491,407.78","11,329,731,429.05","15,450,914,542.76","3,045,091,424.05","7,751,716,224.92","11,966,308,441.69","15,514,812,125.66","4,058,045,484.18"
投资活动产生的现金流量净额,"-984,339,570.91","-407,821,908.02","-2,526,654,153.77","-1,058,943,358.67","-1,102,836,119.21","-1,189,400,967.72","-2,937,188,575.72","-3,462,100,586.93","-4,319,004,287.84","-4,306,978,098.28","-194,042,742.84","-659,755,142.65","-860,379,715.19","-1,596,957,450.66","-194,409,966.91"
购买商品、接受劳务支付的现金,"1,826,424,751.82","1,726,667,636.60","1,482,647,113.63","609,923,532.52","1,019,577,531.54","1,675,713,511.17","357,518,178.80","724,689,479.53","1,254,667,966.05","2,096,238,256.71","292,766,659.74","619,657,135.09","1,065,486,452.37","1,540,946,840.23","327,535,733.23"
吸收投资收到的现金,,,,,,"3,671,434,836.00",,,,,,,"3,761,380.00",,
支付给职工以及为职工支付的现金,"272,147,756.95","318,598,169.09","398,087,833.94","260,215,318.18","391,898,255.42","526,962,357.01","157,315,301.97","303,256,180.28","457,337,632.11","649,234,932.79","146,354,864.95","296,841,158.59","453,913,136.86","669,266,058.80","169,968,825.31"
取得借款收到的现金,"1,210,000,000.00","2,010,000,000.00","3,461,000,000.00","500,000,000.00","650,490,000.00","656,490,000.00","1,650,000,000.00","1,700,000,000.00","1,900,000,000.00","2,250,000,000.00","1,235,000,000.00","1,795,000,000.00","2,020,000,000.00","2,883,000,000.00","693,000,000.00"
支付的各项税费,"1,538,951,836.66","1,882,879,493.77","2,185,876,692.95","1,218,003,697.00","1,768,531,337.47","2,465,998,399.89","470,562,689.93","1,188,329,527.03","1,735,622,623.58","2,428,189,990.73","716,141,835.61","1,338,905,956.14","1,912,862,969.37","2,656,226,815.29","655,802,306.45"
收到其他与筹资活动有关的现金,"53,665,345.45","6,000,000.00","203,225.58",,,,,,,,"2,582,299.25","14,977,335.65","15,560,395.45","16,915,464.93",
