科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"38,771,407.38","58,693,234.23","80,713,570.22","25,500,479.72","52,964,789.75","72,731,389.25","101,692,192.93","27,161,675.19","56,337,661.31","80,701,004.87","126,682,069.26","34,947,294.58","84,787,709.96","128,446,241.77","222,355,564.64","80,461,069.00","203,983,242.90","326,273,408.41","462,885,218.52","111,185,473.16","262,864,745.69","415,702,946.49","550,596,649.69","155,061,848.05","366,324,952.73","571,858,440.71","802,266,759.21","231,947,844.71"
二、营业利润,"19,344,104.51","31,754,157.60","42,358,877.24","14,011,124.62","29,054,949.87","37,146,378.86","51,227,442.76","16,777,588.18","34,466,564.44","44,004,477.43","64,327,962.11","16,307,849.81","29,069,356.47","42,851,710.58","74,192,775.55","59,470,638.27","91,313,362.21","123,796,150.67","167,223,202.31","33,154,974.42","76,967,167.40","139,596,727.57","180,534,682.74","45,974,340.29","114,816,901.63","178,188,475.74","231,819,968.84","56,434,108.43"
减:营业成本,"6,006,853.71","9,467,015.01","13,543,174.21","3,813,956.24","8,789,017.23","13,476,819.43","19,439,603.93","5,564,399.84","11,861,014.52","18,839,953.00","32,300,939.66","12,051,148.73","33,487,470.45","51,642,075.59","83,757,784.74","22,716,634.07","58,479,547.78","89,297,965.88","124,519,211.36","26,637,671.32","63,504,266.71","103,114,738.15","134,809,648.34","53,876,817.77","115,540,514.52","195,302,891.04","299,770,765.06","103,141,410.49"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,525.00,"76,371.98","713,656.09","47,986.39","414,090.27","656,841.14","824,482.63","265,770.07","449,815.46","603,792.82","969,872.83","270,242.24","590,740.77","926,472.14","1,771,050.25","785,684.48","2,103,221.66","3,619,065.15","5,081,278.48","1,180,031.73","3,033,229.82","4,745,481.50","7,221,820.59","1,795,846.55","4,893,614.40","7,020,963.86","8,953,646.17","2,313,210.22"
营业外收入,"438,305.00","8,135,108.19","6,157,764.67","77,675.00","95,651.00","246,574.82","8,991,093.49","81,208.12","251,050.12","432,545.98","9,274,583.60","579,345.62","887,691.68","2,331,263.87","3,670,817.72","847,578.67","1,840,795.43","4,644,729.00","6,206,055.37","2,952,432.13","8,645,832.49","11,764,337.21","14,017,579.18","404,808.16","3,034,019.07","8,582,585.78","1,378,283.14","265,244.88"
销售费用,"7,053,605.75","7,896,844.20","10,540,155.13","3,695,897.32","7,043,888.72","10,604,551.48","17,466,895.05","2,852,080.46","6,720,660.95","11,225,221.26","20,050,411.54","3,915,398.67","11,559,398.24","18,182,317.40","34,036,469.37","10,814,580.76","29,860,759.92","51,240,102.14","79,004,840.33","21,438,789.32","44,695,470.14","65,084,084.37","97,843,688.24","19,624,994.61","55,255,660.42","81,906,707.64","134,133,599.54","41,153,492.72"
减:营业外支出,"17,010.81","41,079.45",,,,,,,90.44,187.80,222.07,,"77,953.65","79,149.82","198,294.08",,"57,611.54","282,156.93","293,711.70","124,022.83","439,057.53","612,813.28","821,293.77","35,000.00","52,062.33","86,663.34","643,667.68","427,200.97"
管理费用,"6,119,531.03","9,011,122.35","12,870,119.46","3,873,962.81","7,072,359.51","10,526,829.17","17,435,861.43","3,817,746.46","7,351,785.15","12,796,564.81","23,653,724.45","5,248,150.36","11,816,046.90","20,329,179.86","38,246,744.62","14,708,170.70","39,207,325.48","63,081,550.28","94,140,560.68","24,514,220.40","57,270,455.40","82,374,109.68","106,172,128.05","27,406,179.72","53,880,919.19","81,026,977.19","110,741,895.55","27,080,303.84"
其中:非流动资产处置净损失,,,,,,,,,,,,,"77,855.65",,"81,566.40",,"56,052.48","56,052.48","56,052.48",,"80,992.63","338,755.84","114,954.76",,"16,437.69","25,628.28",,
