科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"382,459,833.27","436,084,470.52","473,738,063.21","237,086,429.21","351,117,548.95","539,700,231.20","126,453,059.06","315,236,976.71","439,725,301.72","636,181,254.10","151,530,490.72","419,118,884.71","585,769,962.00","912,343,541.08","194,482,813.83","513,183,405.74","841,023,983.42"
二、营业利润,"80,663,816.11","90,414,009.51","96,233,111.08","52,772,606.60","75,503,352.63","106,320,246.99","15,404,100.34","55,222,511.32","64,010,532.53","80,696,143.55","20,811,818.53","77,155,289.10","99,881,172.13","147,073,346.86","23,201,561.12","89,861,011.58","126,733,232.59"
减:营业成本,"255,352,858.48","281,826,183.60","299,194,288.63","156,242,436.99","227,622,490.99","367,372,138.21","93,869,496.12","224,821,944.24","325,563,102.51","466,055,377.28","107,842,604.75","277,819,217.11","389,871,291.71","632,131,074.15","148,166,411.31","379,440,969.25","632,639,932.50"
加:补贴收入,,,,,,,,,,,,,,,,,
营业税金及附加,"13,653,147.89","12,059,414.56","7,738,716.43","1,734,949.82","3,086,151.80","5,184,138.39","622,801.83","2,908,803.72","4,141,599.96","6,645,482.39","1,656,420.03","2,364,601.30","3,466,490.67","6,842,682.53","1,648,161.55","3,480,849.66","5,831,101.17"
营业外收入,"678,960.41","10,594,080.52","8,004,091.97","2,208,542.65","3,198,059.29","5,793,266.67","868,291.10","900,223.04","5,816,305.64","7,657,624.55","27,702.89","1,050,691.31","1,554,791.09","7,784,079.07","1,061,293.25","1,337,597.12","10,605,480.71"
销售费用,,,,,,,,,,,,,,,,,
减:营业外支出,"393,495.56","98,438.24","154,327.30","4,618.03","14,983.42","26,200.57","9,105.07","46,738.85","60,172.61","2,136,725.75","221,523.47","379,032.60","546,772.61","2,851,988.17","20,963.52","206,895.82","474,523.58"
管理费用,"36,681,760.15","50,222,998.61","62,346,648.18","31,670,506.47","49,404,811.99","63,815,768.64","17,167,884.29","32,727,213.77","50,061,155.13","83,672,886.61","22,004,936.41","46,429,429.14","73,915,534.42","109,751,355.46","26,832,314.80","55,725,326.45","88,956,316.52"
其中:非流动资产处置净损失,"126,467.78","88,274.55","30,745.46","7,106.35","18,322.40","29,539.59","8,479.78","41,694.50","45,535.53","90,713.41","27,423.47","71,190.09","90,926.36","391,718.52","11,459.52","56,417.82","158,253.98"
堪探费用,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,
财务费用,"-648,660.99","-910,150.57","-1,081,197.20","-369,497.42","-541,951.17","-742,553.58","-533,771.00","-4,355,349.25","-8,137,262.48","-10,219,440.83","2,189,506.58","2,653,706.52","3,561,423.93","6,297,257.67","-597,675.74","-2,639,442.81","-2,763,142.60"
三、利润总额,"80,949,280.96","100,909,651.79","104,082,875.75","54,976,531.22","78,686,428.50","112,087,313.09","16,263,286.37","56,075,995.51","69,766,665.56","86,217,042.35","20,617,997.95","77,826,947.81","100,889,190.61","152,005,437.76","24,241,890.85","90,991,712.88","136,864,189.72"
资产减值损失,"1,561,101.92","2,125,896.58","9,382,276.25","-5,073,648.97","-4,072,176.41","-2,348,884.79","-86,901.62","3,819,191.20","3,963,539.31","13,159,679.37","-2,879,353.82","14,718,336.72","16,827,336.17","15,195,268.02","-1,817,381.57","2,784,224.34","9,552,610.24"
减:所得税,"13,854,383.80","16,671,191.10","16,823,912.86","8,493,728.07","13,582,315.17","17,940,634.48","3,252,526.84","8,762,295.79","11,090,383.26","17,169,158.19","3,539,479.15","14,034,390.04","19,120,857.57","25,781,556.37","5,834,772.08","16,145,188.39","22,276,899.15"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,
投资收益,"4,804,190.29","-346,118.23","75,780.16","-109,075.72","-114,869.12","-99,377.34","-9,449.10","-92,661.71","-122,634.76","3,828,874.27","95,441.76","2,021,695.18","1,753,287.03","4,947,443.61","2,950,577.64","15,469,532.73","19,926,067.00"
四、净利润,"67,094,897.16","84,238,460.69","87,258,962.89","46,482,803.15","65,104,113.33","94,146,678.61","13,010,759.53","47,313,699.72","58,676,282.30","69,047,884.16","17,078,518.80","63,792,557.77","81,768,333.04","126,223,881.39","18,407,118.77","74,846,524.49","114,587,290.57"
其中:对联营企业和合营企业的投资权益,"3,062,457.20","165,008.79","75,780.16","-109,075.72","-114,869.12","-99,377.34","-9,449.10","-92,661.71","-122,634.76","-171,125.73","95,441.76","21,695.18","-246,712.97","-2,214,001.10","-663,489.33","-2,502,432.71","-1,633,853.00"
归属于母公司所有者的净利润,"65,407,761.65","82,242,178.64","85,069,440.33","45,395,986.66","63,341,547.40","91,422,053.22","12,233,199.74","46,251,129.75","57,443,562.63","67,682,239.55","16,195,914.48","62,581,886.97","80,995,463.02","121,147,429.41","17,776,975.99","71,484,346.63","108,330,248.61"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,
少数股东损益,"1,687,135.51","1,996,282.05","2,189,522.56","1,086,816.49","1,762,565.93","2,724,625.39","777,559.79","1,062,569.97","1,232,719.67","1,365,644.61","882,604.32","1,210,670.80","772,870.02","5,076,451.98","630,142.78","3,362,177.86","6,257,041.96"
