科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"22,617,131.69","98,773,942.99","114,892,668.89","94,814,135.59","536,012,402.99","417,029,253.98","453,351,867.91","422,078,452.79","407,476,723.66","412,165,519.92","261,935,437.02","189,580,090.25","177,467,652.13","622,714,409.50","409,671,644.94","707,348,717.85","608,509,809.21","574,443,228.39","455,715,583.97","305,932,654.94","307,703,904.97","294,192,983.39","342,661,502.05","303,332,973.11","372,766,644.22","239,712,524.78","282,990,916.08","201,267,376.30","217,505,900.71","136,953,660.85","246,366,803.52","136,957,589.43"
短期借款,"46,700,000.00","76,800,000.00","125,700,000.00","155,700,000.00","85,700,000.00","70,700,000.00","105,281,368.75","115,979,735.60","128,703,516.50","199,659,667.75","195,000,000.00","235,000,000.00","240,000,000.00","190,000,000.00","170,000,000.00","244,000,000.00","324,000,000.00","403,000,000.00","380,000,000.00","225,000,000.00","180,000,000.00","330,000,000.00","320,000,000.00","320,000,000.00","330,000,000.00","184,000,000.00","144,000,000.00","65,000,000.00","50,000,000.00","20,000,000.00","20,000,000.00",
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,640,000.00","7,896,678.62","11,487,301.09","4,595,349.80","8,443,345.21","16,888,783.81","37,966,441.48","26,554,183.56","25,151,415.96","22,911,813.44","41,050,542.33","39,354,306.51","58,707,847.84","63,366,738.41","43,858,597.58","19,215,735.78","10,412,797.09","13,311,229.82","18,137,501.96","13,397,349.56","7,620,690.99","13,350,961.14","18,778,759.44","13,285,355.47","12,968,429.99","15,554,844.02","16,689,725.82","8,434,008.60","11,407,250.00","16,669,420.35","4,152,896.00","2,150,000.00"
应付票据,"16,878,742.60","50,050,029.22","63,552,152.25","50,933,485.40","53,738,676.58","54,118,555.51","36,377,535.73","25,969,060.20","29,758,269.10","36,335,866.58","23,748,682.29","4,658,456.51","1,410,460.00","1,300,000.00",,"6,778,517.47","18,144,878.62","28,127,528.25","16,761,167.10","19,726,922.20","37,921,000.52","59,677,825.75","50,750,772.72","38,192,337.85","61,456,832.55","46,659,730.83","41,144,138.42","80,242,300.55","72,329,626.34","90,284,579.50","117,683,879.07","91,435,779.73"
应收账款,"23,632,790.17","25,710,161.80","30,936,074.63","36,501,782.88","52,267,145.01","67,766,966.56","55,340,080.39","63,044,157.17","98,961,731.07","144,353,917.37","155,313,649.42","160,362,811.67","201,205,585.64","208,369,893.30","249,085,300.60","268,350,385.38","295,327,350.56","301,006,295.87","268,626,753.92","277,130,523.37","274,639,044.35","267,863,855.26","255,319,853.82","240,024,103.64","270,367,565.97","268,220,905.36","252,960,999.63","228,240,572.60","224,212,413.14","210,679,576.93","201,748,678.72","212,829,391.08"
应付账款,"42,133,642.61","34,372,357.18","62,817,575.05","66,575,533.81","83,696,283.52","104,161,992.29","100,456,546.73","110,888,889.55","128,783,070.61","144,107,454.53","143,423,102.30","167,709,925.36","154,313,998.26","182,794,243.42","164,207,058.43","164,197,914.40","162,485,077.74","148,340,757.17","173,880,320.87","174,423,854.96","174,748,168.57","166,031,542.27","162,477,951.82","163,419,809.14","188,597,257.14","209,334,079.96","230,656,155.96","230,473,565.64","223,575,916.98","153,156,597.68","135,009,659.02","166,313,752.66"
预付款项,"13,807,674.91","17,341,933.37","45,225,673.89","52,405,031.98","118,721,462.44","149,328,131.75","84,117,119.89","110,305,293.36","121,411,182.00","141,315,499.62","174,867,865.18","154,612,351.12","142,220,082.86","124,549,988.84","81,947,529.75","105,053,744.34","96,426,395.90","126,511,677.87","25,388,119.41","30,815,990.65","30,535,263.82","45,708,699.34","11,640,362.24","13,028,780.94","15,155,899.44","19,055,763.90","7,677,984.11","9,343,793.34","12,542,452.36","20,115,493.62","14,919,982.79","20,591,722.34"
预收款项,"10,013,232.04","9,058,615.10","9,821,573.10","10,378,996.40","7,233,541.29","8,470,514.47","9,732,732.24","11,575,013.30","12,623,830.28","12,666,442.30","12,564,860.93","15,684,395.30","17,844,826.12","19,591,289.48","17,013,025.63","18,020,498.37","20,528,286.24","22,154,454.75","15,010,394.97","17,272,846.19","16,827,848.15","16,582,791.22","16,190,078.39","15,930,364.31","13,994,069.63","16,692,824.49","15,155,962.69","13,449,123.43","13,297,800.60","14,513,966.74","16,166,027.45","15,798,345.62"
