科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,402,068,377.78","2,213,080,419.11","3,039,179,622.90","1,653,977,143.56","2,549,017,526.64","3,577,855,483.04","947,168,026.38","1,884,090,885.33","2,951,781,476.81","4,126,527,207.17","1,087,750,025.97","2,254,430,365.12","3,542,773,759.41","5,045,744,552.80","1,293,783,782.16","2,556,334,728.45","3,832,553,114.46","5,236,937,672.47","1,404,671,976.26","2,464,805,852.60","3,712,475,534.90","5,220,768,702.23","1,420,471,284.12","2,780,183,415.48","4,462,457,040.11","6,560,903,028.16","1,389,622,836.71","2,877,417,378.68","4,627,225,670.50","6,664,372,997.57","1,437,542,870.20","2,769,024,248.42"
二、营业利润,"34,869,644.18","47,792,818.78","98,858,223.85","67,097,428.23","94,692,644.36","125,937,535.89","26,188,623.85","49,136,349.77","60,876,217.29","64,013,857.70","24,538,890.44","36,279,734.90","51,607,403.66","44,137,746.81","1,677,836.39","7,637,375.10","-8,449,370.79","-81,945,231.01","-9,007,829.39","-799,728.30","-12,164,974.00","-10,685,922.89","17,168,681.96","21,663,268.28","43,966,679.30","51,171,269.40","27,967,972.24","56,751,067.99","76,597,971.51","103,939,909.57","11,913,454.23","47,243,148.20"
减:营业成本,"1,301,355,720.89","2,076,425,358.53","2,818,929,337.85","1,507,156,666.72","2,330,182,335.83","3,277,761,288.00","873,958,051.94","1,739,213,548.07","2,743,665,039.39","3,851,452,727.29","998,389,750.85","2,085,349,633.43","3,283,631,602.51","4,717,750,115.16","1,210,090,029.13","2,388,077,063.32","3,599,026,980.41","4,979,221,886.27","1,322,519,667.67","2,304,521,660.53","3,490,010,513.71","4,916,534,317.32","1,323,856,014.78","2,613,852,928.31","4,206,201,362.91","6,207,484,357.74","1,286,660,512.07","2,671,650,256.62","4,322,710,232.26","6,239,749,358.55","1,349,093,007.61","2,567,643,092.10"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,631,913.42","4,167,057.42","5,472,770.23","2,475,754.61","4,353,651.55","5,519,940.08","2,314,118.74","3,763,212.92","5,393,060.92","7,822,952.17","2,674,768.96","4,184,691.83","6,073,700.73","8,039,597.99","2,619,999.83","4,286,473.35","6,480,208.92","9,419,692.54","2,981,191.58","5,464,818.24","7,921,316.07","10,521,090.39","2,925,505.10","4,037,154.71","5,418,172.81","21,042,579.53","5,710,730.00","13,826,295.68","23,173,350.29","32,645,758.16","7,237,858.52","14,151,865.02"
营业外收入,"812,920.94","6,433,925.92","2,685,398.18","1,649,059.50","2,718,946.32","4,072,425.22","1,468,337.15","22,880,410.54","29,825,895.59","45,298,137.10","10,067,487.13","24,314,493.19","27,242,506.37","32,837,240.07","22,254,373.54","26,208,710.75","31,369,932.65","37,878,862.60","2,914,041.87","12,275,510.88","31,404,017.58","44,491,255.76","2,078,863.12","23,212,689.53","29,171,817.01","39,073,218.12","3,118,195.66","3,822,745.50","7,629,129.90","2,617,028.77","2,528,679.57","1,930,563.96"
销售费用,"32,802,127.61","49,954,878.19","67,058,628.25","42,011,111.84","64,465,524.02","93,624,588.12","25,893,967.42","51,121,876.83","75,301,616.58","104,951,144.12","31,626,890.81","61,818,031.36","97,989,554.33","135,841,143.48","36,859,695.68","74,133,987.31","110,757,941.49","149,460,698.23","42,649,282.51","72,904,866.08","104,935,431.18","136,249,914.35","37,990,090.28","64,841,659.13","100,215,085.93","143,050,903.57","39,894,473.58","77,466,022.28","116,087,734.82","165,629,950.74","56,377,517.13","98,199,288.90"
减:营业外支出,"701,132.73","292,969.91","399,915.89","547,833.10","644,288.05","3,830,498.22","132,930.02","531,523.65","713,523.38","1,955,838.54","330,400.93","778,814.33","1,249,091.89","1,845,587.49","311,505.17","875,955.18","1,653,410.72","3,142,690.16","970,530.82","1,754,164.05","5,104,987.45","5,654,950.17","821,447.77","2,298,671.02","3,061,687.59","4,653,489.99","336,878.21","1,520,539.25","2,657,860.51","1,580,999.30","449,236.11","283,192.49"
管理费用,"15,326,586.20","17,205,953.79","25,562,940.19","18,174,141.49","28,179,733.18","41,017,841.03","12,631,889.36","26,563,797.67","39,594,613.59","55,786,269.73","16,714,750.61","35,582,522.78","54,005,444.08","74,249,083.93","21,761,872.24","42,766,153.15","65,179,850.73","89,101,040.63","24,494,402.60","46,526,258.89","67,603,079.74","89,689,195.35","21,122,105.54","42,175,202.77","63,233,010.85","72,941,876.74","17,435,141.33","33,609,969.84","46,570,106.00","64,688,011.38","14,271,839.10","31,139,541.38"
其中:非流动资产处置净损失,"376,421.52","153,792.40","134,693.57","123,711.94","149,890.71","191,702.36",,"323,182.83","507,404.71","1,090,246.07","174,670.92","577,352.53","1,026,946.65","1,590,791.69","298,763.09","765,439.91","1,423,854.95","2,845,288.88","566,492.58","1,393,198.59","3,651,186.12","4,831,756.09","577,028.14","1,929,172.01","2,553,194.34","3,310,597.30","219,476.26","978,508.64","1,725,353.33",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"14,983,501.53","16,714,474.49","21,923,981.08","13,839,367.56","22,511,048.96","28,377,445.06","4,653,055.39","12,031,173.04","22,207,215.61","37,088,926.91","13,001,856.39","28,482,663.87","45,885,807.46","61,338,746.77","18,503,736.71","38,540,268.83","58,236,570.58","79,717,274.86","19,987,294.79","46,807,455.30","64,489,018.17","83,761,082.42","15,847,262.20","28,209,864.32","37,193,578.20","47,802,114.24","10,846,012.94","23,832,315.96","37,490,080.17","52,600,581.70","12,789,522.45","28,161,031.89"
三、利润总额,"34,981,432.39","53,933,774.79","101,143,706.14","68,198,654.63","96,767,302.63","126,179,462.89","27,524,030.98","71,485,236.66","89,988,589.50","107,356,156.26","34,275,976.64","59,815,413.76","77,600,818.14","75,129,399.39","23,620,704.76","32,970,130.67","21,267,151.14","-47,209,058.57","-7,064,318.34","9,721,618.53","14,134,056.13","28,150,382.70","18,426,097.31","42,577,286.79","70,076,808.72","85,590,997.53","30,749,289.69","59,053,274.24","81,569,240.90","104,975,939.04","13,992,897.69","48,890,519.67"
