科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"720,375,869.66","859,155,591.22","1,297,124,379.78","887,831,839.37","1,425,058,940.39","1,919,914,336.22","374,155,987.49","894,278,190.24","1,448,827,880.64","1,987,441,554.39","459,545,043.48","976,845,077.56","1,550,916,793.59","2,218,005,231.14","591,943,032.92","1,197,082,374.80","1,826,255,382.39","2,495,270,419.61","622,330,374.67","1,386,349,706.07","2,141,496,934.29","2,822,355,465.51","774,202,848.24","1,601,356,181.51","2,769,435,729.76","4,360,660,373.08","1,442,871,609.84","3,227,136,514.65","5,282,789,728.73","6,908,279,241.87","1,582,358,641.10","3,447,980,933.80"
二、营业利润,"11,887,713.85","29,265,152.96","79,522,165.12","85,259,575.24","104,920,835.09","122,689,275.22","12,943,446.32","29,178,633.04","22,439,718.18","9,110,452.34","-14,766,312.71","1,745,373.28","30,889,889.38","61,025,752.74","16,086,998.89","36,775,494.41","40,146,013.74","61,411,040.15","11,808,475.09","16,196,181.25","25,410,911.90","23,260,534.00","15,081,023.86","45,216,045.88","89,230,439.41","199,610,086.81","47,101,738.63","27,835,642.09","66,297,392.13","193,320,704.09","54,049,776.75","127,468,633.76"
减:营业成本,"636,952,394.97","738,155,109.36","1,092,734,176.43","731,414,409.35","1,211,231,760.47","1,649,267,864.26","327,428,339.57","789,308,031.93","1,311,638,899.83","1,800,990,423.27","419,894,749.15","876,032,039.66","1,358,723,393.84","1,935,131,150.94","516,039,080.47","1,037,505,556.10","1,599,679,461.51","2,194,962,965.15","554,061,976.80","1,252,286,152.39","1,932,611,827.86","2,539,678,373.61","680,410,157.51","1,383,046,066.09","2,433,998,664.91","3,814,425,673.80","1,265,547,379.05","2,955,238,651.05","4,825,760,130.58","6,157,310,379.73","1,360,949,206.13","3,008,612,505.35"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,647,674.17","2,212,876.38","3,156,262.79","1,719,252.81","3,250,322.33","4,414,938.18","973,720.93","2,483,924.21","3,980,785.00","5,518,493.93","967,803.87","2,559,239.72","4,488,058.94","6,693,778.83","1,330,051.37","2,832,216.05","4,172,479.68","6,370,081.74","2,145,794.78","3,994,619.74","5,334,726.33","6,800,217.84","1,439,545.97","3,244,705.16","4,875,880.11","13,074,068.55","2,439,283.55","5,671,123.51","9,453,758.26","15,331,925.54","4,464,641.64","9,856,678.83"
营业外收入,"7,332,864.58","5,749,828.18","4,083,709.66","774,260.48","1,398,055.48","4,376,279.13","1,810,725.73","2,530,345.83","5,400,105.06","6,843,259.79","1,000,822.04","1,817,573.95","3,551,999.57","8,045,882.02","1,770,804.00","3,331,461.43","5,797,861.43","9,676,161.43","1,144,237.02","1,393,965.42","3,752,129.13","6,910,056.66","1,192,676.27","2,228,424.02","3,600,555.62","10,526,386.88","1,530,741.20","456,699.46","2,121,532.46","162,094.60","673,422.35","359,529.66"
销售费用,"31,988,317.60","41,157,750.61","53,298,011.54","27,553,397.51","39,455,340.75","53,571,630.73","11,680,224.20","29,395,396.63","44,954,035.81","69,218,586.81","19,784,946.51","40,614,606.18","64,464,260.98","90,030,883.47","21,426,589.46","45,931,151.08","65,664,789.04","92,464,758.77","20,742,040.40","47,007,449.16","63,514,950.89","93,672,283.62","27,009,307.56","60,902,019.92","84,203,441.25","145,573,403.07","58,886,270.97","107,973,916.33","173,115,363.10","234,888,926.21","44,304,238.39","106,046,923.58"
减:营业外支出,"2,380,390.85","876,214.74","1,287,615.55","881,239.78","1,252,006.66","1,019,748.62","380,435.35","967,779.28","1,324,290.34","553,058.15","460,667.98","1,029,975.16","1,617,109.90","1,359,242.95","628,483.87","1,247,897.13","2,744,351.54","4,538,610.79","642,588.09","1,381,998.83","1,130,962.90","3,112,721.03","945,495.26","1,573,088.48","2,765,071.49","4,413,118.55","19,150.78","1,169,652.74","4,392,935.43","4,258,681.71","802,558.51","892,334.18"
管理费用,"26,887,554.12","40,637,074.28","61,484,508.62","34,170,628.33","58,524,630.94","78,520,613.73","20,085,680.52","39,513,519.44","62,493,343.70","90,401,625.90","28,323,731.70","51,122,022.27","79,615,004.84","111,022,694.52","28,327,751.77","56,225,749.82","90,837,469.77","106,381,490.92","23,199,914.26","47,105,210.24","83,969,821.95","125,117,912.10","35,886,051.29","75,839,950.23","119,547,605.62","163,984,875.80","44,810,680.56","98,106,357.92","155,611,762.98","243,453,851.39","61,309,628.48","122,080,166.10"
其中:非流动资产处置净损失,"1,551,939.49","14,445.90","25,821.14",,,414.71,,"40,077.56","40,077.56","111,447.80",,,,"50,544.75",,"23,525.03","-52,257.88","61,823.94",,,,,,,,"1,272,598.37","3,059.00",,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
