科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"77,184,905.27","127,568,381.60","94,173,963.93","152,752,716.38","25,799,254.19","56,344,505.93","113,200,350.06","202,537,982.90","40,107,246.58","93,932,962.44","159,919,279.40","293,109,270.08","41,357,930.90","109,113,490.77","153,423,878.61","264,028,848.67","32,514,425.75","92,388,334.48","155,893,048.56","312,899,446.55","55,548,214.38","123,550,709.44","177,477,913.83","361,112,846.67","62,312,960.55","157,044,625.14","260,905,485.76","467,150,995.75","87,725,873.84","237,825,212.65","423,911,885.52","833,150,645.25","190,653,814.02","403,261,658.14","717,297,202.85","1,249,758,548.46","236,208,635.06","553,295,517.51"
二、营业利润,"15,533,508.19","15,065,328.44","13,651,500.04","23,833,958.57","-4,669,987.15","-1,549,551.38","1,015,521.95","28,115,893.60","-761,587.55","3,648,824.16","10,912,817.10","40,685,627.73","-2,623,608.29","-848,878.10","-4,750,934.39","-12,797,506.36","-5,671,996.76","-24,224,486.10","-5,689,254.74","43,091,214.22","-2,673,364.34","-17,836,593.99","-24,591,416.04","27,897,598.29","-3,376,622.97","-4,947,833.94","-3,514,275.17","40,108,047.81","-909,339.50","4,002,357.42","26,652,946.81","112,013,145.98","6,741,043.47","27,084,064.40","71,906,089.67","198,242,115.72","13,796,961.59","39,978,756.51"
减:营业成本,"27,968,111.00","55,172,687.84","35,627,220.74","62,822,285.04","6,656,183.08","11,224,644.40","34,895,168.20","64,205,977.99","10,923,559.21","24,459,102.12","41,966,262.19","78,394,991.50","8,344,189.85","30,767,468.73","42,395,365.20","97,211,711.90","8,528,615.02","42,420,488.76","66,239,771.08","99,460,561.81","19,612,486.99","57,824,888.03","71,419,428.38","121,225,315.37","22,466,687.50","69,805,119.14","114,605,766.69","166,091,386.54","27,925,315.00","94,005,200.22","162,343,564.62","305,085,372.85","76,392,241.59","159,474,889.06","285,858,717.71","509,948,911.52","111,677,197.47","227,379,115.45"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,573,071.62","2,678,717.90","2,503,846.99","3,339,504.75","152,583.58","1,322,986.42","2,877,154.15","4,269,328.86","1,062,959.75","2,345,349.75","4,451,312.48","6,755,387.93","1,243,999.63","3,152,125.61","4,294,138.13","-2,350,318.62","243,764.36","587,822.23","1,188,161.13","2,287,231.14","343,919.11","1,031,846.71","1,885,704.16","3,436,492.86","472,396.84","1,052,385.77","2,022,405.86","4,191,716.99","657,447.02","1,227,977.24","1,853,999.12","6,473,315.24","730,655.50","4,060,910.22","5,335,102.97","12,177,143.00","942,133.63","4,030,483.90"
营业外收入,"7,264,316.11","7,269,397.73","6,698,955.17","10,626,917.45","5,474,681.74","7,687,438.05","13,865,152.25","20,503,951.58","1,886,242.29","4,366,250.13","5,236,299.37","13,642,757.11","858,463.34","2,882,726.07","9,426,106.01","17,562,799.78","5,028,095.21","11,541,375.98","16,294,433.75","19,444,506.72","3,301,488.77","9,169,549.58","16,546,323.48","24,152,514.34","1,822,539.31","9,181,552.04","14,774,772.24","23,536,250.32","3,896,187.20","9,741,673.13","13,691,393.99","34,251,058.08","2,209,463.28","1,566,151.10","2,794,675.65","5,108,706.84","85,958.93","1,677,219.48"
销售费用,"7,848,862.40","12,798,777.10","14,365,322.16","15,729,961.73","8,391,998.75","18,633,582.27","30,617,485.46","34,823,370.90","9,995,169.95","22,989,009.49","39,212,081.96","56,964,243.07","11,588,717.49","27,789,779.96","43,371,694.88","61,530,487.64","11,849,828.77","26,966,876.56","43,979,565.39","69,340,478.85","15,879,617.62","30,832,680.29","47,685,077.32","65,177,642.59","14,806,716.50","32,874,990.07","52,689,888.19","85,679,359.54","16,029,112.96","39,246,790.22","62,504,803.19","113,928,371.94","30,775,840.73","54,668,881.34","86,995,424.51","155,240,147.96","24,155,303.39","64,700,572.58"
减:营业外支出,"1,072,807.86","102,561.83","85,697.17","85,834.87","185,071.12","218,891.38","235,597.53","62,151.29","108,428.97","54,271.46","85,076.54","433,088.57","20,671.32","50,585.26","71,300.14","345,674.95","68,402.49","140,362.08","189,185.87","371,299.26","8,487.58","121,307.09","210,766.56","321,953.35","42,158.67","127,767.97","338,617.01","446,612.85","70,579.52","130,309.06","344,198.72","402,180.71","245,859.99","286,906.62","326,390.87","53,809.28","41,224.26","229,436.09"
管理费用,"23,910,826.71","40,564,736.57","27,878,331.96","44,809,063.59","14,367,252.16","26,769,690.55","41,244,821.57","73,840,714.55","18,875,481.11","39,059,536.66","62,891,942.91","108,286,196.63","23,255,883.66","50,863,947.96","71,763,031.68","128,485,828.58","17,698,011.53","46,887,520.25","70,272,721.54","108,140,014.01","23,176,405.30","55,841,978.14","86,049,665.10","139,383,557.62","29,160,180.62","60,054,052.62","94,556,100.12","169,954,198.60","43,223,032.64","98,407,523.58","168,152,783.58","285,795,871.36","74,664,776.34","169,983,538.44","278,959,406.74","403,303,038.42","84,979,255.04","203,268,328.97"
其中:非流动资产处置净损失,"1,069,331.78",,"85,128.64","85,128.64",,"28,331.09",,"56,644.32",,"53,646.19","83,116.74","423,261.20","20,671.32","50,467.72","70,741.22","84,175.36","68,402.49","140,162.08","186,382.73","263,050.50",,"81,793.71","147,808.80","227,725.04","31,062.53","92,615.05","290,863.31","394,640.10","56,682.59","118,122.23","256,151.89","297,181.12","227,812.09","251,279.63","268,329.42",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
