科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"198,749,838.33","281,837,423.24","330,262,686.86","64,209,438.47","167,203,804.71","268,599,744.02","469,367,891.25","104,593,349.40","263,601,890.92","403,980,996.48","616,708,739.90","124,814,535.38","271,310,635.36","416,527,199.49","688,852,711.28","129,883,418.19","289,671,967.16","442,653,708.68","747,936,218.09","175,869,272.05","415,695,370.27","674,130,362.51","994,786,279.78","301,250,085.21","555,052,010.71","807,651,356.15","1,272,689,808.46","340,388,084.20","731,659,221.04","1,185,211,769.10","1,687,510,670.27","499,183,121.46","997,044,235.73","1,424,267,428.78","2,014,561,437.21"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"-9,415,974.97","108,934,025.03",,"-45,059,909.69","-45,059,909.69",,,,,,,,,,,,,
收到的税费返还,"8,836,045.01","13,375,977.96","14,984,361.60","6,008,708.64","11,170,489.99","16,685,643.10","26,164,688.07","4,757,802.93","7,872,013.82","15,240,545.95","37,833,611.82","2,620,524.42","19,221,263.97","26,356,636.71","47,334,607.19","14,443,913.94","30,602,461.35","34,530,515.71","60,608,836.39","16,127,089.26","25,083,637.81","37,552,035.65","55,342,856.91","13,036,721.99","21,684,681.77","41,106,791.44","55,653,938.66","16,247,753.01","31,709,793.08","53,011,153.48","83,884,772.11","40,918,488.81","65,978,658.73","87,114,515.07","115,865,731.40"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,338,700.00","36,500,000.00","9,850,000.00","277,402,908.21","285,375,900.21","34,620,203.62","44,620,203.62","156,463,203.62","240,861,703.62"
收到其他与经营活动有关的现金,"1,855,264.70","23,234,084.00","41,148,437.71","1,683,763.42","3,700,587.72","14,215,076.33","22,734,068.39","3,788,928.40","13,815,959.77","24,317,102.58","33,109,498.06","2,465,453.20","19,345,396.39","22,247,452.83","30,316,347.09","3,367,743.30","7,224,801.92","15,639,299.33","33,921,283.49","3,863,113.50","16,395,996.16","18,770,510.76","33,616,452.10","1,927,077.26","39,363,352.99","48,448,689.69","52,262,973.55","8,791,898.25","58,707,224.77","82,350,997.97","57,008,400.38","38,538,803.75","5,290,006.94","18,823,384.81","46,402,918.21"
投资活动现金流出小计,"9,944,485.64","60,795,235.96","102,650,266.11","15,575,492.42","29,365,782.20","60,914,130.32","76,987,283.25","26,635,649.39","53,330,712.98","112,240,156.70","190,679,672.36","20,538,532.94","96,697,466.36","170,106,617.79","202,074,555.88","48,652,225.59","155,000,944.63","286,005,275.19","401,171,324.43","15,260,907.25","10,556,015.26","25,348,669.07","104,905,387.46","18,236,688.05","40,761,200.94","71,863,567.28","133,179,523.68","83,262,892.74","510,942,574.76","900,111,660.54","991,026,328.90","109,422,692.72","237,872,962.29","513,416,394.80","756,954,431.57"
经营活动现金流入小计,"209,441,148.04","318,447,485.20","386,395,486.17","71,901,910.53","182,074,882.42","299,500,463.45","518,266,647.71","113,140,080.73","285,289,864.51","443,538,645.01","687,651,849.78","129,900,513.00","309,877,295.72","465,131,289.03","766,503,665.56","147,695,075.43","327,499,230.43","492,823,523.72","842,466,337.97","195,859,474.81","457,175,004.24","730,452,908.92","1,083,745,588.79","316,213,884.46","616,100,045.47","897,206,837.28","1,380,606,720.67","365,427,735.46","822,076,238.89","1,320,573,920.55","1,828,403,842.76","578,640,414.02","1,068,312,901.40","1,530,205,328.66","2,176,830,086.82"
投资活动产生的现金流量净额,"-1,397,185.64","-49,139,627.16","-91,667,491.41","-13,817,650.79","-16,160,756.32","-47,708,976.34","-63,458,749.27","-26,634,250.14","-53,329,313.73","-98,199,559.18","-176,631,134.84","-20,458,532.94","-84,917,466.36","-158,326,617.79","-190,251,777.90","-48,652,225.59","-139,400,944.63","-264,973,560.19","-280,744,765.59","-15,160,707.25","100,256,954.74","90,964,538.41","80,900,295.52","-18,236,588.05","-35,614,013.56","-63,063,756.60","-124,484,786.56","-83,052,123.74","-486,525,360.22","-832,439,103.77","-824,437,409.56","-7,926,468.17","-64,421,049.27","-71,825,349.39","-48,540,323.78"
购买商品、接受劳务支付的现金,"105,493,712.24","162,543,017.20","169,196,943.23","51,298,780.74","91,811,060.75","175,867,651.44","264,713,388.79","78,024,254.76","159,250,070.97","254,580,195.86","361,671,163.32","99,041,814.44","180,241,125.81","301,506,893.51","386,943,057.08","108,492,743.79","176,675,333.39","295,247,329.82","443,889,293.88","151,876,616.92","290,958,419.74","429,758,966.14","551,233,234.04","156,392,260.11","288,727,678.57","451,638,599.42","644,070,061.34","216,615,128.07","442,399,424.19","730,835,405.65","1,006,033,983.52","255,977,584.97","482,095,588.09","714,095,266.49","1,024,072,362.57"
吸收投资收到的现金,"29,200,537.53","2,400,000.00",,"805,124,400.00","805,124,400.00","805,124,400.00","805,124,400.00",,,,,,,,,,"6,000,000.00","6,000,000.00","6,000,000.00",,,,,,,,,"21,000,000.00","396,893,314.30","396,893,314.30","396,893,314.30","27,500,000.00","27,500,000.00","27,500,000.00","27,500,000.00"
