科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月
销售商品、提供劳务收到的现金,"63,540,454.41","137,636,012.27","331,325,294.42","753,708,480.95","95,769,231.74","264,348,127.45","433,520,896.77","882,647,036.99","85,035,449.20","218,220,044.09","506,596,092.89","1,217,699,380.90","132,243,961.96","336,587,423.52","577,255,627.00","1,067,813,403.46","78,520,022.96","290,387,381.72","580,903,119.72","1,311,428,703.94","117,676,044.81","370,648,803.01","794,143,077.33","1,658,764,622.85","165,528,883.62","367,032,400.62","645,922,273.16","1,627,576,405.12","214,349,283.45","493,729,142.45","832,244,929.74","1,822,428,406.20","279,814,355.11","655,891,338.14","1,004,092,628.97","2,119,427,201.68","185,418,860.49","541,722,466.89","1,006,059,963.05"
取得子公司及其他营业单位支付的现金净额,,,,"82,773,506.24","8,122,563.15","8,343,288.18","8,343,288.18","8,343,288.18",,"58,500,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"375,488.72","375,488.72","809,028.74","3,231,960.38",,,"4,402,607.33","6,858,934.61","301,542.34","829,851.00","2,822,487.23","3,468,243.57","54,787.64","2,269,223.62","2,795,391.92","3,034,286.23","31,638.22","379,482.05","922,926.17","1,147,671.48",,,"2,787,985.50","15,528,221.31","218,123.37","2,579,698.54","11,828,513.47","21,215,796.43","215,531.63","6,827,550.26","11,584,393.47","28,592,662.43","795,278.37","4,310,371.45","14,911,331.60","28,588,741.15","148,666.83","4,683,666.77","18,639,570.78"
支付其他与投资活动有关的现金,,,,"1,131,849.23",,,,,,,,,,,"1,760,000.00","19,670,604.89",,"106,839.36","106,839.36",,"295,266.91","295,266.91","295,266.91",,,,,,,,,"264,761.43",,,,,,,
收到其他与经营活动有关的现金,"5,430,288.57","9,927,175.24","13,968,231.42","43,036,788.37","112,496,173.94","157,573,465.69","264,488,156.80","108,541,190.98","3,877,720.18","38,189,701.91","41,239,880.34","46,404,040.12","4,196,876.69","15,927,154.82","18,026,319.46","39,392,448.86","7,930,039.10","33,701,900.34","46,616,271.77","42,577,186.56","6,376,907.09","48,942,789.63","66,000,238.50","77,870,413.46","19,446,381.60","62,002,261.74","103,017,894.22","71,461,965.65","14,996,409.45","70,820,825.19","99,255,876.51","115,819,972.84","18,651,749.05","59,628,489.62","274,103,699.14","136,729,034.51","17,130,945.66","58,281,383.28","99,320,085.81"
投资活动现金流出小计,"5,521,448.06","101,835,241.66","120,227,689.40","137,829,138.29","24,178,371.13","41,369,085.57","51,625,164.12","61,883,542.52","9,453,227.25","75,640,501.40","82,768,481.99","157,052,237.99","2,908,818.26","47,876,418.06","87,178,055.18","131,990,166.90","23,948,178.50","68,832,838.14","121,981,374.36","313,286,943.64","10,177,954.38","69,605,111.80","125,929,285.22","61,709,173.33","110,576,293.79","197,250,282.50","280,492,456.64","416,024,011.14","121,339,659.74","171,100,710.24","230,727,336.44","341,077,162.10","32,464,385.98","157,881,837.17","493,703,839.01","368,887,028.06","320,517,239.36","589,933,022.71","670,003,867.64"
经营活动现金流入小计,"69,346,231.70","147,938,676.23","346,102,554.58","799,977,229.70","208,265,405.68","421,921,593.14","702,411,660.90","998,047,162.58","89,214,711.72","257,239,597.00","550,658,460.46","1,267,571,664.59","136,495,626.29","354,783,801.96","598,077,338.38","1,110,240,138.55","86,481,700.28","324,468,764.11","628,442,317.66","1,355,153,561.98","124,052,951.90","419,591,592.64","862,931,301.33","1,752,163,257.62","185,193,388.59","431,614,360.90","760,768,680.85","1,720,254,167.20","229,561,224.53","571,377,517.90","943,085,199.72","1,966,841,041.47","299,261,382.53","719,830,199.21","1,293,107,659.71","2,284,744,977.34","202,698,472.98","604,687,516.94","1,124,019,619.64"
投资活动产生的现金流量净额,"-3,648,885.56","-89,961,459.68","9,498,320.61","-7,907,828.28","7,842,667.87","6,244,127.05","-2,343,606.79","168,159,909.87","-9,445,227.25","-75,589,621.40","-62,847,064.70","210,272,551.90","53,242,115.74","72,366,155.94","36,908,928.36","21,849,639.09","-23,948,178.50","-57,832,838.14","-109,408,645.76","-300,614,640.99","-10,160,954.38","-45,225,811.93","-67,375,086.82","-46,111,349.89","-100,512,559.79","-182,261,836.20","-178,049,849.63","-207,886,211.07","-120,821,370.69","-100,672,320.14","-101,470,638.65","-140,256,845.98","17,531,799.72","5,620,992.63","-121,945,032.74","149,257,107.43","-244,692,006.86","-251,778,318.08","-159,991,860.93"
购买商品、接受劳务支付的现金,"74,015,620.96","108,102,640.13","288,195,621.44","584,517,263.40","135,775,006.17","265,996,842.38","372,412,553.61","676,989,031.43","81,663,539.93","209,300,812.47","510,664,668.85","1,017,638,802.05","158,120,632.51","350,038,686.41","552,461,375.47","827,653,329.02","170,493,382.70","348,507,863.68","614,136,786.65","959,939,523.22","250,551,462.50","489,746,955.75","861,139,025.03","1,372,753,322.60","290,224,164.79","511,058,600.30","762,474,916.56","1,330,307,385.54","340,009,192.30","620,491,285.97","891,711,888.45","1,267,842,859.01","346,109,662.89","755,469,585.71","1,101,736,076.73","1,491,804,987.25","372,471,493.52","749,495,608.16","1,061,988,133.98"
吸收投资收到的现金,,,,,,,,,"1,000,000.00","1,000,000.00","1,000,000.00","92,500,000.00",,,,,,,,,,,,,,,,,,,,"979,599,976.20",,,,,,,
