科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"210,219,141.65","200,630,035.04","301,125,036.59","340,489,656.16","781,400,832.19","451,062,339.28","499,818,701.99","450,123,113.56","601,074,273.82","472,542,147.77","416,950,288.14","440,068,167.71","447,818,355.59","395,144,018.29","378,633,957.25","364,897,195.71"
短期借款,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"100,130,474.07","188,514,692.99","309,797,298.05","286,305,812.18","238,512,789.33","190,454,670.31","204,037,877.71","232,734,955.17","248,065,355.67","260,768,981.49","285,655,888.18","281,809,533.32","268,553,850.65","213,488,025.66","217,188,463.21","297,319,138.55"
应付票据,"83,610,700.99","92,009,083.86","125,302,881.17","131,618,604.23","108,958,723.08","81,590,272.73","93,906,062.68","114,354,589.53","118,755,489.00","129,842,601.61","153,688,443.76","187,053,098.15","171,160,260.45","131,437,566.68","138,486,202.98","173,991,080.44"
应收账款,"134,590,582.62","181,500,040.66","85,600,527.42","65,400,032.07","48,632,749.48","81,643,485.53","78,563,644.65","80,157,782.54","62,836,394.45","93,424,541.04","101,742,518.07","73,355,802.14","52,861,585.03","85,067,894.45","157,975,864.43","45,477,889.66"
应付账款,"67,734,572.92","72,672,483.09","70,355,187.45","56,082,744.09","45,123,966.93","64,645,143.85","61,225,239.12","71,297,655.65","80,956,764.01","97,685,406.30","111,917,563.06","80,817,542.32","66,438,637.32","84,055,132.59","115,730,278.70","61,156,585.54"
预付款项,"3,288,532.43","742,180.00","1,712,281.74","2,392,450.31","2,622,131.02","4,036,028.37","4,026,622.27","10,487,564.37","13,730,165.99","14,221,097.28","3,038,531.31","3,070,447.69","3,177,500.93","3,066,549.16","2,844,083.30","4,105,656.41"
预收款项,"500,000.00",,,"20,000.00",,,,,,,,,,,,"3,391,620.02"
