科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"430,792,973.64","519,672,865.79","485,100,299.79","231,147,444.93",,"503,744,765.38","114,398,949.60","244,042,489.07","378,363,439.52","624,295,771.45","205,787,844.64"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"130,000,000.00","104,749,624.66","299,000.00"
收到的税费返还,"12,861,108.65","16,950,046.12","35,022,299.61","6,417,772.89",,"17,303,034.60","3,782,109.01","9,142,268.13","11,835,860.31","19,524,075.17","12,988,064.59"
支付其他与投资活动有关的现金,,,,,,,,"486,339,000.00","725,939,000.00","1,122,139,000.00","268,000,000.00"
收到其他与经营活动有关的现金,"4,711,754.74","12,780,802.93","6,063,980.23","1,642,142.78",,"7,391,836.32","2,982,024.75","3,698,493.99","6,437,418.64","33,201,772.74","25,601,045.45"
投资活动现金流出小计,"113,412,627.99","104,935,727.75","36,211,472.07","20,277,358.39",,"25,221,505.15","3,969,450.52","498,856,149.13","869,441,066.56","1,279,331,626.74","288,544,690.11"
经营活动现金流入小计,"448,365,837.03","549,403,714.84","526,186,579.63","239,207,360.60",,"528,439,636.30","121,163,083.36","256,883,251.19","396,636,718.47","677,021,619.36","244,376,954.68"
投资活动产生的现金流量净额,"-111,460,620.30","-104,190,227.75","-34,775,972.07","-20,277,358.39","-18,593,000.00","-23,139,805.15","-3,969,450.52","-318,067,922.59","-421,498,914.87","-497,396,994.93","-18,820,522.93"
购买商品、接受劳务支付的现金,"299,512,221.43","374,641,795.07","323,773,604.42","146,295,399.84",,"331,416,254.85","99,876,467.88","192,763,011.67","305,140,263.86","468,980,791.47","181,530,950.32"
吸收投资收到的现金,,,,,,,"357,599,242.59","366,400,000.00","358,135,293.35","366,792,000.00",
支付给职工以及为职工支付的现金,"30,872,402.83","41,832,004.53","52,922,268.68","29,877,029.45",,"53,940,832.65","14,985,020.04","26,019,521.20","38,599,425.38","67,400,779.23","28,172,645.66"
取得借款收到的现金,"133,000,000.00","190,000,000.00","504,000,000.00","14,500,000.00",,"45,500,000.00","28,000,000.00",,"202,500,000.00","242,500,000.00","9,900,000.00"
支付的各项税费,"13,182,224.44","13,160,028.94","15,662,435.29","15,296,614.88",,"22,048,603.75","5,266,918.61","8,444,256.40","12,327,459.40","18,234,036.91","8,926,713.67"
收到其他与筹资活动有关的现金,,,,,,,,,,,
支付其他与经营活动有关的现金,"39,079,061.14","49,104,606.48","40,795,893.78","16,992,424.89",,"37,266,392.76","5,908,593.83","14,806,245.39","23,419,886.63","43,546,310.56","40,553,335.28"
筹资活动现金流入小计,"133,000,000.00","190,000,000.00","504,000,000.00","14,500,000.00",,"45,500,000.00","385,599,242.59","366,400,000.00","560,635,293.35","609,292,000.00","9,900,000.00"
经营活动现金流出小计,"382,645,909.84","478,738,435.02","433,154,202.17","208,461,469.06",,"444,672,084.01","126,037,000.36","242,033,034.66","379,487,035.27","598,161,918.17","259,183,644.93"
偿还债务支付的现金,"83,000,000.00","151,000,000.00","551,000,000.00","19,500,000.00",,"95,500,000.00","68,000,000.00","40,000,000.00","73,000,000.00","112,849,119.45","10,343,709.59"
经营活动产生的现金流量净额,"65,719,927.19","70,665,279.82","93,032,377.46","30,745,891.54","51,910,200.00","83,767,552.29","-4,873,917.00","14,850,216.53","17,149,683.20","78,859,701.19","-14,806,690.25"
分配股利、利润或偿还利息支付的现金,"32,314,284.43","5,880,626.69","6,327,227.93","1,813,915.80",,"3,123,102.79","265,398.33","12,270,533.74","12,477,993.70","14,635,682.67","1,992,060.31"
收回投资收到的现金,,,,,,,,,"2,621,947.36",,
支付其他与筹资活动有关的现金,,,"2,604,271.37","405,725.31",,"1,108,566.88",,"8,656,706.65",,"8,656,706.65",
取得投资收益收到的现金,,,,,,,,"2,114,816.14",,"5,344,837.04","2,504,698.43"
筹资活动现金流出小计,"115,314,284.43","156,880,626.69","559,931,499.30","21,719,641.11",,"99,731,669.67","68,265,398.33","60,927,240.39","85,477,993.70","136,141,508.77","12,335,769.90"
处置固定资产、无形资产和其他长期资产收回的现金净额,"9,807.69","8,800.00",,,,"57,000.00",,,,"13,675.21",
筹资活动产生的现金流量净额,"17,685,715.57","33,119,373.31","-55,931,499.30","-7,219,641.11","-27,988,500.00","-54,231,669.67","317,333,844.26","305,472,759.61","475,157,299.65","473,150,491.23","-2,435,769.90"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,757,523.11","-779,032.01","3,242,426.85","311,844.02",,"1,567,353.70","-299,630.78","-667,423.79","-1,338,282.50","-2,463,582.27","-2,559,388.60"
收到其他与投资活动有关的现金,"1,942,200.00","736,700.00","1,435,500.00",,,"2,024,700.00",,"178,673,410.40","445,320,204.33","776,576,119.56","267,219,468.75"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"1,952,007.69","745,500.00","1,435,500.00",,,"2,081,700.00",,"180,788,226.54","447,942,151.69","781,934,631.81","269,724,167.18"
五、现金及现金等价物净增加额,"-29,812,500.65","-1,184,606.63","5,567,332.94","3,560,736.06","5,286,000.00","7,963,431.17","308,190,845.96","1,587,629.76","69,469,785.48","52,149,615.22","-38,622,371.68"
购建固定资产、无形资产和其他长期资产支付的现金,"113,412,627.99","104,935,727.75","36,211,472.07","20,277,358.39",,"25,221,505.15","3,969,450.52","12,517,149.13","13,502,066.56","52,443,002.08","20,245,690.11"
期初现金及现金等价物余额,"48,149,245.84","18,336,745.19","17,152,138.56","22,719,471.50",,"22,719,471.50","30,682,902.67","30,682,902.67","30,682,902.67","30,682,902.67","82,832,517.89"
投资支付的现金,,,,,,,,,,,
期末现金及现金等价物余额,"18,336,745.19","17,152,138.56","22,719,471.50","26,280,207.56",,"30,682,902.67","338,873,748.63","32,270,532.43","100,152,688.15","82,832,517.89","44,210,146.21"
