科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"692,654,884.12","573,164,642.09","598,400,530.99","400,264,986.56","611,197,930.92","856,949,483.17","233,727,669.43","492,004,282.70","750,899,294.66","1,014,390,506.13","280,419,347.53","531,346,802.81","754,592,903.66","1,022,908,142.88","310,253,147.48","573,519,098.34","846,598,624.39","1,210,342,475.57","331,188,808.63","569,179,742.02","819,691,775.62","1,175,596,760.23","340,315,821.72","631,498,819.64","989,988,660.85","1,526,340,455.58","467,010,424.00","1,008,620,732.64","1,465,585,984.89","1,980,929,383.07","378,796,827.21","745,027,104.05","1,142,383,536.99","1,624,485,263.90","344,585,068.84","719,509,526.92","1,110,926,225.58","1,519,303,288.06","295,381,840.06"
二、营业利润,"270,027,669.59","70,094,676.04","71,800,500.83","39,035,319.63","58,553,989.17","80,225,678.25","18,797,309.77","47,446,463.41","70,821,953.19","92,186,312.81","22,266,722.14","53,587,272.02","81,058,744.87","110,391,554.51","24,371,430.55","54,114,847.78","85,335,830.46","125,925,886.89","22,805,838.09","46,942,011.07","74,639,731.59","126,744,901.31","54,365,867.50","111,126,815.90","185,385,567.58","266,043,049.38","76,318,234.65","165,965,896.08","246,002,707.49","329,441,558.46","38,260,305.80","79,247,364.93","120,468,784.42","219,817,031.32","47,569,658.67","81,207,496.44","153,747,314.18","-1,136,900,934.83","43,070,063.50"
减:营业成本,"532,456,661.46","426,858,747.28","430,132,952.72","302,267,441.12","466,352,332.92","653,658,506.72","174,532,277.97","371,151,198.71","571,502,163.85","770,534,449.67","212,647,060.82","403,737,059.53","566,616,927.27","765,444,626.64","231,825,330.42","421,598,112.80","624,381,538.22","902,386,818.07","255,117,753.42","430,897,144.01","622,730,331.68","870,222,474.00","224,419,192.97","415,766,016.89","643,060,824.36","979,615,384.78","287,059,951.52","622,137,234.57","903,721,407.42","1,255,664,886.94","268,778,196.88","516,392,185.79","789,697,264.93","1,126,356,129.70","249,794,016.04","506,797,986.78","751,766,357.57","1,056,356,845.31","182,379,044.78"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,488,655.56","3,775,998.25","3,152,985.66","1,186,173.37","1,545,873.31","2,163,999.99","827,589.61","1,093,007.42","2,994,332.42","3,937,419.21","1,497,768.36","2,848,691.67","4,323,869.64","5,250,660.87","1,102,576.96","3,095,232.17","3,710,043.17","5,767,202.68","2,545,935.20","4,097,301.90","5,546,538.88","7,325,065.43","2,302,647.10","4,948,989.69","7,021,013.89","10,463,451.10","2,562,664.66","5,568,270.09","9,136,160.18","16,139,583.82","3,206,274.76","7,767,301.44","11,048,635.90","15,568,031.88","2,309,476.27","6,420,303.61","10,554,835.47","16,125,956.87","3,387,857.07"
营业外收入,"29,523,100.20","4,716,605.80","6,360,129.41","2,438,038.30","2,824,211.69","6,163,703.92","1,514,013.08","2,675,313.08","3,034,983.85","4,208,417.31","378,553.80","1,876,140.36","2,582,995.96","3,597,368.05","1,175,043.95","2,364,717.25","4,156,753.00","4,745,596.68","128,000.00","2,734,327.85","3,690,752.39","11,265,193.54","6,159,311.80","10,006,945.25","20,613,328.20","27,255,858.34","6,394,284.20","9,062,549.56","20,780,050.28","25,258,337.57","5,940,984.39","25,995,278.23","34,828,085.00","512,568.09","8,035.51","208,184.55","162,052.40","7,660,495.19","6,707.02"
销售费用,"32,287,092.01","33,080,991.09","47,546,217.68","30,955,801.51","42,744,978.07","64,364,770.10","16,585,789.49","31,863,222.43","49,148,817.62","73,383,453.70","18,099,811.06","32,791,922.82","47,139,214.48","64,113,243.00","29,249,197.56","48,385,388.42","70,123,916.57","96,060,697.29","20,146,941.27","42,583,167.82","55,778,475.22","79,794,844.84","15,175,843.59","25,958,886.73","42,328,176.28","72,224,430.53","22,886,712.53","50,587,979.27","77,977,127.49","116,676,621.33","20,290,253.94","37,181,914.57","57,398,611.09","94,259,855.30","15,718,093.17","45,355,724.93","66,547,663.79","97,141,204.91","12,468,473.09"
减:营业外支出,"4,567,165.73","511,883.59","343,804.20","269,024.00","960,718.34","1,063,913.27","5,726.05","9,935.19","677,654.54","2,360,479.11",,"129,225.86","294,106.13","928,193.62","3,322.68","7,962.57","10,961.27","11,081.27","5,568.87","949,202.34","1,018,165.64","1,174,458.08","4,571.34","6,133.67","32,819.38","27,762.47","496,020.07","568,820.39","769,496.83","1,142,488.93","163,526.91","174,676.44","333,329.74","924,734.49","70,621.42","912,695.89","1,090,597.28","1,638,390.38","2,970.22"
管理费用,"31,160,247.37","35,910,053.23","39,443,783.60","21,955,274.77","33,260,456.28","48,140,406.73","19,106,929.71","38,103,622.12","51,417,467.26","72,316,020.23","24,362,275.07","40,973,202.05","57,608,584.41","81,802,016.79","21,195,874.29","45,497,909.29","60,135,917.88","78,734,033.55","27,248,268.57","43,585,223.74","62,210,942.14","101,632,480.78","40,295,584.97","72,821,380.86","108,657,519.40","184,676,910.57","63,446,453.79","128,180,571.97","176,179,588.60","248,397,378.40","49,326,161.72","104,236,619.44","164,180,093.21","223,483,923.45","50,360,005.11","102,553,231.87","65,337,269.06","107,628,678.14","26,769,060.28"
其中:非流动资产处置净损失,"4,437,285.11","385,663.62","184,515.41","140,025.63",,"728,914.90",,,,"731,479.11",,"10,340.36",,"320,207.67",,"7,962.57",,"7,887.24",,"948,565.91",,"956,715.31",,"5,479.92",,"8,452.35",,"563,472.53",,"756,234.43",,"128,730.43","256,968.78",,,,,,
