科目,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"100,121,788.19","33,035,174.38","124,583,996.18","52,985,098.69","209,824,528.74","103,137,047.91","265,127,910.41","151,217,423.12","360,326,491.44","209,651,874.14","516,650,536.48","274,494,209.84","714,235,239.84","375,479,935.61","911,464,692.14","148,873,293.51","482,108,503.22","752,552,249.80","1,117,448,993.36","153,903,128.93","481,897,235.25","807,713,619.02","1,261,973,945.44","173,917,389.67","631,047,444.26","1,209,652,606.23"
二、营业利润,"14,814,772.13","3,302,433.20","19,616,088.80","4,666,277.06","32,525,841.20","7,198,597.80","44,743,614.50","20,726,743.03","64,017,198.75","27,331,777.70","80,688,894.87","29,800,796.71","86,528,325.55","27,779,530.25","89,207,541.63","-15,285,428.80","31,499,549.29","57,073,494.97","92,501,781.93","-14,033,171.62","35,906,116.35","55,922,285.07","97,657,512.41","-15,422,662.42","33,026,734.91","74,459,779.91"
减:营业成本,"76,485,029.68","21,907,962.01","92,797,506.51","36,791,958.79","134,812,043.16","63,865,803.54","157,900,473.56","90,820,858.67","213,322,261.65","128,726,074.37","320,778,173.81","176,434,863.21","469,425,163.54","254,948,239.92","631,146,171.48","122,461,046.09","355,128,272.70","549,945,617.64","817,924,559.51","112,300,660.21","337,294,989.94","573,977,694.09","919,996,321.95","124,177,906.45","471,154,896.81","928,205,865.44"
加:补贴收入,,,"918,363.00",,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"446,556.30","98,844.80","728,838.72","271,865.23","1,508,929.09","661,204.46","1,852,038.30","959,012.45","3,041,566.66","1,455,245.91","4,517,554.74","2,507,245.13","3,879,319.52","1,503,658.97","4,870,030.26","116,902.69","2,619,799.33","4,665,843.91","5,648,515.54","1,650,048.67","4,366,436.43","5,948,896.54","10,909,790.44","915,319.38","4,115,622.32","6,019,583.06"
营业外收入,,600.00,600.00,"142,358.32","2,005,400.00","385,752.40","4,104,410.15","289,344.99","1,902,230.33","197,000.54","1,529,989.66","183,965.50","4,683,780.97","3,606,577.25","4,690,705.81","1,786,422.88","3,091,900.16","3,305,985.06","6,852,779.48","782,886.82","1,133,319.23","1,905,379.67","5,893,064.52","3,456,712.34","5,127,967.99","8,341,610.27"
销售费用,"2,626,628.59","3,420,003.49","4,493,466.07","5,074,058.40","17,866,582.49","13,620,398.11","29,145,126.89","18,527,848.01","41,326,900.73","24,383,393.02","56,987,707.35","29,277,800.83","80,751,310.64","44,897,842.03","100,958,748.27","20,729,208.66","46,627,057.35","77,996,533.36","116,934,731.21","35,573,505.31","59,894,816.63","104,343,220.89","143,575,495.50","42,398,661.71","75,214,562.72","114,122,324.89"
减:营业外支出,"82,250.14","29,295.82","58,810.52","134,617.56","211,932.09","80,526.39","497,520.25","54,254.86","67,675.68","10,735.52","16,382.46","56,856.86","81,142.15","69,011.28","3,757,543.81","65,118.17","149,230.12","181,480.85","152,513.51","211,083.42","579,937.68","579,937.68","620,736.36",,,"49,289.86"
管理费用,"4,757,498.57","3,964,678.98","5,892,785.97","6,067,261.88","19,891,869.65","14,427,992.88","27,004,205.25","14,458,206.88","29,484,964.35","20,913,418.37","47,080,996.08","27,858,662.99","63,102,433.09","37,472,434.99","74,522,624.42","19,751,328.33","35,161,942.15","52,043,470.49","70,935,150.90","19,005,543.80","40,397,486.81","61,640,210.53","77,846,805.46","21,615,020.20","41,296,314.30","80,659,921.24"
其中:非流动资产处置净损失,,,,,,"21,622.50","25,140.36","54,254.86",,"10,735.52","16,382.46","56,856.86","79,785.58","68,816.80","3,757,543.81",,"85,415.56","118,176.59","151,398.75","211,083.42","474,347.68","474,347.68","495,771.42",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,011,146.45","339,292.53","1,066,755.58","113,677.33","1,618,726.57","2,153,175.88","3,957,304.61","2,943,618.71","5,044,003.65","3,211,223.09","5,275,420.86","2,665,616.55","4,296,060.41","716,481.77","1,889,171.15","425,795.46","3,154,492.21","2,909,899.24","2,561,513.30","-593,457.44","-1,033,189.68","-1,189,266.87","-2,315,111.75","233,144.35","-206,128.32","3,112,789.33"
三、利润总额,"14,732,521.99","3,273,737.38","20,476,241.28","4,701,790.41","34,319,309.11","7,503,823.81","48,350,504.40","20,961,833.16","65,851,753.40","27,518,042.72","82,202,502.07","29,927,905.35","91,130,964.37","31,317,096.22","90,140,703.63","-13,564,124.09","34,442,219.33","60,197,999.18","99,202,047.90","-13,461,368.22","36,459,497.90","57,247,727.06","102,929,840.57","-11,965,950.08","38,154,702.90","82,752,100.32"
资产减值损失,,,,,"1,610,474.46","1,209,875.24","525,147.30","2,781,135.37","4,089,595.65","3,630,741.68","1,321,788.77","5,949,224.42","6,252,627.09","8,161,747.68","8,870,404.93","674,441.08","7,917,390.19","7,917,390.19","10,942,740.97",,"5,070,578.77","7,070,578.77","14,303,131.43",,"6,852,518.44","8,852,518.44"
减:所得税,"2,896,447.66","923,398.92","3,568,437.96","621,403.18","5,915,220.23","897,800.92","7,422,225.90","3,548,170.10","10,375,803.75","4,239,411.28","12,704,026.21","4,711,455.91","14,737,334.33","5,129,191.20","15,127,141.41",,"5,865,856.68","10,562,737.23","11,990,979.02","-135,954.39","5,676,436.28","9,677,751.84","14,418,861.94","492,183.26","4,579,928.93","11,393,242.53"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,"-31,623.86","22,379.54",,,,,,,,,,,,,,,,,,,,,,,,
