科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"40,972,746.36","67,591,440.41","105,789,867.20","157,321,550.53","35,749,959.62","70,844,693.17","105,108,274.86","160,891,773.18","43,355,650.00","109,237,306.26","163,636,650.47","244,875,221.91","52,842,676.44","112,618,752.88","173,617,605.90","339,465,776.45","82,725,255.87","158,351,830.58","216,385,131.73","391,056,596.46","115,376,889.81","213,505,157.30","305,735,035.24","484,647,009.97","127,140,447.70","202,065,450.61","291,599,573.15","478,168,645.21","113,382,860.36","202,813,016.85","302,353,362.79","472,944,649.10","118,260,403.09","209,742,530.18","291,945,750.01","434,629,287.81","121,909,170.78","204,712,913.12","292,450,939.26","428,578,068.76","114,393,464.70","200,454,895.30","279,496,326.76","409,680,388.83"
取得借款收到的现金,"133,000,000.00","353,000,000.00","227,000,000.00","969,000,000.00","340,000,000.00","707,000,000.00","197,238,415.48","1,198,960,000.00","455,000,000.00","1,030,000,000.00","1,303,000,000.00","1,599,694,889.24","310,000,000.00","767,000,000.00","841,000,000.00","1,195,799,889.04","434,000,000.00","663,000,000.00","977,000,000.00","1,780,000,000.00","768,000,000.00","1,628,000,000.00","1,955,000,000.00","2,936,500,000.00","566,000,000.00","1,234,807,410.82","1,549,521,784.09","1,836,000,000.00","830,000,000.00","2,165,400,000.00","2,387,400,000.00","2,663,437,279.31","1,095,877,471.79","2,142,726,858.25","2,228,508,954.35","3,644,927,432.99","1,454,720,287.92","2,327,037,575.12","2,824,240,891.33","4,233,908,570.11","1,569,796,631.29","2,079,078,169.79","3,180,100,903.93","3,734,650,010.00"
支付的各项税费,"35,265,484.50","86,736,065.45","120,022,085.79","172,209,839.56","34,687,866.21","84,375,365.85","110,309,226.96","151,200,558.90","41,856,368.86","108,800,590.90","167,400,582.57","291,640,687.17","114,400,048.68","224,226,579.26","316,032,669.99","440,166,282.40","163,817,502.97","277,743,050.31","469,751,551.45","618,069,332.01","182,346,854.19","345,818,875.85","455,609,653.76","560,646,817.73","190,443,183.92","359,496,235.55","454,976,724.18","658,721,905.43","173,454,677.18","297,194,065.20","379,606,914.01","532,961,076.78","144,639,909.98","308,526,040.58","368,522,254.26","491,166,569.67","122,987,760.49","253,419,688.82","310,772,336.76","365,244,249.86","121,553,836.80","210,585,992.83","287,175,348.77","365,769,760.72"
收到其他与筹资活动有关的现金,"2,451,126.78","58,381.00","58,381.00","18,400,000.00",,,,"12,142,770.00",,,,,,,,"45,340,000.00",,,,"796,880,000.00","20,000,000.00",,,"120,000.00","45,000,000.00","35,000,000.00","35,000,000.00",,,"137,095,233.55","137,095,233.55","196,295,233.55","30,000,000.00",,,"301,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","183,429,200.00",,"30,000,000.00","158,000,000.00","282,606,833.37"
支付其他与经营活动有关的现金,"104,373,656.50","130,963,132.88","194,188,722.65","115,075,956.50","110,485,899.94","162,916,682.78","164,941,959.64","145,861,095.14","78,071,611.78","147,207,230.48","150,017,500.43","390,288,450.01","147,399,448.89","335,097,850.76","344,460,833.99","821,511,231.30","162,662,965.79","371,684,465.58","293,247,142.87","840,950,852.43","143,779,772.37","295,162,234.92","314,510,706.22","814,903,231.96","131,227,605.10","400,786,655.07","589,233,194.63","924,113,835.02","179,112,493.48","355,262,797.26","534,884,159.20","529,204,429.21","146,810,317.72","229,464,970.24","656,809,216.63","493,962,315.36","190,519,975.06","227,748,352.31","581,841,943.83","499,100,002.94","121,222,420.80","156,268,091.84","324,026,012.70","458,764,617.98"
筹资活动现金流入小计,"135,451,126.78","353,548,381.00","227,548,381.00","995,490,000.00","340,000,000.00","1,389,238,620.40","880,801,435.88","1,893,385,790.40","455,000,000.00","1,030,000,000.00","1,309,150,000.00","1,620,794,889.24","314,000,000.00","771,000,000.00","845,000,000.00","1,247,839,889.04","434,000,000.00","1,269,000,000.00","1,583,000,000.00","2,585,880,000.00","788,000,000.00","1,971,000,000.00","2,165,000,000.00","3,146,620,000.00","631,000,000.00","1,289,807,410.82","1,604,521,784.09","1,856,000,000.00","830,000,000.00","2,302,495,233.55","2,524,495,233.55","2,859,732,512.86","1,125,877,471.79","2,142,726,858.25","2,228,508,954.35","3,945,927,432.99","1,484,720,287.92","2,357,037,575.12","2,854,240,891.33","4,417,337,770.11","1,569,796,631.29","2,109,252,169.79","3,338,274,903.93","4,017,256,843.37"
经营活动现金流出小计,"1,244,701,663.76","1,941,664,202.97","2,776,729,132.29","3,634,123,025.19","1,184,843,925.36","1,656,067,434.65","2,545,230,982.52","3,524,968,213.52","1,312,002,445.21","1,458,167,374.64","2,312,538,526.56","4,011,974,184.13","1,487,536,094.95","2,844,408,537.08","3,784,814,188.97","5,239,853,174.02","1,547,872,656.47","2,651,574,646.85","4,327,772,813.72","6,438,344,388.11","1,657,629,768.24","2,863,347,417.41","4,885,468,936.64","5,949,117,440.17","1,821,087,011.06","2,953,437,739.23","4,653,121,920.87","5,141,936,407.33","1,305,763,215.61","2,963,112,148.74","4,092,027,082.12","5,111,549,758.37","1,361,831,146.10","2,641,186,734.86","3,331,067,991.32","4,516,083,907.33","1,205,375,298.49","2,689,190,557.23","3,330,007,662.12","4,599,269,070.74","1,711,876,911.22","3,137,041,072.83","4,242,531,156.80","4,812,480,517.66"
偿还债务支付的现金,"2,031,000.11","388,041,333.48","13,504,000.46","834,167,123.32","200,220,488.47","490,000,000.00","170,000,000.00","1,163,662,964.54","50,000,000.00","1,065,000,000.00","1,462,000,000.00","1,833,970,810.00","135,000,000.00","305,544,889.24","453,544,889.24","614,807,641.88","382,000,000.00","952,037,136.40","1,137,500,000.00","1,300,537,136.40","509,458,472.22","1,072,000,000.00","1,438,000,000.00","2,038,480,000.00","796,000,000.00","1,436,000,000.00","2,264,500,000.00","2,874,600,000.00","408,880,000.00","1,503,880,000.00","2,064,530,000.00","1,856,277,108.07","976,062,405.49","1,734,930,000.55","1,802,001,205.99","3,216,907,604.23","1,064,411,531.29","1,694,111,292.57","2,043,064,765.20","3,730,368,570.11","1,324,444,085.23","1,842,087,649.32","3,032,864,098.82","3,883,576,254.56"
经营活动产生的现金流量净额,"-86,728,794.55","63,471,848.63","39,524,343.85","166,911,707.04","-132,120,387.32","-50,322,943.39","-71,963,840.79","164,111,122.24","-276,096,035.45","26,320,008.03","102,228,603.86","448,680.16","-78,753,423.36","-21,859,798.84","156,613,431.12","77,730,795.74","95,941,425.05","268,803,996.26","204,344,421.68","-224,505,716.89","-50,362,993.81","229,656,045.09","-13,622,297.70","-72,126,785.58","-114,958,508.03","-268,404,320.85","-339,547,457.61","210,290,843.26","151,784,500.81","-298,410,110.09","13,533,179.25","131,186,837.14","19,640,082.14","7,474,778.78","184,496,299.71","-27,687,121.92","-67,806,198.14","4,585,548.41","245,954,592.61","101,519,311.98","-110,437,727.27","-181,500,790.15","-287,359,034.25","187,737,547.08"
分配股利、利润或偿还利息支付的现金,"8,381,971.55","32,318,150.66","66,508,408.65","83,505,993.85","23,403,375.36","64,206,561.69","81,030,521.51","96,299,144.37","14,395,728.15","54,915,039.33","65,764,403.42","106,247,239.75","7,341,200.95","105,238,281.06","119,379,206.79","188,495,227.39","15,086,723.83","148,581,381.98","139,828,276.74","207,228,071.29","28,058,141.38","174,963,429.79","226,656,385.82","326,716,319.67","39,280,494.64","189,845,821.87","243,701,217.26","288,857,991.37","42,859,111.35","247,139,827.69","301,246,435.64","317,800,561.55","39,685,961.39","114,794,211.68","160,928,039.77","187,021,460.73","90,716,300.50","229,975,421.26","223,452,989.68","240,352,452.02","35,466,214.73","128,155,165.63","167,633,737.77","172,743,393.08"
