科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30
货币资金,"717,497,484.23","731,018,039.77","890,175,317.47","951,440,264.65","1,384,045,151.62","1,211,511,919.41","1,084,600,667.53","1,104,144,206.18","1,399,101,205.13","2,123,377,423.97","1,697,194,856.09"
短期借款,"3,454,711,944.65","3,609,821,455.35","3,142,633,206.40","3,264,439,766.70","4,019,002,272.83","3,931,693,146.05","4,713,065,501.47","4,899,942,200.00","5,315,889,433.71","5,537,004,310.57","5,044,639,627.82"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,"800,000,000.00",,,,"19,881,120.00","172,458,083.75","136,764,067.13","58,037,284.27","47,279,659.59"
应收票据,,,,,,,,,,,
应付票据,"564,892,957.08","684,668,620.93","803,137,440.47","671,112,979.96","218,074,565.25","458,107,928.13","683,235,688.97","858,393,318.53","1,125,074,718.21","903,890,279.61","703,464,343.36"
应收账款,"569,465,128.80","688,912,055.41","756,449,715.92","814,595,078.20","757,735,911.85","770,945,372.62","844,481,240.27","512,069,633.74","575,088,635.49","508,956,954.30","545,514,597.60"
应付账款,"424,941,874.09","907,319,135.41","1,024,965,150.85","1,624,213,811.19","1,885,100,630.49","1,881,830,605.14","2,158,496,352.24","2,148,940,368.26","1,612,596,208.96","1,782,347,737.08","2,167,128,515.88"
预付款项,"234,595,636.05","234,300,629.34","373,510,193.68","441,612,969.40","467,931,529.09","375,531,874.48","329,693,968.53","274,379,675.59","352,023,778.26","291,740,314.11","417,187,029.84"
预收款项,"943,822,505.32","595,772,669.43","826,094,750.77","243,647,991.75","177,973,789.00","170,934,003.99","186,603,895.75","202,041,786.63","538,751,346.46","198,093,722.68","232,238,814.81"
其他应收款,"623,811,488.65","506,892,513.87","488,659,801.08","469,156,029.01","488,259,111.72","526,274,230.47","554,008,713.88","477,525,469.20","566,629,835.88","574,714,582.09","537,907,610.56"
