科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"17,577,248.06","97,242,536.47","87,217,589.04","713,206,234.43","690,931,204.37","678,133,655.93","642,984,907.84","616,962,363.80","316,902,300.43","341,451,615.31","319,500,180.19","566,011,047.24","305,428,076.53","247,001,031.17","388,931,615.75","432,276,394.75","275,054,945.94","279,201,718.22","294,971,462.89","356,911,450.65","327,163,999.51","339,876,978.17","426,639,890.51","419,070,954.32","412,247,370.88","491,782,150.53","596,839,433.28"
短期借款,,"20,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",,,,"10,000,000.00","24,000,000.00","30,000,000.00","35,040,000.00","25,040,000.00","25,040,000.00","25,040,000.00",,"2,656,479.77",,,"2,928,089.61","1,187,603.09","3,434,371.00","1,225,927.96","1,472,773.89","968,546.21","1,703,860.58"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"17,187,831.51","31,840,759.40","52,647,338.78","37,106,834.90","17,732,537.00","27,500,021.20","59,048,125.32","54,106,542.42","35,076,625.00","42,802,822.66","78,530,916.49","79,978,506.52","74,204,004.64","131,901,351.20","146,013,164.54","91,471,365.39","97,200,705.25","94,009,981.05","137,445,898.14","107,843,841.08","94,271,426.50","133,554,607.65","183,569,281.79","149,777,464.82","139,849,763.94","171,911,541.24","162,919,526.29"
应付票据,,,,,,,,,,,,,"25,440,000.00",,,,"15,000,000.00","35,000,000.00","25,180,564.51",,,,,,,"324,500.00","20,000,000.00"
应收账款,"110,671,129.04","113,835,484.04","123,571,258.07","137,476,172.12","163,262,377.80","190,805,651.85","221,433,498.14","201,895,713.53","239,374,440.07","251,770,957.89","303,333,808.35","264,585,660.33","309,159,851.32","281,362,716.52","308,247,258.97","326,821,318.60","360,146,699.61","399,908,069.98","442,860,240.54","409,024,316.97","461,903,190.76","468,790,753.07","501,116,914.23","480,300,401.62","474,689,516.91","448,278,868.74","476,120,387.89"
应付账款,"25,035,411.24","19,212,627.22","35,118,054.88","41,369,604.53","30,692,790.13","32,252,773.58","20,182,304.56","19,656,066.41","23,618,909.74","32,890,429.71","33,231,948.48","40,484,802.17","50,937,347.81","46,265,984.12","47,054,257.48","40,118,413.06","44,847,704.48","42,417,500.40","44,197,226.02","35,850,632.41","63,019,157.57","64,933,015.60","46,656,170.82","46,538,242.65","49,760,219.47","56,796,996.39","60,879,838.11"
预付款项,"10,819,363.42","5,382,416.65","5,516,367.75","29,096,602.25","26,821,254.46","28,922,795.11","15,595,357.35","16,602,917.56","15,586,685.32","15,314,739.50","20,990,298.35","46,666,791.41","26,719,573.56","36,405,934.02","31,407,041.75","29,520,540.82","25,436,232.77","36,675,972.26","60,526,066.31","45,753,311.54","43,173,017.86","48,652,949.73","52,205,301.43","54,083,151.41","71,406,415.34","52,192,162.45","75,940,188.72"
预收款项,"51,950,831.55","49,358,333.06","40,785,847.20","40,987,807.88","44,785,933.26","44,472,047.28","52,158,785.11","57,917,393.57","65,238,624.72","72,209,585.32","76,208,259.85","80,535,469.98","119,865,660.42","97,009,441.55","136,637,880.00","131,523,174.38","131,799,344.27","116,313,867.62","85,490,530.19","76,604,021.75","105,269,862.81","114,705,584.42","88,363,514.57","99,228,581.17","137,999,428.46","156,517,059.57","96,669,651.75"
