科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"30,961,255.92","46,656,764.50","134,101,203.71","36,469,775.84","71,997,778.22","71,238,673.34","124,652,953.43","13,641,470.04","30,432,314.99","75,354,409.30","126,696,046.71","7,543,762.38","39,764,325.35","51,874,889.17","114,647,456.82","42,660,529.37","118,309,384.19","131,996,009.43","179,034,352.37","40,669,579.58","62,283,965.33","145,208,160.25","259,167,495.54","53,387,439.11","91,455,520.57","144,800,741.55","214,608,751.71","57,102,751.43","106,026,607.63","158,410,992.93","296,783,700.53","60,091,297.77","117,614,459.36","194,267,443.34","332,378,437.09","56,088,340.62","96,297,580.12","159,804,595.68","288,726,304.44","36,707,791.98","85,511,720.24","144,415,444.09","248,074,175.70","54,229,774.36"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,"4,440,045.97",,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"110,276.92","6,922,582.53","149,699.26","5,028,158.05","6,379,827.83","7,758,368.86","4,271,545.57","4,271,546.47","4,271,546.47","8,499,106.10","3,483,529.41","3,580,217.94","3,593,141.01","6,039,882.91","167,521.37","3,758,710.33","3,913,931.36","10,903,133.11",,"665,745.61","665,745.61","18,267,150.12","742,747.71","3,900,426.48","4,008,118.79","8,290,074.80","134,495.72","504,981.16","1,476,680.81","1,838,614.13","168,541.41","195,814.54","352,340.25","353,676.88","3,413,569.83","3,425,296.33","3,473,685.23","5,551,374.96","2,968,302.20","3,120,060.50","3,397,815.02","7,339,048.21",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"26,580.06",,,,"2,994,873.05",,,"8,189,984.00","3,989,984.00",,,,"4,952,175.00","3,952,175.00","3,952,175.00","4,952,175.00","4,952,175.00",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,083,727.50","1,779,849.90","3,287,461.00","2,681,819.13","1,263,196.20","4,266,887.36","6,948,035.19","7,880,303.19","11,027,811.11","14,617,705.38","14,916,141.42","1,948,399.72","10,172,277.57","14,145,101.62","37,590,248.34","8,054,497.33","10,083,691.84","14,790,443.66","19,328,428.72","5,372,567.14","17,828,260.36","19,873,956.59","39,802,040.73","6,969,932.70","13,707,080.85","29,833,450.11","42,385,937.23","20,854,646.07","22,634,588.69","25,885,251.88","38,391,462.83","8,234,215.10","12,519,779.55","22,345,104.52","50,524,436.95","6,824,004.89","18,865,458.15","26,145,785.70","61,194,771.69","26,145,843.06","36,472,366.25","54,575,105.55","61,628,932.91","4,441,890.00"
投资活动现金流出小计,"-2,966,698.21","4,885,402.47","20,532,769.31","565,415.74","2,744,079.46","1,136,596.79","29,404,599.13","4,607,404.72","15,149,633.73","15,329,763.77","35,215,463.64","4,302,699.19","9,361,733.69","14,875,030.28","25,910,637.49","9,467,063.15","41,057,865.37","43,999,601.72","77,007,875.73","25,657,579.83","55,272,792.59","95,396,450.87","152,056,364.79","20,051,349.60","64,507,637.50","68,524,262.28","138,584,311.70","57,675,276.05","98,933,480.87","132,914,366.24","160,493,207.93","26,161,691.60","39,358,187.80","76,096,384.08","200,588,049.72","14,607,386.34","37,083,744.80","91,121,145.69","165,479,127.49","20,254,753.92","35,923,961.90","52,540,403.19","154,530,573.06","12,990,262.89"
经营活动现金流入小计,"34,044,983.42","48,546,891.32","144,311,247.24","39,301,294.23","78,289,132.47","81,885,388.53","139,359,357.48","25,793,318.80","45,731,672.57","94,243,661.15","150,111,294.23","12,975,691.51","53,516,820.86","69,613,131.80","158,277,588.07","50,882,548.07","132,151,786.36","150,700,384.45","209,265,914.20","46,042,146.72","80,777,971.30","165,747,862.45","317,236,686.39","61,100,119.52","109,063,027.90","178,642,310.45","265,284,763.74","78,091,893.22","129,166,177.48","185,772,925.62","337,013,777.49","68,494,054.28","130,330,053.45","216,964,888.11","383,256,550.92","66,325,915.34","118,588,334.60","189,424,066.61","355,472,451.09","65,821,937.24","125,104,146.99","202,388,364.66","317,042,156.82","58,671,664.36"
投资活动产生的现金流量净额,"2,966,698.21","-4,885,402.47","-20,496,769.31","-539,915.74","-2,718,579.46","-1,102,096.79","-29,370,099.13","-4,607,404.72","-15,149,633.73","-15,313,663.77","-35,194,463.64","-4,302,519.19","-9,361,553.69","-14,700,723.96","-25,736,331.17","-9,467,063.15","-40,813,531.48","-43,755,171.42","-67,780,825.28","-25,657,579.83","-55,272,792.59","-81,292,100.87","-139,139,139.74","-20,030,649.60","-62,701,234.72","-66,715,859.50","-136,938,640.77","-57,664,276.05","-98,910,480.87","-132,889,085.18","-160,468,018.93","-26,145,491.60","-39,341,987.80","-76,030,184.08","-200,516,846.72","-14,579,386.34","-52,847,778.47","-106,885,179.36","-180,993,161.16","-20,254,753.92","-35,923,961.90","-52,340,403.19","-154,330,573.06","-7,081,522.89"
购买商品、接受劳务支付的现金,"60,914,138.63","70,241,100.31","95,129,731.62","40,358,112.35","69,759,239.10","56,306,915.84","53,397,826.81","10,213,933.90","20,960,744.37","58,262,670.37","71,453,668.59","12,372,174.61","28,627,098.42","56,790,014.35","89,484,104.62","26,754,709.47","61,441,726.94","63,305,358.87","91,189,436.22","16,455,294.31","43,263,299.48","92,296,445.43","138,859,347.30","34,167,172.39","56,043,787.95","101,499,863.04","137,295,611.99","26,035,203.11","46,729,731.59","67,690,384.29","149,853,178.68","40,263,548.04","71,345,321.09","106,994,982.97","134,423,838.71","51,116,604.74","77,205,176.66","107,938,267.32","147,219,913.90","37,067,234.95","62,821,894.05","94,670,942.18","96,007,859.53","29,479,840.56"
吸收投资收到的现金,,"31,200,000.00","31,200,000.00",,"181,750,000.00","182,750,000.00","182,750,000.00",,,"2,000,000.00","2,000,000.00","1,400,000.00","2,580,000.00","3,955,000.00","3,580,000.00",,,,"332,986,136.50","750,000.00","750,000.00","750,000.00","2,250,000.00",,,,"300,000.00",,,,,,,"300,000.00","435,849,983.16",,,,"700,000.00",,,"20,000,000.00","20,000,000.00",
