科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"338,519,688.21","695,359,451.05","1,175,230,430.30","1,738,812,639.04","1,745,986,623.51","2,936,398,677.53","2,954,946,935.53","2,940,169,903.38","4,312,493,637.31","3,001,363,167.55","2,410,011,933.03","1,565,317,757.57","2,474,304,168.28","2,211,946,923.11","2,555,457,853.26","2,590,147,704.83","2,851,121,715.81","2,592,123,320.45","1,962,245,015.53"
短期借款,,,,,,,,,,,,"500,000,000.00","500,000,000.00","1,400,000,000.00","2,304,000,000.00","1,905,511,112.16","2,200,000,000.00","2,500,000,000.00","2,100,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,"3,960,000.00","2,500,000.00","10,589,101.30","8,678,801.30","14,410,001.30","6,420,000.00","10,367,236.75","8,918,516.40","14,337,360.00"
应付票据,,,,,,,,,,,,,,,,,,,
应收账款,"42,503,883.47","28,508,660.68","26,620,686.50","88,113,437.52","86,051,209.06","131,160,855.91","58,961,826.09","175,775,308.64","383,580,352.38","403,418,363.40","460,200,468.62","568,235,263.55","690,295,790.39","662,727,334.48","726,370,250.08","916,619,135.89","1,156,548,837.25","1,361,035,001.63","1,267,493,500.66"
应付账款,"116,847,898.76","205,729,292.89","282,988,772.25","525,199,616.30","231,061,508.74","502,843,916.01","320,828,878.32","331,861,604.21","618,541,057.95","706,687,186.41","710,577,125.27","585,034,795.18","664,454,611.77","689,537,464.77","872,500,452.74","689,213,041.21","843,531,909.50","1,122,417,594.25","860,674,729.43"
预付款项,"72,334,367.94","31,743,280.92","45,247,601.20","53,252,716.76","35,810,796.86","26,326,936.76","29,087,290.07","43,207,692.15","80,487,033.46","78,912,740.72","149,476,466.27","188,305,659.66","194,116,354.22","190,283,236.17","303,440,842.39","260,824,951.02","257,112,938.24","305,669,365.77","362,243,403.28"
预收款项,"234,256,888.32","363,354,364.49","415,618,939.03","456,446,167.21","514,234,844.54","522,863,496.12","485,909,236.58","500,524,082.22","734,617,563.30","812,482,234.97","721,138,528.19","762,092,842.18","879,197,925.81","992,173,428.68","942,946,589.07","964,033,604.74","953,190,851.92","982,869,015.91","1,020,242,929.08"
